ID,Index,TraitTreeID,TraitCurrencyID
2079,5,445,1787
2080,4,445,1788
2081,3,445,1789
2082,2,445,1790
2083,1,445,22
2084,0,445,12
2085,6,446,1791
2086,5,446,1792
2087,4,446,1793
2088,3,446,1794
2089,2,446,1795
2090,1,446,22
2091,0,446,12
2107,14,448,1809
2108,13,448,1810
2109,12,448,1811
2110,11,448,1812
2111,10,448,1813
2112,9,448,1814
2113,8,448,1815
2114,7,448,1816
2115,6,448,1817
2116,5,448,1818
2117,4,448,1819
2118,3,448,1820
2119,2,448,1821
2120,1,448,22
2121,0,448,12
2176,4,469,1869
2177,3,469,1870
2178,2,469,1871
2179,0,469,1
2229,16,478,1909
2230,15,478,1910
2231,14,478,1911
2232,13,478,1912
2233,12,478,1913
2234,11,478,1914
2235,10,478,1915
2236,9,478,1916
2237,8,478,1917
2238,7,478,1918
2239,6,478,1919
2240,5,478,1920
2241,4,478,1921
2242,3,478,1922
2243,2,478,1923
2244,1,478,17
2245,0,478,7
2686,5,557,2296
2687,4,557,2297
2688,3,557,2298
2689,2,557,2299
2691,0,557,5
2692,5,558,2300
2693,4,558,2301
2694,3,558,2302
2695,2,558,2303
2697,0,558,5
2698,4,559,2304
2699,3,559,2305
2700,2,559,2306
2702,0,559,5
2703,5,560,2307
2704,4,560,2308
2705,3,560,2309
2706,2,560,2310
2707,0,560,5
2794,3,601,2394
2795,5,601,2395
2796,4,601,2396
2797,2,601,2397
2798,1,601,20
2799,0,601,10
2800,4,602,2398
2801,3,602,2399
2802,2,602,2400
2803,1,602,20
2804,0,602,10
2805,6,603,2401
2806,5,603,2402
2807,4,603,2403
2808,3,603,2404
2809,2,603,2405
2810,1,603,20
2811,0,603,10
2876,6,640,2474
2877,5,640,2475
2878,4,640,2476
2879,3,640,2477
2880,2,640,2478
2881,1,640,16
2882,0,640,6
2883,4,641,2479
2884,3,641,2480
2885,2,641,2481
2886,1,641,16
2887,0,641,6
2888,6,642,2482
2889,5,642,2483
2890,4,642,2484
2891,3,642,2485
2892,2,642,2486
2893,1,642,16
2894,0,642,6
2976,1,672,2563
2977,12,673,2564
2978,11,673,2565
2979,10,673,2566
2980,9,673,2567
2981,8,673,2568
2982,7,673,2569
2983,6,673,2570
2984,5,673,2571
2985,4,673,2572
2986,3,673,2573
2987,2,673,2574
2988,1,673,14
2989,0,673,4
3036,4,698,2618
3037,3,698,2619
3038,2,698,2620
3039,1,698,14
3040,0,698,4
3041,6,699,2621
3042,5,699,2622
3043,4,699,2623
3044,3,699,2624
3045,2,699,2625
3046,0,699,4
3049,1,701,2629
3050,2,701,2628
3200,2,781,2778
3201,3,781,2777
3209,1,699,14
3210,1,469,3
3211,1,354,18
3212,1,560,15
3214,1,444,22
3222,3,354,2788
3223,4,354,2787
3238,1,557,15
3239,1,558,15
3242,1,793,2801
3243,2,793,2800
3244,1,559,15
3280,1,377,19
3369,3,877,2935
3370,4,877,2934
3375,1,880,2941
3376,2,880,2942
3377,3,880,2940
3378,1,751,2943
3394,4,781,2959
3479,3,898,2986
3480,4,898,2987
3481,5,898,2988
3482,6,898,2989
3490,0,903,2971
3491,1,903,2972
3492,2,903,2998
3493,3,903,2997
3494,4,903,2996
3495,0,904,2971
3496,1,904,2972
3497,2,904,3003
3498,3,904,3002
3499,4,904,3001
3500,5,904,3000
3501,6,904,2999
3502,0,905,2971
3503,1,905,2972
3504,2,905,3009
3505,3,905,3008
3506,4,905,3007
3507,5,905,3006
3508,6,905,3005
3509,7,905,3004
3569,0,919,2981
3570,1,919,2982
3571,2,919,3050
3572,3,919,3049
3573,4,919,3048
3574,5,919,3047
3575,0,920,2981
3576,1,920,2982
3577,2,920,3053
3578,3,920,3052
3579,4,920,3051
3580,0,921,2981
3581,1,921,2982
3582,2,921,3056
3583,3,921,3055
3584,4,921,3054
3700,0,935,2977
3701,1,935,2978
3702,2,935,3153
3703,3,935,3152
3704,4,935,3151
3705,5,935,3150
3706,6,935,3149
3707,7,935,3148
3716,0,937,2977
3717,1,937,2978
3718,2,937,3163
3719,3,937,3162
3720,4,937,3161
3721,5,937,3160
3722,0,938,2977
3723,1,938,2978
3724,2,938,3174
3725,3,938,3173
3726,4,938,3172
3727,5,938,3171
3728,6,938,3170
3729,7,938,3169
3730,8,938,3168
3731,9,938,3167
3732,10,938,3166
3733,11,938,3165
3734,12,938,3164
3735,1,898,3082
3736,2,898,3081
3737,0,939,2977
3738,1,939,2978
3739,2,939,3185
3740,3,939,3184
3741,4,939,3183
3742,5,939,3182
3743,6,939,3181
3744,7,939,3180
3745,8,939,3179
3746,9,939,3178
3747,10,939,3177
3748,11,939,3176
3749,12,939,3175
3837,0,946,2975
3838,1,946,2976
3839,2,946,3263
3840,3,946,3262
3841,4,946,3261
3899,0,950,2975
3900,1,950,2976
3901,2,950,3331
3902,3,950,3330
3903,4,950,3329
3904,5,950,3328
3905,6,950,3327
3906,7,950,3326
3907,8,950,3325
3908,9,950,3324
3909,10,950,3323
3910,11,950,3322
3911,12,950,3321
3912,13,950,3320
3913,14,950,3319
3914,15,950,3318
3915,16,950,3317
3916,17,950,3316
3917,18,950,3315
3918,0,951,2975
3919,1,951,2976
3920,2,951,3339
3921,3,951,3338
3922,9,951,3337
3923,4,951,3336
3924,5,951,3335
3925,6,951,3334
3926,7,951,3333
3927,8,951,3332
3974,0,960,2963
3975,1,960,2964
3976,2,960,3372
3977,3,960,3371
3978,4,960,3370
3979,0,961,2963
3980,1,961,2964
3981,2,961,3378
3982,3,961,3377
3983,4,961,3376
3984,5,961,3375
3985,6,961,3374
3986,7,961,3373
3987,0,962,2963
3988,1,962,2964
3989,2,962,3381
3990,3,962,3380
3992,0,963,2963
3993,1,963,2964
3994,2,963,3383
3995,7,963,3382
4000,0,965,2965
4001,1,965,2966
4002,2,965,3400
4003,3,965,3399
4004,4,965,3398
4005,5,965,3397
4006,6,965,3396
4007,7,965,3395
4008,8,965,3394
4009,9,965,3393
4010,10,965,3392
4011,11,965,3391
4012,12,965,3390
4013,13,965,3389
4014,14,965,3388
4015,0,966,2965
4016,1,966,2966
4017,2,966,3404
4018,3,966,3403
4019,4,966,3402
4020,5,966,3401
4045,0,969,2965
4046,1,969,2966
4047,2,969,3431
4048,3,969,3430
4049,4,969,3429
4050,5,969,3428
4051,6,969,3427
4052,7,969,3426
4053,8,969,3425
4066,0,971,2965
4067,1,971,2966
4068,2,971,3451
4069,3,971,3450
4070,4,971,3449
4071,5,971,3448
4072,6,971,3447
4073,7,971,3446
4074,8,971,3445
4075,9,971,3444
4076,10,971,3443
4077,11,971,3442
4078,0,972,2973
4079,1,972,2974
4080,2,972,3461
4081,3,972,3460
4082,4,972,3459
4083,5,972,3458
4084,6,972,3457
4085,7,972,3456
4086,8,972,3455
4087,9,972,3454
4088,10,972,3453
4089,11,972,3452
4090,0,973,2973
4091,1,973,2974
4092,2,973,3470
4093,3,973,3469
4094,4,973,3468
4095,5,973,3467
4096,6,973,3466
4097,7,973,3465
4098,8,973,3464
4099,9,973,3463
4100,10,973,3462
4101,0,974,2973
4102,1,974,2974
4103,2,974,3474
4104,3,974,3473
4105,4,974,3472
4106,5,974,3471
4107,0,975,2973
4108,1,975,2974
4109,2,975,3478
4110,3,975,3477
4111,4,975,3476
4112,5,975,3475
4113,1,795,2801
4114,2,795,2800
4115,3,795,2986
4116,4,795,2987
4117,5,795,2988
4118,3,793,2986
4119,4,793,2987
4120,5,793,2988
4121,6,793,2989
4123,1,750,2801
4124,2,750,2800
4125,3,750,2986
4126,4,750,2987
4127,5,750,2988
4128,1,854,2801
4129,2,854,2800
4130,3,854,2986
4131,4,854,2987
4132,1,872,2801
4133,2,872,2800
4134,3,872,2986
4135,4,872,2987
4136,5,872,2988
4137,1,658,2801
4138,2,658,2800
4139,3,658,2986
4140,4,658,2987
4141,5,658,2988
4142,1,774,2801
4143,2,774,2800
4144,3,774,2986
4145,4,774,2987
4146,5,774,2988
4152,1,790,2801
4153,2,790,2800
4154,3,790,2986
4155,4,790,2987
4156,5,790,2988
4157,1,852,2801
4158,2,852,2800
4159,3,852,2986
4160,4,852,2987
4161,5,852,2988
4162,1,786,2801
4163,2,786,2800
4164,3,786,2986
4165,4,786,2987
4166,5,786,2988
4167,1,720,2801
4168,2,720,2800
4169,3,720,2986
4170,4,720,2987
4171,5,720,2988
4172,1,850,2801
4173,2,850,2800
4174,3,850,2986
4175,4,850,2987
4176,5,850,2988
4177,0,978,2967
4178,1,978,2968
4179,2,978,3483
4180,3,978,3482
4181,4,978,3481
4182,5,978,3480
4183,0,979,2967
4184,1,979,2968
4185,2,979,3491
4186,3,979,3490
4187,4,979,3489
4188,5,979,3488
4189,6,979,3487
4190,7,979,3486
4191,8,979,3485
4192,9,979,3484
4193,0,980,2967
4194,1,980,2968
4195,2,980,3502
4196,3,980,3501
4197,4,980,3500
4198,5,980,3499
4199,6,980,3498
4200,7,980,3497
4201,8,980,3496
4202,9,980,3495
4203,10,980,3494
4204,11,980,3493
4205,12,980,3492
4206,0,981,2967
4207,1,981,2968
4208,2,981,3506
4209,3,981,3505
4210,4,981,3504
4211,5,981,3503
4212,0,982,2979
4213,1,982,2980
4214,2,982,3510
4215,3,982,3509
4216,4,982,3508
4217,5,982,3507
4218,0,983,2979
4219,1,983,2980
4220,2,983,3513
4221,3,983,3512
4222,4,983,3511
4223,0,984,2979
4224,1,984,2980
4225,2,984,3518
4226,3,984,3517
4227,4,984,3516
4228,5,984,3515
4229,6,984,3514
4230,1,874,3519
4231,3,963,3523
4232,4,963,3522
4233,5,963,3521
4234,6,963,3520
4235,0,987,2983
4236,1,987,2984
4237,2,987,3528
4238,3,987,3527
4239,4,987,3526
4240,5,987,3525
4241,6,987,3524
4242,0,988,2983
4243,1,988,2984
4244,2,988,3533
4245,3,988,3532
4246,4,988,3531
4247,5,988,3530
4248,6,988,3529
4249,0,989,2983
4250,1,989,2984
4251,2,989,3546
4252,3,989,3545
4253,4,989,3544
4254,5,989,3543
4255,6,989,3542
4256,7,989,3541
4257,8,989,3540
4258,9,989,3539
4259,10,989,3538
4260,11,989,3537
4261,12,989,3536
4262,13,989,3535
4263,14,989,3534
4264,0,990,2983
4265,1,990,2984
4266,2,990,3559
4267,3,990,3558
4268,4,990,3557
4269,5,990,3556
4270,6,990,3555
4271,7,990,3554
4272,8,990,3553
4273,9,990,3552
4274,10,990,3551
4275,11,990,3550
4276,12,990,3549
4277,13,990,3548
4278,14,990,3547
4279,0,991,2983
4280,1,991,2984
4281,2,991,3572
4282,3,991,3571
4283,4,991,3570
4284,5,991,3569
4285,6,991,3568
4286,7,991,3567
4287,8,991,3566
4288,9,991,3565
4289,10,991,3564
4290,11,991,3563
4291,12,991,3562
4292,13,991,3561
4293,14,991,3560
4312,0,994,2969
4313,1,994,2970
4314,2,994,3593
4315,3,994,3592
4316,4,994,3591
4317,5,994,3590
4318,6,994,3589
4319,7,994,3588
4320,8,994,3587
4321,0,995,2969
4322,1,995,2970
4323,2,995,3596
4324,3,995,3595
4325,4,995,3594
4326,0,996,2969
4327,1,996,2970
4328,2,996,3604
4329,3,996,3603
4330,4,996,3602
4331,5,996,3601
4332,6,996,3600
4333,7,996,3599
4334,8,996,3598
4335,9,996,3597
4342,0,998,2983
4343,1,998,2984
4344,2,998,3612
4345,3,998,3611
4346,4,998,3610
4347,5,998,3609
4348,0,999,2983
4349,1,999,2984
4350,2,999,3616
4351,3,999,3615
4352,4,999,3614
4353,5,999,3613
4358,1,1000,3623
4359,2,1000,3625
4360,3,1000,3622
4361,4,1000,3624
4362,5,1000,3621
4363,0,1001,2983
4364,1,1001,2984
4365,2,1001,3638
4366,3,1001,3637
4367,4,1001,3636
4368,5,1001,3635
4369,6,1001,3634
4370,7,1001,3633
4371,8,1001,3632
4372,9,1001,3631
4373,10,1001,3630
4374,11,1001,3629
4375,12,1001,3628
4376,13,1001,3627
4377,14,1001,3626
4378,0,1002,2973
4379,1,1002,2974
4380,2,1002,3648
4381,3,1002,3647
4382,4,1002,3646
4383,5,1002,3645
4384,6,1002,3644
4385,7,1002,3643
4386,8,1002,3642
4387,9,1002,3641
4388,10,1002,3640
4389,11,1002,3639
4390,0,1003,2973
4391,1,1003,2974
4392,2,1003,3656
4393,3,1003,3655
4394,4,1003,3654
4395,5,1003,3653
4396,6,1003,3652
4397,7,1003,3651
4398,8,1003,3650
4399,9,1003,3649
4400,0,1004,2973
4401,1,1004,2974
4402,2,1004,3660
4403,3,1004,3659
4404,4,1004,3658
4405,5,1004,3657
4406,0,1005,2973
4407,1,1005,2974
4408,2,1005,3664
4409,3,1005,3663
4410,4,1005,3662
4411,5,1005,3661
4412,0,1006,2973
4413,1,1006,2974
4414,2,1006,3674
4415,3,1006,3673
4416,4,1006,3672
4417,5,1006,3671
4418,6,1006,3670
4419,7,1006,3669
4420,8,1006,3668
4421,9,1006,3667
4422,10,1006,3666
4423,11,1006,3665
4424,0,1007,2983
4425,1,1007,2984
4426,2,1007,3687
4427,3,1007,3686
4428,4,1007,3685
4429,5,1007,3684
4430,6,1007,3683
4431,7,1007,3682
4432,8,1007,3681
4433,9,1007,3680
4434,10,1007,3679
4435,11,1007,3678
4436,12,1007,3677
4437,13,1007,3676
4438,14,1007,3675
4439,0,1008,2973
4440,1,1008,2974
4441,2,1008,3697
4442,3,1008,3696
4443,4,1008,3695
4444,5,1008,3694
4445,6,1008,3693
4446,7,1008,3692
4447,8,1008,3691
4448,9,1008,3690
4449,10,1008,3689
4450,11,1008,3688
4451,5,946,3698
4454,3,876,3699
4461,1,1033,3711
4462,2,1033,3709
4463,3,1033,3713
4464,4,1033,3712
4465,5,1033,3710
4466,1,1034,3716
4467,2,1034,3714
4468,3,1034,3718
4469,4,1034,3717
4470,5,1034,3715
