ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1239,Silent Leathers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Silent Leathers appearance.|n|n""Sometimes hiding is the best offense.""",23,14,590806,0,0,439450
1240,Handwoven Trousers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Handwoven Trousers appearance.|n|n""A gift from the captain. They're tailor-made just for you!""",23,15,1981728,0,0,439452
1241,Marvelous Multi-Shot,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Marvelous Multi-Shot appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Aim away from face.""",23,16,135628,0,0,439394
1242,Fine Crimson Doublet,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Fine Crimson Doublet appearance.|n|nAlso unlocks the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger.",23,17,5519312,0,0,439454
1243,Bloody Iron Cleaver,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Bloody Iron Cleaver appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A bloody axe for a bloody good pirate!""",23,18,1092278,0,0,439392
1244,Weatherproven Drape,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Weatherproven Drape appearance.|n|n""It says ""proven,"" not ""proof."" Don't jump in the lake.""",23,19,2124014,0,0,439456
1245,Royal Seafeather,"|cFF00ccffDragonflight Mount|r|n|nUnlocks the Royal Seafeather flying mount.|n|n""With the amount of plunder you have, it'd be a crime not to have a giant parrot.""",23,20,4395379,0,0,437517
1246,Storm Captain's Hat,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Storm Captain's Hat appearance.|n|n""A fine hat for the captain in the storm!""",23,21,1676418,0,0,439446
1247,Plunderlord's Gilded Sigil,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Gilded Sigil appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Hold high the staff of the Plunderlord, and raise a crew to plunder!""",23,22,5581310,0,0,439382
1248,Plunderlord's Cuffs,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Cuffs appearance.|n|n""Golden cuffs befitting of the finest of pirates.""",23,23,5559628,0,0,439375
1249,Plundered Bag of Tender,|cFF00ccffDragonflight Reward|r|n|nUnlocks 250 Trader's Tender in the Collector's Cache in Stormwind or Orgrimmar.,23,24,975746,0,0,437507
1250,Plunderlord's Golden Cinch,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Golden Cinch appearance.|n|n""The large gold skull buckle really brings the outfit together.""",23,25,5559626,0,0,439373
1251,Plunderlord's Pilferers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Pilferers appearance.|n|n""They're so silky.""",23,26,5559630,0,0,439377
1252,Plunderlord's Neck-Severer,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Neck-Severer appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A necessary tool in the arsenal of the pirate lord.""",23,27,5580802,0,0,439386
1253,Plunderlord's Muckscrapers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Muckscrapers appearance.|n|n""You wouldn't want to get muck on them.""",23,28,5559627,0,0,439372
1254,Plunderlord's Fancy Trousers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Fancy Trousers appearance.|n|n""Now you can say that you have the fanciest pants.""",23,29,5559632,0,0,439378
1255,Glamrok,"|cFF00ccffDragonflight Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Glamrok pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""A fellow loot enthusiast.""",23,30,5559624,0,0,439478
1256,Plunderlord's Fine Rapier,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Fine Rapier appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""For stabbing.""",23,31,5581649,0,0,439383
1257,Plunderlord's Hand Cannon,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Hand Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Smells like gold and gunpowder.""",23,32,5581325,0,0,439388
1258,Plundered Chest of Tender,|cFF00ccffDragonflight Reward|r|n|nUnlocks 500 Trader's Tender in the Collector's Cache in Stormwind or Orgrimmar.,23,33,4696085,0,0,437510
1259,Plunderlord's Waistcoat,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Waistcoat appearance.|n|n""Nobody looks bad in a waistcoat.""",23,34,5559633,0,0,439370
1260,Plunderlord's Drapery,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Drapery appearance.|n|n""In matching red and gold, of course.""",23,35,5559629,0,0,439379
1261,Plunderlord's Silver Cutlass,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Silver Cutlass appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Shines just the right way in the sun when you hold it aloft.""",23,36,5581315,0,0,439384
1262,Plunderlord's Tassled Spaulders,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Tassled Spaulders appearance.|n|nAlso unlocks the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger.",23,37,5559634,0,0,439380
1263,Plunderlord's Tricorne of Admiralty,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Tricorne of Admiralty appearance.|n|n""A fine plumed helm made in just the right size for your head.""",23,38,5559631,0,0,439355
1264,Polly Roger,"|cFF00ccffDragonflight Mount|r|n|nUnlocks the Polly Roger dragonriding mount.|n|n""The captain has granted you his very own giant tempermental parrot. Good Luck!""",23,39,5578050,0,0,437164
1265,Plunderlord,"|cFF00ccffDragonflight Title|r|n|nUnlocks the Plunderlord title.|n|n""The captain has bestowed upon you the title of ""Plunderlord."" May all who oppose you sink to the briny depths!""",23,40,4203076,0,0,439552
1266,Happy,"|cFF00ccffDragonflight Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Happy pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""He's just excited to be here.""",23,6,237309,0,1,439475
1267,Swabbie,"|cFF1eff00Plunderstorm Title|r|n|nUnlocks the ""Swabbie"" title in Plunderstorm at Da'kash Grimledger.|n|n""The captain has declared you an official swabbie!""",23,2,1063033,0,1,438007
1268,Swashbuckler,"|cFF1eff00Plunderstorm Title|r|n|nUnlocks the ""Swashbuckler"" title in Plunderstorm at Da'kash Grimledger.|n|n""You have proven your ability to both swash and buckle.""",23,10,2060684,0,1,438036
1269,Buccaneer,"|cFF1eff00Plunderstorm Title|r|n|nUnlocks the ""Buccaneer"" title in Plunderstorm at Da'kash Grimledger.|n|n""You are a feared force in the storm!""",23,20,2055037,0,1,438034
1270,First Mate,"|cFF1eff00Plunderstorm Title|r|n|nUnlocks the ""First Mate"" title in Plunderstorm at Da'kash Grimledger.|n|n""Your penchant for plunder is legendary!""",23,30,2055032,0,1,438029
1271,A Tiny Plumed Tricorne,"|cFF00ccffDragonflight Friend|r|n|cFF1eff00Plunderstorm Friend|r|n|nWhen summoned, Pepe will now sometimes be dressed as a Plunderlord. To summon the tiny captain in Plunderstorm, see Da'kash Grimledger.",23,24,1044996,0,1,438055
1272,Swarthy Warning Sign,"|cFF00ccffDragonflight Toy|r|n|nUnlocks the Swarthy Warning Sign toy.|n|n""Perfect for creating your own pirate hangout.""",23,16,2055035,0,1,443715
1273,A Keg-Stamped Package,|cFF00ccffDragonflight Quest|r|n|nA new quest awaits a level 70 character in Valdrakken in the Dragon Isles.,23,5,236664,0,1,443716
1274,Pinchy,"|CFFa335eeClassic Pet|r|n|nUnlocks the Pinchy the Plunderer pet in Wrath of the Lich King: Classic.|n|n""Watch out for the pointy end!""",23,11,5559624,0,1,440575
1275,Polly Roger,|CFFa335eeClassic Mount|r|n|nUnlocks the Polly Roger flying mount in Wrath of the Lich King: Classic.,23,39,5578050,0,1,440578
1311,Plunderlord's Monocle,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Monocle appearance.|n|n""Helps with seeing out of only one eye.""",23,38,5689350,0,0,443376
1312,Plunderlord's Tabard,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Plunderlord's Tabard appearance.|n|n""You've proven you're buccaneer and dear to Captain Keg Leg's heart. Proudly display your captain's favor.""",23,40,5690395,0,1,443375
