ID,RaceID,HideGeosetGroup,RaceBitSelection,Field_10_0_0_46047_003,HelmetGeosetVisDataID
28478,6,7,0,-1,249
28479,11,7,0,-1,249
28480,1,0,0,-1,265
28481,2,0,0,-1,265
28482,3,0,0,-1,265
28483,4,0,0,-1,265
28484,5,0,0,-1,265
28485,7,0,0,-1,265
28486,8,0,0,-1,265
28487,9,0,0,-1,265
28488,10,0,0,-1,265
28489,11,0,0,-1,265
28490,12,0,0,-1,265
28491,13,0,0,-1,265
28492,14,0,0,-1,265
28493,15,0,0,-1,265
28494,18,0,0,-1,265
28497,12,7,0,-1,265
28498,13,7,0,-1,265
28499,14,7,0,-1,265
28500,15,7,0,-1,265
28501,18,7,0,-1,265
28502,1,0,0,-1,285
28503,2,0,0,-1,285
28504,3,0,0,-1,285
28505,4,0,0,-1,285
28506,5,0,0,-1,285
28507,6,0,0,-1,285
28508,7,0,0,-1,285
28509,8,0,0,-1,285
28510,9,0,0,-1,285
28511,10,0,0,-1,285
28512,11,0,0,-1,285
28513,1,1,0,-1,285
28514,2,1,0,-1,285
28515,3,1,0,-1,285
28516,4,1,0,-1,285
28517,5,1,0,-1,285
28518,6,1,0,-1,285
28519,7,1,0,-1,285
28520,8,1,0,-1,285
28521,9,1,0,-1,285
28522,10,1,0,-1,285
28523,11,1,0,-1,285
28524,1,2,0,-1,285
28525,2,2,0,-1,285
28526,3,2,0,-1,285
28527,4,2,0,-1,285
28528,5,2,0,-1,285
28529,6,2,0,-1,285
28530,7,2,0,-1,285
28531,8,2,0,-1,285
28532,9,2,0,-1,285
28533,10,2,0,-1,285
28534,11,2,0,-1,285
28535,1,3,0,-1,285
28536,2,3,0,-1,285
28537,3,3,0,-1,285
28538,4,3,0,-1,285
28539,5,3,0,-1,285
28540,6,3,0,-1,285
28541,7,3,0,-1,285
28542,8,3,0,-1,285
28543,9,3,0,-1,285
28544,10,3,0,-1,285
28545,11,3,0,-1,285
28546,1,7,0,-1,285
28547,2,7,0,-1,285
28548,3,7,0,-1,285
28549,4,7,0,-1,285
28550,5,7,0,-1,285
28551,6,7,0,-1,285
28552,7,7,0,-1,285
28553,8,7,0,-1,285
28554,9,7,0,-1,285
28555,10,7,0,-1,285
28556,11,7,0,-1,285
28557,1,0,0,-1,305
28558,2,0,0,-1,305
28559,3,0,0,-1,305
28560,4,0,0,-1,305
28561,5,0,0,-1,305
28562,7,0,0,-1,305
28563,8,0,0,-1,305
28564,10,0,0,-1,305
28565,11,0,0,-1,305
28566,2,3,0,-1,305
28568,4,3,0,-1,305
28569,7,3,0,-1,305
28570,11,3,0,-1,305
28571,6,7,0,-1,305
28572,1,0,0,-1,306
28573,2,0,0,-1,306
28574,3,0,0,-1,306
28575,4,0,0,-1,306
28576,5,0,0,-1,306
28577,7,0,0,-1,306
28578,8,0,0,-1,306
28579,10,0,0,-1,306
28580,11,0,0,-1,306
28581,1,1,0,-1,306
28582,2,1,0,-1,306
28583,3,1,0,-1,306
28584,4,1,0,-1,306
28585,6,1,0,-1,306
28586,7,1,0,-1,306
28587,8,1,0,-1,306
28588,10,1,0,-1,306
28589,1,2,0,-1,306
28590,2,2,0,-1,306
28591,3,2,0,-1,306
28592,4,2,0,-1,306
28593,5,2,0,-1,306
28594,6,2,0,-1,306
28595,7,2,0,-1,306
28596,8,2,0,-1,306
28597,10,2,0,-1,306
28598,1,3,0,-1,306
28599,2,3,0,-1,306
28600,3,3,0,-1,306
28601,4,3,0,-1,306
28602,6,3,0,-1,306
28603,7,3,0,-1,306
28604,10,3,0,-1,306
28605,1,7,0,-1,306
28606,2,7,0,-1,306
28607,3,7,0,-1,306
28608,5,7,0,-1,306
28609,6,7,0,-1,306
28610,7,7,0,-1,306
28611,11,7,0,-1,306
28612,1,0,0,-1,307
28613,2,0,0,-1,307
28614,3,0,0,-1,307
28615,4,0,0,-1,307
28616,5,0,0,-1,307
28617,7,0,0,-1,307
28618,8,0,0,-1,307
28619,10,0,0,-1,307
28620,11,0,0,-1,307
28621,7,2,0,-1,307
28622,2,3,0,-1,307
28623,3,3,0,-1,307
28624,4,3,0,-1,307
28625,10,3,0,-1,307
28626,1,7,0,-1,307
28627,2,7,0,-1,307
28628,3,7,0,-1,307
28629,5,7,0,-1,307
28630,6,7,0,-1,307
28631,7,7,0,-1,307
28632,11,7,0,-1,307
28633,1,0,0,-1,325
28634,2,0,0,-1,325
28635,3,0,0,-1,325
28636,4,0,0,-1,325
28637,5,0,0,-1,325
28638,7,0,0,-1,325
28639,8,0,0,-1,325
28640,9,0,0,-1,325
28641,1,3,0,-1,325
28642,2,3,0,-1,325
28643,3,3,0,-1,325
28644,4,3,0,-1,325
28645,5,3,0,-1,325
28646,6,3,0,-1,325
28647,7,3,0,-1,325
28648,8,3,0,-1,325
28649,9,3,0,-1,325
28650,6,7,0,-1,325
28651,1,0,0,-1,345
28652,2,0,0,-1,345
28653,3,0,0,-1,345
28654,4,0,0,-1,345
28655,5,0,0,-1,345
28656,7,0,0,-1,345
28657,8,0,0,-1,345
28658,10,0,0,-1,345
28659,11,0,0,-1,345
28660,6,1,0,-1,345
28661,1,2,0,-1,345
28662,2,2,0,-1,345
28663,3,2,0,-1,345
28664,4,2,0,-1,345
28665,7,2,0,-1,345
28666,10,2,0,-1,345
28667,11,2,0,-1,345
28668,2,3,0,-1,345
28670,7,3,0,-1,345
28671,1,7,0,-1,345
28672,2,7,0,-1,345
28673,3,7,0,-1,345
28674,6,7,0,-1,345
28675,7,7,0,-1,345
28676,11,7,0,-1,345
28677,7,2,0,-1,365
28678,1,0,0,-1,366
28679,2,0,0,-1,366
28680,3,0,0,-1,366
28681,4,0,0,-1,366
28682,5,0,0,-1,366
28683,7,0,0,-1,366
28684,8,0,0,-1,366
28685,9,0,0,-1,366
28686,10,0,0,-1,366
28687,11,0,0,-1,366
28688,7,2,0,-1,366
28689,2,3,0,-1,366
28690,1,0,0,-1,367
28691,2,0,0,-1,367
28692,3,0,0,-1,367
28693,4,0,0,-1,367
28694,5,0,0,-1,367
28695,7,0,0,-1,367
28696,8,0,0,-1,367
28697,10,0,0,-1,367
28698,11,0,0,-1,367
28699,1,3,0,-1,367
28700,2,3,0,-1,367
28702,4,3,0,-1,367
28703,5,3,0,-1,367
28704,10,3,0,-1,367
28705,1,0,0,-1,368
28706,2,0,0,-1,368
28707,3,0,0,-1,368
28708,4,0,0,-1,368
28709,5,0,0,-1,368
28710,6,0,0,-1,368
28711,7,0,0,-1,368
28712,8,0,0,-1,368
28713,9,0,0,-1,368
28714,10,0,0,-1,368
28715,11,0,0,-1,368
28716,12,0,0,-1,368
28717,13,0,0,-1,368
28718,14,0,0,-1,368
28719,15,0,0,-1,368
28720,18,0,0,-1,368
28721,1,1,0,-1,368
28722,2,1,0,-1,368
28723,3,1,0,-1,368
28724,4,1,0,-1,368
28725,6,1,0,-1,368
28726,7,1,0,-1,368
28727,8,1,0,-1,368
28729,10,1,0,-1,368
28730,11,1,0,-1,368
28731,12,1,0,-1,368
28732,13,1,0,-1,368
28733,14,1,0,-1,368
28734,15,1,0,-1,368
28735,18,1,0,-1,368
28736,1,2,0,-1,368
28737,2,2,0,-1,368
28738,3,2,0,-1,368
28739,4,2,0,-1,368
28740,5,2,0,-1,368
28741,6,2,0,-1,368
28742,7,2,0,-1,368
28743,8,2,0,-1,368
28745,10,2,0,-1,368
28746,11,2,0,-1,368
28747,12,2,0,-1,368
28748,13,2,0,-1,368
28749,14,2,0,-1,368
28750,15,2,0,-1,368
28751,18,2,0,-1,368
28752,1,3,0,-1,368
28753,2,3,0,-1,368
28754,3,3,0,-1,368
28755,4,3,0,-1,368
28756,5,3,0,-1,368
28757,6,3,0,-1,368
28758,7,3,0,-1,368
28759,8,3,0,-1,368
28761,10,3,0,-1,368
28762,11,3,0,-1,368
28763,12,3,0,-1,368
28764,13,3,0,-1,368
28765,14,3,0,-1,368
28766,15,3,0,-1,368
28767,18,3,0,-1,368
28768,1,7,0,-1,368
28769,2,7,0,-1,368
28770,3,7,0,-1,368
28771,4,7,0,-1,368
28772,5,7,0,-1,368
28773,6,7,0,-1,368
28774,7,7,0,-1,368
28775,8,7,0,-1,368
28777,10,7,0,-1,368
28778,11,7,0,-1,368
28779,12,7,0,-1,368
28780,13,7,0,-1,368
28781,14,7,0,-1,368
28782,15,7,0,-1,368
28783,18,7,0,-1,368
28784,1,1,0,-1,369
28785,2,1,0,-1,369
28786,3,1,0,-1,369
28787,4,1,0,-1,369
28788,6,1,0,-1,369
28789,7,1,0,-1,369
28790,8,1,0,-1,369
28792,12,1,0,-1,369
28793,13,1,0,-1,369
28794,14,1,0,-1,369
28795,15,1,0,-1,369
28796,1,2,0,-1,369
28797,2,2,0,-1,369
28798,3,2,0,-1,369
28799,4,2,0,-1,369
28800,5,2,0,-1,369
28801,7,2,0,-1,369
28802,8,2,0,-1,369
28804,12,2,0,-1,369
28805,13,2,0,-1,369
28806,14,2,0,-1,369
28807,15,2,0,-1,369
28809,2,3,0,-1,369
28811,4,3,0,-1,369
28812,6,3,0,-1,369
28813,7,3,0,-1,369
28815,10,3,0,-1,369
28816,11,3,0,-1,369
28817,12,3,0,-1,369
28818,13,3,0,-1,369
28819,14,3,0,-1,369
28820,15,3,0,-1,369
28821,1,7,0,-1,371
28822,2,7,0,-1,371
28823,3,7,0,-1,371
28824,4,7,0,-1,371
28825,5,7,0,-1,371
28826,6,7,0,-1,371
28827,7,7,0,-1,371
28828,8,7,0,-1,371
28829,9,7,0,-1,371
28830,10,7,0,-1,371
28831,11,7,0,-1,371
28832,12,7,0,-1,371
28833,13,7,0,-1,371
28834,14,7,0,-1,371
28835,15,7,0,-1,371
28836,18,7,0,-1,371
28837,1,7,0,-1,372
28838,2,7,0,-1,372
28839,3,7,0,-1,372
28840,4,7,0,-1,372
28841,5,7,0,-1,372
28842,6,7,0,-1,372
28843,7,7,0,-1,372
28844,8,7,0,-1,372
28845,9,7,0,-1,372
28846,10,7,0,-1,372
28847,11,7,0,-1,372
28848,12,7,0,-1,372
28849,13,7,0,-1,372
28850,14,7,0,-1,372
28851,15,7,0,-1,372
28852,18,7,0,-1,372
32605,16,0,0,-1,246
32606,17,0,0,-1,246
32607,19,0,0,-1,246
32608,20,0,0,-1,246
32609,21,0,0,-1,246
32610,16,7,0,-1,246
32611,17,7,0,-1,246
32612,19,7,0,-1,246
32613,20,7,0,-1,246
32614,21,7,0,-1,246
32615,16,1,0,-1,247
32616,17,1,0,-1,247
32617,19,1,0,-1,247
32618,20,1,0,-1,247
32619,21,1,0,-1,247
32620,16,2,0,-1,247
32621,17,2,0,-1,247
32622,19,2,0,-1,247
32623,20,2,0,-1,247
32624,21,2,0,-1,247
32625,16,3,0,-1,247
32626,17,3,0,-1,247
32627,19,3,0,-1,247
32628,20,3,0,-1,247
32629,21,3,0,-1,247
32630,16,0,0,-1,248
32631,17,0,0,-1,248
32632,19,0,0,-1,248
32633,20,0,0,-1,248
32634,21,0,0,-1,248
32635,16,1,0,-1,248
32636,17,1,0,-1,248
32637,19,1,0,-1,248
32638,20,1,0,-1,248
32639,21,1,0,-1,248
32640,16,2,0,-1,248
32641,17,2,0,-1,248
32642,19,2,0,-1,248
32643,20,2,0,-1,248
32644,21,2,0,-1,248
32645,16,3,0,-1,248
32646,17,3,0,-1,248
32647,19,3,0,-1,248
32648,20,3,0,-1,248
32649,21,3,0,-1,248
32650,16,7,0,-1,248
32651,17,7,0,-1,248
32652,19,7,0,-1,248
32653,20,7,0,-1,248
32654,21,7,0,-1,248
32655,16,0,0,-1,249
32656,17,0,0,-1,249
32657,19,0,0,-1,249
32658,20,0,0,-1,249
32659,21,0,0,-1,249
32660,16,0,0,-1,265
32661,17,0,0,-1,265
32662,19,0,0,-1,265
32663,20,0,0,-1,265
32664,21,0,0,-1,265
32665,16,7,0,-1,265
32666,17,7,0,-1,265
32667,19,7,0,-1,265
32668,20,7,0,-1,265
32669,21,7,0,-1,265
32670,16,0,0,-1,368
32671,17,0,0,-1,368
32672,19,0,0,-1,368
32673,20,0,0,-1,368
32674,21,0,0,-1,368
32675,16,1,0,-1,368
32676,17,1,0,-1,368
32677,19,1,0,-1,368
32678,20,1,0,-1,368
32679,21,1,0,-1,368
32680,16,2,0,-1,368
32681,17,2,0,-1,368
32682,19,2,0,-1,368
32683,20,2,0,-1,368
32684,21,2,0,-1,368
32685,16,3,0,-1,368
32686,17,3,0,-1,368
32687,19,3,0,-1,368
32688,20,3,0,-1,368
32689,21,3,0,-1,368
32690,16,7,0,-1,368
32691,17,7,0,-1,368
32692,19,7,0,-1,368
32693,20,7,0,-1,368
32694,21,7,0,-1,368
32695,16,7,0,-1,371
32696,17,7,0,-1,371
32697,19,7,0,-1,371
32698,20,7,0,-1,371
32699,21,7,0,-1,371
32700,16,7,0,-1,372
32701,17,7,0,-1,372
32702,19,7,0,-1,372
32703,20,7,0,-1,372
32704,21,7,0,-1,372
32705,1,0,0,-1,376
32706,2,0,0,-1,376
32707,3,0,0,-1,376
32708,4,0,0,-1,376
32709,5,0,0,-1,376
32710,7,0,0,-1,376
32711,8,0,0,-1,376
32712,9,0,0,-1,376
32713,10,0,0,-1,376
32714,11,0,0,-1,376
32715,12,0,0,-1,376
32716,13,0,0,-1,376
32717,14,0,0,-1,376
32718,15,0,0,-1,376
32719,16,0,0,-1,376
32720,17,0,0,-1,376
32721,18,0,0,-1,376
32722,19,0,0,-1,376
32723,20,0,0,-1,376
32724,21,0,0,-1,376
32725,7,2,0,-1,376
32726,2,3,0,-1,376
32727,1,7,0,-1,376
32728,2,7,0,-1,376
32729,3,7,0,-1,376
32730,4,7,0,-1,376
32731,5,7,0,-1,376
32732,6,7,0,-1,376
32733,7,7,0,-1,376
32734,8,7,0,-1,376
32735,9,7,0,-1,376
32736,10,7,0,-1,376
32737,11,7,0,-1,376
32738,12,7,0,-1,376
32739,13,7,0,-1,376
32740,14,7,0,-1,376
32741,15,7,0,-1,376
32742,16,7,0,-1,376
32743,17,7,0,-1,376
32744,18,7,0,-1,376
32745,19,7,0,-1,376
32746,20,7,0,-1,376
32747,21,7,0,-1,376
32748,10,16,0,-1,376
35574,22,0,0,-1,246
35575,22,2,0,-1,246
35576,22,7,0,-1,246
35577,23,0,0,-1,246
35578,23,7,0,-1,246
35579,5,1,0,-1,247
35580,22,1,0,-1,247
35581,22,3,0,-1,247
35582,23,1,0,-1,247
35583,23,2,0,-1,247
35584,23,3,0,-1,247
35585,22,0,0,-1,248
35586,22,1,0,-1,248
35587,22,2,0,-1,248
35588,22,3,0,-1,248
35589,22,7,0,-1,248
35590,23,0,0,-1,248
35591,23,1,0,-1,248
35592,23,2,0,-1,248
35593,23,3,0,-1,248
35594,23,7,0,-1,248
35595,23,0,0,-1,249
35596,22,7,0,-1,265
35597,23,0,0,-1,265
35598,23,7,0,-1,265
35599,22,0,0,-1,285
35600,22,1,0,-1,285
35601,22,2,0,-1,285
35602,22,3,0,-1,285
35603,22,7,0,-1,285
35604,23,0,0,-1,285
35605,23,1,0,-1,285
35606,23,2,0,-1,285
35607,23,3,0,-1,285
35608,23,7,0,-1,285
35609,9,0,0,-1,305
35610,23,0,0,-1,305
35611,9,0,0,-1,306
35612,22,0,0,-1,306
35613,22,2,0,-1,306
35614,22,7,0,-1,306
35615,23,0,0,-1,306
35616,23,1,0,-1,306
35617,23,2,0,-1,306
35618,23,3,0,-1,306
35619,23,7,0,-1,306
35620,9,0,0,-1,307
35621,22,0,0,-1,307
35622,22,2,0,-1,307
35623,23,0,0,-1,307
35624,23,2,0,-1,307
35625,23,3,0,-1,307
35626,23,7,0,-1,307
35627,23,0,0,-1,325
35628,23,3,0,-1,325
35629,9,0,0,-1,345
35630,23,0,0,-1,345
35631,23,2,0,-1,345
35632,23,7,0,-1,345
35633,22,2,0,-1,366
35634,23,0,0,-1,366
35635,9,0,0,-1,367
35636,22,2,0,-1,367
35637,23,0,0,-1,367
35638,23,3,0,-1,367
35639,22,0,0,-1,368
35640,22,1,0,-1,368
35641,22,2,0,-1,368
35642,22,3,0,-1,368
35643,22,7,0,-1,368
35644,23,0,0,-1,368
35645,23,1,0,-1,368
35646,23,2,0,-1,368
35647,23,3,0,-1,368
35648,23,7,0,-1,368
35649,23,1,0,-1,369
35650,23,2,0,-1,369
35651,22,33,0,-1,370
35652,23,33,0,-1,370
35653,22,7,0,-1,371
35654,22,16,0,-1,371
35655,23,7,0,-1,371
35656,23,16,0,-1,371
35657,22,7,0,-1,372
35658,23,7,0,-1,372
35659,9,2,0,-1,376
35660,22,0,0,-1,376
35661,22,2,0,-1,376
35662,22,7,0,-1,376
35663,23,0,0,-1,376
35664,23,7,0,-1,376
35665,1,0,0,-1,387
35666,1,1,0,-1,387
35667,1,2,0,-1,387
35668,1,3,0,-1,387
35669,2,0,0,-1,387
35670,2,1,0,-1,387
35671,2,2,0,-1,387
35672,2,3,0,-1,387
35673,3,0,0,-1,387
35674,3,1,0,-1,387
35675,3,2,0,-1,387
35676,3,3,0,-1,387
35677,4,0,0,-1,387
35678,4,1,0,-1,387
35679,4,2,0,-1,387
35680,4,3,0,-1,387
35681,5,0,0,-1,387
35682,5,2,0,-1,387
35683,6,1,0,-1,387
35684,6,3,0,-1,387
35685,7,0,0,-1,387
35686,7,1,0,-1,387
35687,7,2,0,-1,387
35688,7,3,0,-1,387
35689,8,0,0,-1,387
35690,8,1,0,-1,387
35691,8,2,0,-1,387
35692,9,0,0,-1,387
35693,10,0,0,-1,387
35694,10,1,0,-1,387
35695,10,2,0,-1,387
35696,10,3,0,-1,387
35697,11,0,0,-1,387
35698,11,1,0,-1,387
35699,11,2,0,-1,387
35700,11,3,0,-1,387
35701,12,0,0,-1,387
35702,12,1,0,-1,387
35703,12,2,0,-1,387
35704,12,3,0,-1,387
35705,13,0,0,-1,387
35706,13,1,0,-1,387
35707,13,2,0,-1,387
35708,13,3,0,-1,387
35709,14,0,0,-1,387
35710,14,1,0,-1,387
35711,14,2,0,-1,387
35712,14,3,0,-1,387
35713,15,0,0,-1,387
35714,15,1,0,-1,387
35715,15,2,0,-1,387
35716,15,3,0,-1,387
35717,16,0,0,-1,387
35718,16,1,0,-1,387
35719,16,2,0,-1,387
35720,16,3,0,-1,387
35721,17,0,0,-1,387
35722,17,1,0,-1,387
35723,17,2,0,-1,387
35724,17,3,0,-1,387
35725,18,0,0,-1,387
35726,18,1,0,-1,387
35727,18,2,0,-1,387
35728,18,3,0,-1,387
35729,19,0,0,-1,387
35730,19,1,0,-1,387
35731,19,2,0,-1,387
35732,19,3,0,-1,387
35733,20,0,0,-1,387
35734,20,1,0,-1,387
35735,20,2,0,-1,387
35736,20,3,0,-1,387
35737,21,0,0,-1,387
35738,21,1,0,-1,387
35739,21,2,0,-1,387
35740,21,3,0,-1,387
35741,22,0,0,-1,387
35742,22,1,0,-1,387
35743,22,3,0,-1,387
35744,23,0,0,-1,387
35745,23,1,0,-1,387
35746,23,2,0,-1,387
35747,23,3,0,-1,387
35748,1,0,0,-1,388
35749,1,1,0,-1,388
35750,1,2,0,-1,388
35751,1,3,0,-1,388
35752,2,0,0,-1,388
35753,2,1,0,-1,388
35754,2,2,0,-1,388
35755,2,3,0,-1,388
35756,3,0,0,-1,388
35757,3,1,0,-1,388
35758,3,2,0,-1,388
35759,3,3,0,-1,388
35760,4,0,0,-1,388
35761,4,1,0,-1,388
35762,4,2,0,-1,388
35763,4,3,0,-1,388
35764,5,0,0,-1,388
35765,5,2,0,-1,388
35766,6,1,0,-1,388
35767,6,2,0,-1,388
35768,6,3,0,-1,388
35769,7,0,0,-1,388
35770,7,1,0,-1,388
35771,7,2,0,-1,388
35772,7,3,0,-1,388
35773,8,0,0,-1,388
35774,8,1,0,-1,388
35775,8,2,0,-1,388
35776,9,0,0,-1,388
35777,10,0,0,-1,388
35778,10,1,0,-1,388
35779,10,2,0,-1,388
35780,10,3,0,-1,388
35781,11,0,0,-1,388
35782,22,0,0,-1,388
35783,23,0,0,-1,388
35784,23,1,0,-1,388
35785,23,2,0,-1,388
35786,23,3,0,-1,388
35787,1,0,0,-1,398
35788,1,7,0,-1,398
35789,2,0,0,-1,398
35790,2,3,0,-1,398
35791,2,7,0,-1,398
35792,3,0,0,-1,398
35793,3,3,0,-1,398
35794,3,7,0,-1,398
35795,4,0,0,-1,398
35796,4,7,0,-1,398
35797,5,0,0,-1,398
35798,5,7,0,-1,398
35799,6,7,0,-1,398
35800,7,0,0,-1,398
35801,7,2,0,-1,398
35802,7,7,0,-1,398
35803,8,0,0,-1,398
35804,8,7,0,-1,398
35805,9,0,0,-1,398
35806,9,2,0,-1,398
35807,9,7,0,-1,398
35808,10,0,0,-1,398
35809,10,3,0,-1,398
35810,10,7,0,-1,398
35811,10,16,0,-1,398
35812,11,0,0,-1,398
35813,11,7,0,-1,398
35814,12,0,0,-1,398
35815,12,7,0,-1,398
35816,13,0,0,-1,398
35817,13,7,0,-1,398
35818,14,0,0,-1,398
35819,14,7,0,-1,398
35820,15,0,0,-1,398
35821,15,7,0,-1,398
35822,16,0,0,-1,398
35823,16,7,0,-1,398
