ID,SpellID,SpellDescriptionVariablesID
234,250184,300
235,1120,302
236,63900,304
237,202044,304
238,209792,305
239,53301,305
240,194301,305
241,198810,305
242,152118,306
243,112048,307
244,174926,307
246,113861,314
247,189727,315
248,197380,315
249,224849,316
250,198013,316
251,224850,316
252,207144,317
254,186590,318
255,231682,318
256,245644,318
257,184670,325
258,184762,325
259,187611,325
260,187612,325
261,187613,325
262,187614,325
263,187615,325
264,202800,326
265,228477,327
266,192318,328
267,192376,329
269,193455,331
270,19434,332
271,185358,333
272,240701,333
273,35395,334
276,193315,338
277,53,339
278,12294,341
279,245239,341
280,246820,341
282,85288,343
283,96103,343
284,85384,343
285,23881,344
286,20243,345
287,236279,345
288,193796,346
289,194084,346
291,61882,349
292,203538,351
293,242629,352
294,242630,352
295,163201,353
296,238060,354
297,239042,355
298,238065,356
299,188499,357
300,206416,357
301,238087,358
302,250879,361
303,252799,362
304,252088,362
305,253070,362
306,253093,362
307,253111,362
308,252091,362
309,252191,362
310,252207,362
311,252875,362
312,252888,362
313,252906,362
314,252922,362
315,255360,167
316,254422,202
317,245453,208
318,253519,253
319,244126,341
320,255760,342
321,255812,342
322,255925,343
323,255926,343
324,255758,343
325,255813,343
326,256183,343
327,255811,344
328,256182,344
329,251527,350
330,244552,353
424,258101,202
426,256819,370
427,184662,371
428,235313,372
429,235450,373
430,11426,374
431,48707,375
433,256825,370
437,260520,332
438,260522,332
439,260535,296
440,5227,376
442,260631,341
443,260798,353
447,261465,341
449,261715,251
450,1680,377
451,262627,254
453,262861,318
454,256893,378
455,255647,378
457,259489,369
458,255659,380
459,260364,381
461,256833,370
465,265931,273
469,231895,382
470,203316,383
471,234299,384
474,79096,386
475,193359,387
477,268783,369
478,269751,388
479,255544,389
480,271466,390
481,205228,391
482,271852,254
483,129250,392
484,197045,393
485,1329,394
486,274683,335
487,217955,353
488,199530,395
489,275215,396
490,47468,399
491,91778,399
492,275478,401
493,263648,402
495,130736,403
496,276033,335
595,276837,503
596,207126,504
597,51462,506
598,206974,507
599,190456,396
600,278721,508
601,279254,510
602,279259,510
603,51690,509
604,272721,512
605,49184,385
606,55095,385
607,196770,385
608,185763,385
609,199804,513
610,195452,514
611,114014,385
612,197835,385
613,197211,385
614,187874,385
615,152279,385
616,194913,385
617,278505,515
618,30213,516
619,89751,517
620,30151,518
621,264057,519
622,157375,521
623,267997,522
624,46924,523
625,199849,524
626,215573,525
627,184367,319
628,281000,353
629,269120,526
630,278736,528
631,259391,529
632,202770,530
634,260331,531
635,203953,532
636,6353,533
637,281491,385
638,212436,534
639,187708,535
640,224126,536
641,280719,538
644,281955,251
645,282249,251
646,282263,385
647,282285,385
648,282293,251
649,282316,385
650,155148,539
654,283044,31
656,283498,385
657,283499,385
659,283580,336
660,283584,334
661,283585,335
664,283719,330
665,283745,176
666,283768,251
667,283770,385
668,283771,385
669,283772,385
670,283773,251
672,284223,331
673,284306,31
675,276123,540
676,284471,215
678,284871,300
679,285101,167
683,273488,541
684,278664,541
685,273007,541
686,278666,541
687,286573,541
689,287093,542
690,287251,543
691,287336,544
692,287340,544
693,287606,251
694,287631,546
695,287649,541
700,288080,547
704,288570,548
705,288882,549
706,205448,550
707,272983,551
709,77756,552
710,290276,357
713,288034,553
714,288267,554
716,290644,273
717,290645,533
718,287568,555
720,283258,527
722,278531,556
723,290819,31
724,291075,214
725,291349,318
726,291354,394
727,291356,339
728,291363,331
729,291367,219
731,292150,375
732,292294,167
733,292360,557
734,292359,558
735,292363,559
736,292364,560
737,292486,560
739,292627,176
741,292734,176
743,293895,334
744,294072,336
745,294183,558
746,294192,558
747,294194,558
748,287712,561
749,294138,562
751,294422,563
752,295238,372
753,295304,332
754,295320,333
755,295420,298
756,295425,273
758,295543,346
759,295572,558
760,295573,558
761,295658,558
762,295670,334
763,295682,558
764,295688,558
765,295568,564
766,295884,84
767,295965,565
768,295969,566
769,296088,558
770,296105,567
771,296141,568
772,293156,571
773,296515,567
775,297721,565
776,296320,572
778,298762,733
779,298789,566
780,299367,572
781,299369,572
783,300646,331
784,300647,331
785,300730,565
786,298442,573
787,298441,573
788,300789,573
796,306152,167
798,308201,565
804,311975,375
806,313216,577
807,313514,86
808,313531,86
809,303448,579
810,296230,579
811,299958,580
812,299959,580
813,303474,580
814,303476,580
817,315341,513
819,190411,581
820,316435,581
822,317349,583
823,317485,583
824,157047,584
825,318038,346
826,313108,585
827,312411,585
828,317821,585
829,313110,585
830,315085,585
831,315084,585
832,318158,215
833,318187,526
834,318211,526
835,318216,526
842,318483,526
843,318482,526
844,318481,526
845,318274,526
846,318487,526
847,318488,526
848,319778,346
854,319978,593
855,321012,593
856,321433,597
857,321530,598
858,321677,86
859,321685,86
860,321686,86
864,322507,247
865,322729,385
866,323673,599
867,324536,600
868,324557,600
870,8936,602
872,8092,318
873,326689,176
874,64382,604
875,204074,605
876,204019,606
877,325289,607
878,49020,608
879,49143,609
880,258920,610
886,329801,349
887,330325,583
888,330334,583
889,330588,374
890,330858,167
891,330888,167
893,330901,385
894,330911,251
895,331959,385
896,332531,167
897,332773,167
898,332862,593
899,319983,611
900,333470,84
901,334294,346
903,334713,518
904,152277,612
905,228920,612
907,336740,349
909,336245,614
910,337824,351
911,337825,351
912,1064,615
915,334993,617
916,340159,618
917,328281,526
918,326504,619
919,320659,620
920,320660,621
921,342156,622
922,321538,598
924,6572,623
926,343294,403
927,343355,550
928,191034,624
932,307865,626
933,325886,627
934,319217,628
935,324143,629
937,340211,630
938,343527,632
939,47481,633
941,19574,635
942,108416,636
943,344869,624
944,337286,637
945,336632,638
946,341310,639
947,339455,640
948,339272,641
949,210152,643
951,345545,644
952,345549,645
953,328266,646
954,346396,598
955,331584,647
956,325203,648
957,335260,649
959,335232,650
960,319191,651
961,337302,652
962,330671,653
963,335606,654
964,335576,654
965,335010,655
966,336191,656
967,339114,657
969,324184,526
970,324202,526
971,309621,526
972,322721,658
975,118000,660
976,326514,661
977,348511,565
978,348512,565
979,348541,565
980,348542,565
981,348543,565
982,348545,565
983,348546,565
984,348548,565
985,348637,374
988,349944,662
989,350060,663
990,324631,664
991,350488,629
992,351094,665
993,336182,666
995,351093,668
996,351978,86
997,351985,86
998,352536,669
999,352110,669
1001,352188,672
1002,353601,673
1003,212459,674
1004,353938,296
1005,353128,675
1007,354541,677
1008,352946,565
1009,354746,565
1010,353115,678
1012,355898,236
1013,356085,679
1014,51052,680
1015,354698,681
1016,356685,682
1017,354675,681
1019,356440,682
1021,357610,526
1022,358000,526
1023,352975,684
1024,358164,661
1025,328774,685
1026,357208,688
1027,357708,526
1028,357841,526
1029,357901,689
1030,357861,691
1031,359073,693
1032,357866,526
1037,359875,688
1038,352163,694
1039,360053,694
1040,360725,695
1041,360727,696
1042,360743,697
1043,360733,697
1044,360827,698
1058,363041,247
1060,363349,688
1064,363558,694
1065,363928,254
1066,363932,254
1067,363933,254
1068,363935,254
1069,363927,699
1070,363941,254
1073,364365,702
1074,365189,693
1435,367226,703
1437,367231,693
1438,368495,526
1439,368499,526
1442,368847,705
1443,369546,693
1444,369908,707
1445,364416,708
1447,370912,703
1448,370913,693
1457,371728,705
1464,355936,719
1468,372469,720
1810,375901,599
1811,376079,626
1812,376207,723
1815,377128,765
1816,377192,725
1827,382266,688
1828,382411,693
1829,382614,719
1831,382731,703
1833,382904,647
1835,383150,353
1836,383185,729
1837,383208,729
1838,383235,731
1839,383317,732
1840,383885,734
1843,383921,729
1846,384110,604
1852,385149,729
1855,385786,735
1856,370839,736
1857,375801,737
1858,12950,738
1859,386696,739
1863,24275,742
1864,31884,743
1865,387113,632
1867,387212,632
1868,387839,693
1870,388011,526
1871,388917,261
1872,378409,744
1873,389091,86
1874,389359,745
1875,388673,744
1876,389789,523
1877,373861,746
1878,389880,531
1879,387625,747
1880,389975,747
1881,390255,294
1882,390490,748
1883,390507,748
1884,390880,749
1886,388023,751
1887,388026,752
1889,391408,688
1893,392012,753
1894,392030,754
1895,392041,755
1896,392084,756
1897,392203,757
1898,392264,353
1899,392359,561
1900,198434,758
1901,47540,759
1902,392405,353
1903,373129,760
1904,392536,650
1905,392578,761
1906,393040,624
1907,393400,763
1908,91776,399
1909,360952,762
1910,387624,747
1914,394306,612
1915,394352,604
1916,394354,604
1918,378405,766
1919,26573,767
1920,378285,768
1921,395152,769
1922,148039,770
1923,53343,771
1924,373427,772
1925,378986,773
1927,363534,775
1931,396286,777
1933,390236,779
1934,396957,744
1935,41635,780
1960,120517,793
1961,120644,794
1962,110744,795
1963,122121,796
1964,400069,333
1965,400169,760
1980,85673,766
1981,375574,805
2015,405078,253
2016,405108,767
2019,405670,812
2020,406139,813
2021,343655,814
2022,406220,813
2023,406647,334
2024,406661,334
2055,407480,334
2057,31935,768
2064,408385,334
2068,116670,816
2069,409293,817
2070,114165,818
2074,408853,819
2078,410358,375
2091,53376,828
2092,375777,829
2093,405874,830
