Icon,String_lang,Tooltip_lang,DynamicTooltip_lang,ExtendedUI,ID,MapID,AreaID,StateVariable,Type,DynamicIconFileID,DynamicFlashIconFileID,OrderIndex,PhaseUseFlags,PhaseID,PhaseGroupID,ExtendedUIStateVariable[0],ExtendedUIStateVariable[1],ExtendedUIStateVariable[2]
Interface\WorldStateFrame\DreadLordIcon,The enemy controls the Undercity!,Varimathras and Grand Apothecary Putress have taken over the Undercity!,,,220,0,0,3878,0,0,0,0,0,175,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Horde is battling over the courtyard!,Assist the Horde forces in the Undercity courtyard!,,,221,0,0,3885,1,0,0,0,0,175,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The Horde controls the courtyard!,The area is now secured.,,,222,0,0,3886,1,0,0,0,0,175,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Horde is battling over the inner sanctum!,Assist the Horde forces in the Trade Quarter and Canals!,,,223,0,0,3887,1,0,0,0,0,175,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The Horde controls the inner sanctum!,The area is now secured.,,,224,0,0,3888,1,0,0,0,0,175,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Horde is battling over the Apothecarium!,Assist the Horde forces in the Apothecarium!,,,225,0,0,3891,1,0,0,0,0,175,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The Horde controls the Apothecarium!,The area is now secured.,,,226,0,0,3892,1,0,0,0,0,175,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Horde is battling over the Royal Quarter!,Assist the Horde forces in the Royal Quarter!,,,227,0,0,3889,1,0,0,0,0,175,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The Horde controls the Royal Quarter! Varimathras is defeated!,The Horde has regained control of the Undercity!,,,228,0,0,3890,1,0,0,0,0,175,0,0,0,0
,%3893w minute(s) remaining until this event resets.,,,,229,0,0,3894,1,0,0,0,0,175,0,0,0,0
,Time Remaining = %3931w min.,Time until Guardian of Time corrupted.,,,230,595,0,3932,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture,Gates Destroyed,Number of times you have destroyed a gate,,,231,607,0,0,2,0,0,2,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture,Demolishers Destroyed,Number of times you have destroyed a demolisher,,,232,607,0,0,2,0,0,1,0,0,0,0,0,0
Interface\WorldStateFrame\SkullBones,The enemy controls the Undercity!,Grand Apothecary Putress and Varimathras have taken over the Undercity!,,,233,0,0,3963,0,0,0,0,0,176,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Alliance is battling through the Sewers!,Assist the Alliance forces in the Undercity Sewers!,,,234,0,0,3962,1,0,0,0,0,176,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The Alliance has secured the Sewers!,The area is now secured.,,,235,0,0,3964,1,0,0,0,0,176,0,0,0,0
,%3957w minutes until the manhunt begins!,Time remaining until the manhunt for Grand Apothecary Putress begins!,,,236,0,0,3958,1,0,0,0,0,176,0,0,0,0
,The manhunt has begun!,The manhunt has begun!,,,237,0,0,3966,1,0,0,0,0,176,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The Alliance is battling through the Apothecarium!,Assist the Alliance forces in the Apothecarium!,,,238,0,0,3972,1,0,0,0,0,176,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The Alliance has secured the Apothecarium!,The area is now secured. Putress has been defeated!,,,239,0,0,3971,1,0,0,0,0,176,0,0,0,0
,Time until Algalon transmits distress signal= %4131w min.,Time until message sent.,,,240,603,4273,4132,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Reinforcements: %4226w,Alliance Reinforcements,,,241,628,0,4221,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Reinforcements: %4227w,Horde Reinforcements,,,242,628,0,4222,0,0,0,0,0,0,0,0,0,0
,Time Remaining: %4248w min.,Time Remaining,,,244,489,3277,4247,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerCapture,Bases Assaulted,Number of times enemy base banners have been removed,,,245,628,0,0,2,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerDefend,Bases Defended,Number of times a base capture has been prevented,,,246,628,0,0,2,0,0,1,0,0,0,0,0,0
,End of Round: %3559w:%3560w%3561w,Round ends after this duration,,,247,607,4384,3564,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Attempts Remaining: %4389w,,,,248,649,0,4390,0,0,0,0,0,0,0,0,0,0
,Spirit Wave = %4882w/10,Number of Spirit waves encountered.,,,249,668,0,4884,0,0,0,0,0,0,0,0,0,0
,Time Until Execution: %4904w Min,Time remaining until Minchar succumbs.,,,250,631,0,4903,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,,,251,631,4890,4940,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,,,252,631,4891,4940,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,,,253,631,4889,4940,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,,,254,631,4859,4940,0,0,0,0,0,0,0,0,0,0
,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,,,255,631,4910,4940,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Operation Gnomeregan is in progress.,Operation Gnomeregan is in progress.,,,260,0,0,4981,0,0,0,0,0,177,0,0,0,0
,Rocket Launchers Destroyed = %5027w/4,,,,261,0,0,5040,0,0,0,3,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,Assist the Gnomeregan forces at the engineering facilities.,Assist the Gnomeregan forces at the engineering facilities.,,,262,0,0,5018,0,0,0,2,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The airfield is under attack.,Assist the Gnomeregan forces at the Airfield!,,,263,0,0,5039,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The Gnomes control the airfield!,The Gnomes control the airfield!,,,264,0,0,5044,0,0,0,1,0,177,0,0,0,0
,Tankbusters Destroyed = %5006w/6,Assist the Gnomeregan forces at the engineering facilities.,,,265,0,0,5018,0,0,0,3,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The Gnomes control the airfield and command post.,The Gnomes have secured the airfield and the surface command post.,,,266,0,0,5043,0,0,0,1,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The forces are battling over the entrance to Gnomeregan.,Assist the Gnomeregan forces at the entrance to Gnomeregan.,,,267,0,0,5019,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The Gnomes control the surface of Gnomeregan.,"The entrance to Gnomeregan, command post and airfield are secure.",,,268,0,0,5045,0,0,0,1,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The forces are battling in the tunnels of Gnomeregan.,Assist the attack force in the tunnels of Gnomeregan.,,,269,0,0,5021,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,The tunnels of Gnomeregan are secured.,The tunnels of Gnomeregan are secured.,,,270,0,0,5011,0,0,0,1,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,%5037w minutes until Operation: Gnomeregan begins!,Operation: Gnomeregan will commence at this time,,,271,0,0,5038,1,0,0,0,0,177,0,0,0,0
,Halion's corporeality: %5050w%,Halion's corporeality in this dimension,,,272,724,0,5051,1,0,0,0,0,174,0,0,0,0
,Halion's corporeality: %5049w%,Halion's corporeality in this dimension,,,273,724,0,5051,1,0,0,0,0,169,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The Darkspear are prepared to take back the Echo Isles.,The Darkspear are prepared to take back the Echo Isles.,,,274,1,0,5052,0,0,0,0,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,%5071w minutes until Echo Isles takeback begins!,Echo Isles Takeback will commence at this time,,,275,1,0,5070,1,0,0,0,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,Requesting the aid of Bwonsamdi,Assist the trolls convince Bwonsamdi to help them,,,276,1,0,5099,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The trolls have Bwonsamdi on their side!,The trolls have Bwonsamdi on their side!,,,277,1,0,5100,0,0,0,1,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,Assist the trolls in taking back the burnt village.,Assist the trolls in taking back the burnt village.,,,278,1,0,5056,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,The burnt village has been reclaimed!,The Trolls have eliminated the mindless forces in the burnt village.,,,279,1,0,5101,0,0,0,1,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,Vol'jin and his forces are fighting Zalazane.,Vol'jin and his forces are fighting Zalazane and his hexed troll followers.,,,280,1,0,5090,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Zalazane has fled to another island!,The troll forces have forced Zalazane to flee to another island.,,,281,1,0,5102,0,0,0,1,0,177,0,0,0,0
Interface\WorldStateFrame\CombatSwords,The forces are battling Zalazane,The forces are battling Zalazane,,,282,1,0,5060,0,0,0,2,0,177,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Zalazane has been defeated!,Zalazane has been defeated!,,,283,1,0,5061,0,0,0,1,0,177,0,0,0,0
,Time Remaining: %3781k,Game ends after this duration,,,934,2118,14288,3710,3,0,0,0,0,0,0,0,0,0
