ID,DifficultyID,CastingTimeIndex,DurationIndex,RangeIndex,SchoolMask,Speed,LaunchDelay,MinDuration,SpellIconFileDataID,ActiveIconFileDataID,ContentTuningID,ShowFutureSpellPlayerConditionID,Attributes[0],Attributes[1],Attributes[2],Attributes[3],Attributes[4],Attributes[5],Attributes[6],Attributes[7],Attributes[8],Attributes[9],Attributes[10],Attributes[11],Attributes[12],Attributes[13],SpellID
314079,0,14,0,1,64,0,0,0,133951,0,0,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,597
314080,0,19,0,4,2,0,0,0,135924,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,598
314084,0,1,21,1,1,0,0,0,135955,135954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
314087,0,14,0,1,1,0,0,0,135740,0,0,0,256,1024,0,0,0,0,0,0,0,0,0,0,0,0,483
314089,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
314090,0,1,8,5,2,0,0,0,135953,0,0,0,65536,0,524288,128,0,0,67108864,0,16777216,0,0,0,0,0,139
314091,0,5,0,5,2,15,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
314092,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446
314093,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
314094,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448
314096,0,7,0,1,8,0,0,0,136010,0,0,0,268500992,131072,0,0,0,0,0,0,0,0,0,0,0,0,556
314102,0,1,8,36,8,0,0,0,132179,0,0,0,65536,0,0,0,64,0,0,0,0,0,0,0,0,0,136
314103,0,50,18,4,16,0,0,0,135834,0,0,0,1073807360,0,0,0,1048576,0,0,0,0,0,0,0,0,0,512
314105,0,1,0,13,32,0,0,0,136243,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,514
314106,0,1,26,13,1,0,0,0,132106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
314111,0,1,29,1,2,0,0,0,135954,0,0,0,327680,0,2097152,0,0,4,0,0,0,0,8192,0,0,0,498
314112,0,1,1,6,2,0,0,0,135985,0,0,0,0,136,4,131072,0,0,67108864,0,0,0,0,0,0,0,67
314113,0,1,0,4,8,0,0,0,136243,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,124
314114,0,6,22,13,32,0,0,0,136155,136155,0,0,65536,139268,4,0,65536,0,0,0,0,0,0,0,0,0,126
314116,0,1,9,4,64,0,0,0,135992,0,0,0,65536,131072,0,0,0,0,67108864,0,0,0,0,0,0,0,130
314117,0,1,6,4,32,0,0,0,136153,0,0,0,65536,131072,0,0,0,0,67108864,0,0,0,0,0,0,0,132
314124,0,2,0,3,32,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
314125,0,1,21,1,1,0,0,0,132341,132341,0,0,688193552,268436480,256,1048576,2097152,0,4096,0,0,0,0,0,0,0,71
314126,0,1,1,3,8,0,0,0,135996,0,0,0,65536,0,64,0,-536870912,0,0,0,0,0,0,0,0,0,228
314127,0,1,1,4,8,0,0,0,136091,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,246
314129,0,16,21,1,1,0,0,0,132266,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,581
314130,0,16,0,4,2,0,0,0,135924,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,585
314131,0,1,1,1,32,0,0,0,135994,0,0,0,327680,1024,524288,0,0,0,0,0,0,0,0,0,0,0,586
314132,0,14,0,1,64,0,0,0,133952,0,0,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,587
314133,0,16,8,4,16,0,0,0,135834,0,0,0,1073807360,0,0,0,1048576,0,0,0,0,0,0,0,0,0,113
314134,0,7,21,1,32,0,0,0,136218,0,0,0,65536,131073,0,0,0,0,0,0,0,0,0,0,0,0,688
314135,0,1,9,1,1,0,0,0,132121,0,0,0,262160,0,0,0,0,0,8388608,0,0,0,0,0,0,0,99
314136,0,1,0,1,1,0,0,0,136168,0,0,0,687866112,32,0,268435456,0,393224,0,0,0,0,0,0,0,0,7
314137,0,1,31,4,16,0,0,0,135857,0,0,0,65536,268435596,4194304,0,0,8192,0,0,0,0,0,0,0,0,10
314138,0,1,0,6,16,35,0,0,135846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
314139,0,1,1,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
314140,0,1,21,6,1,0,0,0,136243,0,0,0,536870912,131072,0,0,0,0,0,0,0,0,0,0,0,0,260
314141,0,1,15,3,16,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
314143,0,1,6,4,8,0,0,0,136104,0,0,0,65536,0,524288,0,0,0,67108864,268435456,0,0,0,0,0,0,467
314144,0,16,21,1,1,0,0,0,132261,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,468
314145,0,1,4,1,1,0,0,0,132351,0,0,0,16,0,256,0,0,0,67108864,268435456,0,0,0,0,0,0,469
314147,0,16,28,4,16,28,0,0,135846,0,0,0,65536,0,0,0,0,0,2097152,0,0,0,0,0,0,0,116
314148,0,8,0,1,8,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
314149,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
314150,0,1,9,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
314151,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
314152,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
314153,0,1,2,1,1,0,0,0,132277,0,0,0,262160,0,0,0,0,0,0,0,0,0,0,0,0,0,43
314154,0,1,0,1,1,0,0,0,132091,0,0,0,262160,0,0,0,0,0,0,0,0,0,0,0,0,0,45
314155,0,1,1,1,1,0,0,0,136243,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,47
314156,0,1,0,135,2,0,0,0,135928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
314157,0,1,0,13,127,0,0,0,136173,0,0,0,0,1024,4,268435456,0,0,0,0,0,0,0,0,0,0,50
314161,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553
314163,0,14,3,3,8,0,0,0,136095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555
314165,0,1,1,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
314166,0,16,35,35,4,24,0,0,135812,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,133
314167,0,5,32,35,4,24,0,0,135812,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,143
314168,0,19,32,35,4,24,0,0,135812,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,145
314169,0,1,85,1,1,0,0,0,134062,0,0,0,402653440,0,0,0,0,0,0,0,0,0,0,0,0,0,433
314171,0,1,6,4,8,0,0,0,135863,0,0,0,65536,131072,0,0,0,0,67108864,0,0,0,0,0,0,0,546
314172,0,20,0,5,8,0,0,0,136052,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,547
314173,0,19,0,4,8,20,0,0,136048,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,548
314176,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
314177,0,1,28,2,1,0,0,0,135860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
314178,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
314179,0,6,3,3,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
314180,0,1,27,2,1,0,0,0,132309,0,0,0,327696,262656,0,0,0,0,0,0,0,0,0,0,0,0,101
314181,0,0,0,1,1,0,0,0,136243,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,108
314182,0,7,0,12,64,0,0,0,134239,0,0,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,491
314184,0,16,21,1,1,0,0,0,132224,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,578
314185,0,16,21,1,1,0,0,0,132224,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,579
314186,0,16,21,1,1,0,0,0,132224,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,580
314188,0,14,0,1,1,0,0,0,136243,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,611
314191,0,20,0,5,2,0,0,0,135920,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,635
314196,0,1,0,1,1,0,0,0,133479,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,199
314197,0,1,0,1,1,0,0,0,135129,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,200
314198,0,1,0,1,1,0,0,0,132223,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,201
314199,0,1,0,1,1,0,0,0,132223,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,202
314200,0,1,21,1,1,0,0,0,136243,135954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464
314201,0,1,29,1,2,0,0,0,135896,0,0,0,327680,32768,2097152,0,0,4,0,1048576,0,0,8192,0,0,0,642
314205,0,1,0,13,2,0,0,0,133730,0,0,0,150994944,131072,67108868,268435456,0,393224,4096,8,32,0,0,0,0,0,5
314206,0,1,18,4,32,0,0,0,136135,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,89
314208,0,1,21,1,2,0,0,0,135893,136116,0,0,151322624,0,17,1114112,3145728,0,0,4,0,0,0,0,0,0,465
314213,0,1,85,4,32,0,0,0,136207,0,0,0,327680,0,524288,0,1048576,0,8388608,0,0,0,0,0,0,0,589
314218,0,1,1,2,1,0,0,0,132090,0,0,0,328720,0,0,0,0,0,0,0,0,0,0,0,0,0,96
314219,0,1,0,2,1,0,0,0,132090,0,0,0,327696,134218240,1048576,1024,0,0,0,0,0,0,0,0,0,0,53
314221,0,1,42,1,1,0,0,0,134873,0,0,0,671088640,0,0,0,0,0,0,0,0,0,0,0,0,0,2374
314224,0,1,3,4,32,0,0,0,136122,0,0,0,65536,0,0,0,0,0,8388608,0,0,0,0,0,0,0,603
314226,0,4,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
314227,0,1,1,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
314228,0,4,1,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
314235,0,1,28,4,32,0,0,0,136169,0,0,0,65536,16388,0,0,0,8192,8388608,0,0,0,0,0,0,0,689
314237,0,5,0,4,2,0,0,0,135924,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,591
314238,0,1,0,1,1,0,0,0,132392,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,196
314239,0,1,0,1,1,0,0,0,132395,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,197
314240,0,1,0,1,1,0,0,0,133476,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,198
314243,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443
314244,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444
314245,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
314246,0,16,29,4,8,0,0,0,136100,0,0,0,1073807360,0,0,0,1050624,32,8388608,0,0,0,0,0,0,0,339
314251,0,3,25,5,2,0,0,0,135980,0,0,0,65536,131072,524288,0,0,0,0,0,0,0,8192,0,0,0,724
314252,0,14,0,5,2,0,0,0,135943,0,0,0,65536,0,524288,0,0,0,0,0,16777216,0,0,0,0,0,596
314253,0,1,9,4,8,0,0,0,136067,0,0,0,65536,32768,0,0,0,0,0,0,0,0,0,0,0,0,550
314254,0,1,29,5,2,0,0,0,136066,0,0,0,329728,32768,0,0,0,0,67108864,0,0,0,0,0,0,0,552
314255,0,1,85,4,32,0,0,0,136207,0,0,0,327680,0,524288,0,1048576,0,8388608,0,0,0,0,0,0,0,594
314259,0,1,0,1,1,0,0,0,132154,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,203
314260,0,1,0,1,1,0,0,0,132279,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,204
314261,0,1,21,1,1,0,0,0,136101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31817
314262,0,16,21,1,1,0,0,0,132261,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,458
314263,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
314265,0,1,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
314266,0,18,0,114,1,40,0,0,132369,136116,0,0,327698,0,32,32768,16777216,0,0,0,0,0,0,0,0,0,75
314268,0,1,21,1,1,0,0,0,136243,0,0,0,262160,0,0,0,0,0,0,0,0,0,0,0,0,0,77
314269,0,1,0,1,1,0,0,0,136243,0,0,0,134217728,0,0,0,0,0,0,0,0,0,0,0,0,0,437
314270,0,1,187,2,1,0,0,0,132298,0,0,0,327696,4456960,0,1024,2056,0,8388608,0,0,0,0,0,0,0,408
314274,0,5,0,4,8,0,0,0,136015,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,421
314275,0,20,0,5,2,0,0,0,135920,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,639
314278,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,522
314279,0,1,0,5,8,0,0,0,136067,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,526
314280,0,4,9,4,8,0,0,0,136175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
314282,0,1,0,2,1,0,0,0,132282,0,0,0,327700,134217728,0,1024,0,0,0,0,0,0,0,0,0,0,78
314283,0,0,0,1,1,0,0,0,136047,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,81
314285,0,1,21,1,32,0,0,0,135905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
314286,0,1,0,95,1,0,0,0,132337,0,0,0,805634064,1024,0,0,0,0,8388608,262144,0,0,0,0,0,0,100
314287,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
314288,0,1,8,5,32,0,0,0,135933,0,0,0,65536,2228224,524288,196608,0,0,0,0,0,0,0,0,0,0,453
314289,0,1,11,1,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,454
314291,0,1,0,1,1,0,0,0,136069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456
314292,0,1,31,1,16,0,0,0,135848,0,0,0,1073807360,136,0,0,1074790400,0,0,0,0,0,0,0,0,0,122
314297,0,1,0,2,1,0,0,0,132282,0,0,0,327700,134217728,0,1024,0,0,0,0,0,0,0,0,0,0,285
314299,0,1,0,1,1,0,0,0,136243,0,0,0,134217728,0,0,0,0,0,0,0,0,0,0,0,0,0,438
314300,0,1,0,1,1,0,0,0,136243,0,0,0,671088640,0,0,0,0,0,0,0,0,0,0,0,0,0,439
314301,0,1,0,1,1,0,0,0,136243,0,0,0,671088640,0,0,0,0,0,0,0,0,0,0,0,0,0,440
314302,0,1,0,1,1,0,0,0,136243,0,0,0,671088640,0,0,0,0,0,0,0,0,0,0,0,0,0,441
314303,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442
314304,0,5,0,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
314306,0,1,30,1,2,0,0,0,135926,0,0,0,65536,0,524288,0,524288,0,0,0,0,0,0,0,0,0,602
314307,0,5,9,4,32,0,0,0,136174,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,606
314311,0,1,0,2,1,0,0,0,133644,0,0,0,196624,2232352,0,196608,8388608,0,0,0,0,0,0,0,0,0,921
314316,0,14,0,5,8,0,0,0,136052,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,913
314319,0,1,8,4,16,0,0,0,135842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139
314321,0,7,27,1,8,0,0,0,132163,0,0,0,-2147418112,131072,262144,0,0,0,0,0,0,0,0,0,0,0,982
314323,0,19,0,4,2,0,0,0,135924,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,984
314325,0,16,21,1,1,0,0,0,132261,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,470
314326,0,16,21,1,1,0,0,0,132261,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,471
314327,0,16,21,1,1,0,0,0,132261,136116,0,0,269844752,0,0,536870912,0,0,131072,0,0,0,0,0,0,0,472
314328,0,1,0,160,2,0,0,0,135894,0,0,0,65536,0,524288,0,0,0,8388608,0,0,0,0,0,0,0,527
314329,0,1,0,5,2,0,0,0,135935,0,0,0,327680,0,0,0,0,0,0,0,0,0,0,0,0,0,528
314332,0,14,0,1,32,0,0,0,136210,0,0,0,65536,131072,0,0,65536,0,0,0,0,0,0,0,0,0,693
314335,0,1,27,7,2,0,0,0,135963,0,0,0,327680,262144,0,0,0,0,8388608,2048,0,0,0,0,0,0,853
314338,0,1,30,1,32,0,0,0,136185,0,0,0,65536,131072,0,0,0,0,0,268435456,0,0,0,0,0,0,696
314342,0,1,27,2,1,0,0,0,133477,0,0,0,262144,136,0,0,0,0,0,0,0,0,0,0,0,0,56
314343,0,1,0,5,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
314344,0,2,0,4,1,25,0,0,136243,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,59
314345,0,1,0,5,1,25,0,0,136243,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,60
314346,0,1,0,6,1,25,0,0,136243,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,61
314347,0,1,9,1,8,0,0,0,136047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
314348,0,1,27,1,64,0,0,0,132220,0,0,0,1114112,131072,0,1073741824,64,0,0,0,0,0,8192,0,0,0,66
314356,0,7,21,1,32,0,0,0,136221,0,0,0,65536,131073,0,0,0,2,0,0,0,0,0,0,0,0,697
314357,0,1,4,4,32,0,0,0,136223,0,0,0,268500992,131076,0,1073741824,65536,8192,32,0,0,0,8192,0,0,0,698
314359,0,1,0,137,1,0,0,0,134296,0,0,0,262160,512,0,0,0,32768,0,0,0,0,0,0,0,0,779
314366,0,1,21,1,1,0,0,0,136120,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,823
314369,0,20,0,5,2,0,0,0,135920,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,1026
314373,0,24,0,4,32,20,0,0,136197,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,695
314375,0,14,0,1,1,0,0,0,136243,0,0,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0,563
314376,0,5,5,1,1,0,0,0,135805,0,0,0,268501008,0,0,0,0,0,0,0,0,0,0,0,0,0,818
314379,0,1,0,137,1,0,0,0,134296,0,0,0,262160,512,0,0,0,32768,0,0,0,0,0,0,0,0,780
314380,0,1,0,13,1,0,0,0,132294,0,0,0,1376256,0,67108864,1073938432,0,0,0,0,0,0,0,0,0,0,781
314381,0,5,0,4,8,0,0,0,136015,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,930
314383,0,90,0,4,32,20,0,0,136197,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,686
314384,0,5,8,4,4,0,0,0,135817,0,0,0,65536,0,0,0,1048576,0,0,0,0,0,0,0,0,0,707
314385,0,1,28,4,32,0,0,0,136169,0,0,0,65536,16388,0,0,0,8192,8388608,0,0,0,0,0,0,0,709
314386,0,20,0,5,2,0,0,0,135920,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,647
314387,0,1,35,4,8,20,0,0,135805,0,0,0,2048,0,4,0,0,0,0,0,0,0,0,0,0,0,804
314390,0,1,0,1,1,0,0,0,136103,0,0,0,16777424,0,0,0,0,0,0,0,0,0,0,0,0,0,824
314391,0,1,0,1,1,0,0,0,136103,0,0,0,20971728,0,0,0,0,0,0,0,0,0,0,0,0,0,825
314392,0,1,0,1,1,0,0,0,136103,0,0,0,16777424,0,0,0,0,0,0,0,0,0,0,0,0,0,826
314398,0,1,0,1,1,0,0,0,136120,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,822
314399,0,1,1,1,1,0,0,0,132794,0,0,0,402653440,0,0,0,0,0,0,0,4096,0,0,0,0,0,833
314400,0,1,21,1,1,0,0,0,132144,136116,0,0,360464,98304,0,0,2097152,0,0,0,0,0,0,0,0,0,783
314401,0,1,30,1,32,0,0,0,136185,0,0,0,65536,131072,0,0,0,0,0,268435456,0,0,0,0,0,0,687
314403,0,16,18,4,32,0,0,0,136090,0,0,0,1074855936,262144,0,0,0,32,0,0,0,0,0,0,0,0,700
314404,0,16,0,4,4,19,0,0,135810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701
314411,0,1,8,2,1,0,0,0,132155,0,0,0,327696,134218240,0,1024,0,0,8388608,0,0,0,0,0,0,0,772
314412,0,19,0,4,8,20,0,0,136048,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,915
314415,0,14,0,4,8,0,0,0,136057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932
314419,0,3,18,36,8,0,0,0,136129,0,0,0,603979776,0,0,256,0,0,0,0,0,0,0,0,0,0,785
314422,0,5,8,4,4,0,0,0,135817,0,0,0,65536,0,0,0,1048576,0,0,0,0,0,0,0,0,0,1094
314426,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,668
314427,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,669
314428,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,671
314429,0,1,2,1,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,830
314430,0,1,0,1,1,0,0,0,136243,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,831
314431,0,1,3,1,1,0,0,0,136224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806
314432,0,1,21,13,1,0,0,0,136170,0,0,0,8390912,0,4,0,0,0,0,0,0,0,0,0,0,0,812
314433,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,813
314434,0,1,0,1,1,0,0,0,136243,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,814
314437,0,20,0,5,2,0,0,0,135920,0,0,0,65536,0,0,0,0,0,0,0,16777216,0,0,0,0,0,1042
314443,0,1,28,4,1,12,0,0,132149,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,745
314444,0,1,32,11,1,0,0,0,135915,0,0,0,16,16452,0,0,0,0,0,0,0,0,0,0,0,0,746
314445,0,1,21,1,1,0,0,0,136243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747
