ID,SpellID,Reagent[0],Reagent[1],Reagent[2],Reagent[3],Reagent[4],Reagent[5],Reagent[6],Reagent[7],ReagentCount[0],ReagentCount[1],ReagentCount[2],ReagentCount[3],ReagentCount[4],ReagentCount[5],ReagentCount[6],ReagentCount[7]
19444,2334,2449,2447,3371,0,0,0,0,0,2,1,1,0,0,0,0,0
19445,2335,2452,2450,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19446,2336,2449,785,3371,0,0,0,0,0,2,2,1,0,0,0,0,0
19447,2337,118,2450,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19448,8880,2840,2880,3470,2318,0,0,0,0,6,1,1,1,0,0,0,0
19449,2663,2840,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19450,2664,2840,3470,0,0,0,0,0,0,10,3,0,0,0,0,0,0
19451,2665,2836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19452,2162,2318,2320,0,0,0,0,0,0,5,2,0,0,0,0,0,0
19453,2163,2318,2320,2324,0,0,0,0,0,8,2,1,0,0,0,0,0
19454,2158,2318,2320,0,0,0,0,0,0,7,2,0,0,0,0,0,0
19455,2159,2318,2321,0,0,0,0,0,0,10,2,0,0,0,0,0,0
19456,2666,2840,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
19458,3297,3575,3466,3391,1705,3478,2319,0,0,6,2,1,2,2,2,0,0
19459,3515,3859,3577,3486,0,0,0,0,0,10,4,4,0,0,0,0,0
19460,3816,783,4289,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19461,3817,4232,4289,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19462,3818,4235,4289,0,0,0,0,0,0,1,3,0,0,0,0,0,0
19463,3295,2841,3466,2459,1210,3478,2319,0,0,4,1,1,2,2,2,0,0
19464,3296,2841,3466,1206,1210,3478,2319,0,0,8,1,1,1,2,2,0,0
19465,3495,3575,3577,1705,3466,4234,3486,0,0,10,4,2,2,2,2,0,0
19466,2164,4231,2318,2320,0,0,0,0,0,1,4,2,0,0,0,0,0
19467,3973,2842,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19468,3496,3859,3466,3486,1705,4234,0,0,0,8,2,2,3,3,0,0,0
19469,3955,4382,4375,4377,2592,0,0,0,0,1,1,2,2,0,0,0,0
19470,3956,2319,1206,4368,0,0,0,0,0,4,2,1,0,0,0,0,0
19471,3957,4375,3829,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19472,3958,3575,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19473,3502,3575,3864,2605,0,0,0,0,0,12,1,1,0,0,0,0,0
19474,3494,3575,3466,3486,2842,4234,0,0,0,8,2,1,4,2,0,0,0
19475,3503,3859,3577,3486,0,0,0,0,0,8,2,2,0,0,0,0,0
19476,3959,4375,4306,1529,4371,0,0,0,0,3,2,1,1,0,0,0,0
19477,3960,4371,4387,4377,2319,0,0,0,0,4,1,4,4,0,0,0,0
19478,3961,3575,10558,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19479,2165,2319,2320,0,0,0,0,0,0,4,1,0,0,0,0,0,0
19480,3504,3575,3486,2605,0,0,0,0,0,7,1,1,0,0,0,0,0
19481,3505,3859,3577,3486,0,0,0,0,0,6,2,1,0,0,0,0,0
19482,3333,2841,2842,3478,0,0,0,0,0,8,1,2,0,0,0,0,0
19483,3938,2841,2880,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19484,2385,2996,2320,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19485,3491,2841,2880,3470,818,2319,0,0,0,6,4,2,1,1,0,0,0
19486,3492,3575,3466,3486,1705,4234,0,0,0,6,2,1,2,3,0,0,0
19487,3493,3575,3466,3486,1529,4234,0,0,0,8,2,2,2,3,0,0,0
19488,2403,2997,2321,4340,0,0,0,0,0,4,3,1,0,0,0,0,0
19489,2406,2997,2321,4340,0,0,0,0,0,2,1,1,0,0,0,0,0
19490,2389,2996,2320,2604,0,0,0,0,0,3,2,2,0,0,0,0,0
19491,2392,2996,2320,2604,0,0,0,0,0,2,1,1,0,0,0,0,0
19494,3932,4363,4359,2841,2592,0,0,0,0,1,2,1,1,0,0,0,0
19495,3336,3575,5498,3478,2605,0,0,0,0,4,2,2,1,0,0,0,0
19496,3337,2838,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19498,3454,3358,3819,3372,0,0,0,0,0,4,2,1,0,0,0,0,0
19499,2393,2996,2320,2324,0,0,0,0,0,1,1,1,0,0,0,0,0
19500,2331,785,765,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19501,2332,785,2447,3371,0,0,0,0,0,2,1,1,0,0,0,0,0
19502,2402,2997,2321,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19503,2330,2447,765,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19504,2160,2318,2320,0,0,0,0,0,0,8,4,0,0,0,0,0,0
19505,2161,2318,2320,0,0,0,0,0,0,8,5,0,0,0,0,0,0
19507,3933,4364,4363,2318,159,0,0,0,0,2,1,1,1,0,0,0,0
19508,3934,2318,818,0,0,0,0,0,0,6,2,0,0,0,0,0,0
19509,3936,4361,4359,4399,2319,0,0,0,0,2,4,1,2,0,0,0,0
19510,3294,2840,2880,2842,3470,2318,0,0,0,10,2,2,2,2,0,0,0
19511,12044,2996,2320,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19512,2673,2841,2842,3478,0,0,0,0,0,10,2,2,0,0,0,0,0
19513,2674,2838,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19514,2675,2841,1206,1705,5500,2842,0,0,0,20,2,2,2,4,0,0,0
19515,2156,2318,2320,0,0,0,0,0,0,8,2,0,0,0,0,0,0
19516,2157,2318,2320,0,0,0,0,0,0,6,2,0,0,0,0,0,0
19517,2169,2319,2321,4340,0,0,0,0,0,6,1,1,0,0,0,0,0
19518,2662,2840,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
19519,2963,2589,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19520,2964,2592,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19521,2401,2997,2321,2318,0,0,0,0,0,4,2,2,0,0,0,0,0
19522,2545,2675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19523,2546,2677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19524,2547,1081,1080,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19525,2548,2677,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19526,2362,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19527,2549,1015,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19528,2386,2996,2320,2318,0,0,0,0,0,3,1,1,0,0,0,0,0
19529,2387,2996,2320,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19530,2657,2770,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19531,2658,2775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19532,2659,2840,3576,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19533,3774,4236,4234,2321,2605,7071,0,0,0,1,5,1,1,1,0,0,0
19534,3776,4236,4234,2605,2321,0,0,0,0,2,6,1,1,0,0,0,0
19535,2660,2835,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19536,3777,4234,4236,4291,0,0,0,0,0,6,2,1,0,0,0,0,0
19537,3778,4236,5500,1529,3864,2321,0,0,0,4,1,1,1,1,0,0,0
19538,3779,4234,4236,4096,5633,4291,7071,0,0,6,2,2,1,1,1,0,0
19539,2668,2841,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
19540,2670,2841,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
19542,2881,2934,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19543,2149,2318,2320,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19544,2152,2318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19545,2394,2996,2320,6260,0,0,0,0,0,2,1,1,0,0,0,0,0
19546,2395,2996,2318,2321,0,0,0,0,0,4,1,1,0,0,0,0,0
19547,2396,2996,2321,2605,0,0,0,0,0,3,1,1,0,0,0,0,0
19548,2397,2996,2320,0,0,0,0,0,0,2,3,0,0,0,0,0,0
19549,2153,2318,2320,0,0,0,0,0,0,4,1,0,0,0,0,0,0
19550,2671,2841,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
19551,2672,2841,3478,0,0,0,0,0,0,5,2,0,0,0,0,0,0
19552,2166,2319,4231,2321,0,0,0,0,0,10,6,2,0,0,0,0,0
19553,2167,2319,2321,4340,0,0,0,0,0,4,2,1,0,0,0,0,0
19554,2168,2319,2321,4340,0,0,0,0,0,8,1,1,0,0,0,0,0
19555,2661,2840,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
19556,2667,2840,1210,3470,0,0,0,0,0,12,1,2,0,0,0,0,0
19558,2329,2449,765,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19559,3397,3730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19560,3856,4305,3182,2321,0,0,0,0,0,3,1,2,0,0,0,0,0
19561,3922,2840,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19562,3923,2840,4359,4357,2589,0,0,0,0,1,1,2,1,0,0,0,0
19563,3924,2840,2880,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19564,3925,4361,4359,4399,0,0,0,0,0,1,1,1,0,0,0,0,0
19565,3926,4359,2840,2589,0,0,0,0,0,2,1,2,0,0,0,0,0
19566,3398,3731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19567,3177,3355,3820,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19568,3841,2996,2320,2605,0,0,0,0,0,3,2,1,0,0,0,0,0
19569,3842,2996,2321,0,0,0,0,0,0,4,2,0,0,0,0,0,0
19570,3930,4364,2840,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19571,3870,4305,4340,2321,0,0,0,0,0,2,2,1,0,0,0,0,0
19572,3962,3575,4377,4306,0,0,0,0,0,1,1,1,0,0,0,0,0
19573,3321,2840,3470,0,0,0,0,0,0,8,2,0,0,0,0,0,0
19574,3868,2997,5500,2321,2324,0,0,0,0,4,1,4,2,0,0,0,0
19575,3869,4305,4341,2321,0,0,0,0,0,1,1,1,0,0,0,0,0
19576,3843,2997,2321,0,0,0,0,0,0,3,1,0,0,0,0,0,0
19577,3844,2997,2321,5498,0,0,0,0,0,3,2,2,0,0,0,0,0
19578,3400,3712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19579,3839,4306,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
19580,3840,2996,2320,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19581,3845,2996,2318,2321,0,0,0,0,0,5,2,1,0,0,0,0,0
19582,9269,2841,4375,814,818,774,0,0,0,6,1,2,1,1,0,0,0
19583,9271,2841,6530,4364,0,0,0,0,0,2,1,1,0,0,0,0,0
19584,3847,2997,2318,2321,2604,0,0,0,0,4,2,1,2,0,0,0,0
19585,3848,2997,2321,0,0,0,0,0,0,3,2,0,0,0,0,0,0
19586,3849,2997,2319,2321,0,0,0,0,0,6,2,2,0,0,0,0,0
19587,3850,2997,2321,0,0,0,0,0,0,5,4,0,0,0,0,0,0
19588,3979,4371,1529,3864,0,0,0,0,0,1,1,1,0,0,0,0,0
19589,3561,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19591,3188,2449,3356,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19592,3773,4236,4234,3824,2321,0,0,0,0,2,12,1,2,0,0,0,0
19593,3453,3358,3818,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19594,3871,4305,2324,2321,0,0,0,0,0,3,2,1,0,0,0,0,0
19595,3173,785,3820,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19596,3447,2453,2450,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19597,3448,3818,3355,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19598,3174,1288,2453,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19599,3866,2997,2604,2321,0,0,0,0,0,3,2,1,0,0,0,0,0
19600,3914,2996,2320,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19601,3915,2996,2320,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19602,3275,2589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19603,3276,2589,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19604,3277,2592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19605,3278,2592,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19606,3449,3818,3369,3372,0,0,0,0,0,4,4,1,0,0,0,0,0
19607,3450,3355,3821,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19608,3175,8839,8845,8925,0,0,0,0,0,2,1,1,0,0,0,0,0
19609,3176,2453,2450,3372,0,0,0,0,0,2,2,1,0,0,0,0,0
19610,3928,4363,4359,2840,774,0,0,0,0,1,1,1,2,0,0,0,0
19611,3929,2836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19612,3451,3357,2453,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19613,3452,3820,3356,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19614,3172,785,3355,3371,0,0,0,0,0,3,1,1,0,0,0,0,0
19615,3399,3731,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19616,2737,2840,2880,2589,0,0,0,0,0,6,1,2,0,0,0,0,0
19617,2738,2840,2880,2589,0,0,0,0,0,6,1,2,0,0,0,0,0
19618,2739,2840,2880,2589,0,0,0,0,0,6,1,2,0,0,0,0,0
19619,2740,2841,2880,2319,0,0,0,0,0,6,4,1,0,0,0,0,0
19620,3506,3575,3486,2605,0,0,0,0,0,8,1,1,0,0,0,0,0
19621,3292,2840,2880,818,2319,0,0,0,0,14,2,2,2,0,0,0,0
19622,3562,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19623,3563,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19624,3511,3859,3577,3486,0,0,0,0,0,12,2,4,0,0,0,0,0
19625,3972,10505,4234,159,0,0,0,0,0,2,2,1,0,0,0,0,0
19626,3756,2318,2320,0,0,0,0,0,0,3,2,0,0,0,0,0,0
19627,3813,4305,4234,2321,0,0,0,0,0,3,2,3,0,0,0,0,0
19628,3293,2840,2880,774,3470,2318,0,0,0,12,2,2,2,2,0,0,0
19629,3857,4305,2321,4337,0,0,0,0,0,3,2,2,0,0,0,0,0
19630,3858,4305,4291,3824,0,0,0,0,0,4,1,1,0,0,0,0,0
19631,3334,3575,3478,2605,0,0,0,0,0,6,2,1,0,0,0,0,0
19632,3308,2776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19633,3864,4339,4234,3864,7071,4291,0,0,0,4,4,1,1,1,0,0,0
19634,3865,4338,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
19635,3965,4387,4382,4389,4234,0,0,0,0,1,1,1,4,0,0,0,0
19636,3966,4234,3864,0,0,0,0,0,0,6,2,0,0,0,0,0,0
19637,3859,4305,6260,0,0,0,0,0,0,5,4,0,0,0,0,0,0
19638,3860,4305,4291,4337,0,0,0,0,0,4,1,2,0,0,0,0,0
19639,3861,4305,3827,4291,0,0,0,0,0,4,1,1,0,0,0,0,0
19640,3947,4377,2841,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19641,3949,4371,4375,4400,2842,0,0,0,0,2,2,1,3,0,0,0,0
19642,3937,2840,4364,4404,0,0,0,0,0,3,4,1,0,0,0,0,0
19643,3952,4371,4375,2319,1206,0,0,0,0,1,2,2,1,0,0,0,0
19644,3953,2841,2319,2592,0,0,0,0,0,2,1,1,0,0,0,0,0
19645,3954,4371,4375,4400,1705,0,0,0,0,3,3,1,2,0,0,0,0
19647,2741,2841,2880,2319,0,0,0,0,0,7,4,1,0,0,0,0,0
19648,3950,4377,2841,4404,0,0,0,0,0,2,3,1,0,0,0,0,0
19649,3323,2840,3470,0,0,0,0,0,0,8,2,0,0,0,0,0,0
19650,3170,2447,2449,3371,0,0,0,0,0,1,2,1,0,0,0,0,0
19651,3171,785,2450,3371,0,0,0,0,0,1,2,1,0,0,0,0,0
19652,3971,4389,1529,1705,3864,7191,0,0,0,4,2,2,2,1,0,0,0
19653,3330,2841,2842,3478,0,0,0,0,0,8,2,2,0,0,0,0,0
19654,3331,2841,2842,3478,0,0,0,0,0,6,1,2,0,0,0,0,0
19655,3304,2771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19656,3967,3575,4377,4404,0,0,0,0,0,3,3,1,0,0,0,0,0
19657,3968,4377,3575,4389,0,0,0,0,0,3,2,1,0,0,0,0,0
19658,3969,4382,4387,4389,3864,0,0,0,0,1,2,2,1,0,0,0,0
19659,3370,2924,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19660,3862,4339,4291,3829,4337,0,0,0,0,3,2,1,2,0,0,0,0
19661,3863,4305,4337,7071,0,0,0,0,0,4,2,1,0,0,0,0,0
19662,3307,2772,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19663,3507,3575,3577,3486,0,0,0,0,0,10,2,1,0,0,0,0,0
19664,3508,3575,3486,1529,1206,4255,0,0,0,20,4,2,2,1,0,0,0
19667,3855,4305,2319,3182,5500,0,0,0,0,2,4,4,2,0,0,0,0
19668,3569,3575,3857,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19669,3872,4305,4342,4291,0,0,0,0,0,4,1,1,0,0,0,0,0
19670,3873,4305,2325,4291,0,0,0,0,0,5,1,1,0,0,0,0,0
19671,3963,4387,4382,4389,4234,0,0,0,0,2,1,2,4,0,0,0,0
19672,3764,2319,2321,0,0,0,0,0,0,14,4,0,0,0,0,0,0
19673,3513,3859,3864,1705,3486,0,0,0,0,8,1,1,2,0,0,0,0
19674,3772,4234,2605,2321,0,0,0,0,0,9,2,4,0,0,0,0,0
19675,3931,4364,2589,0,0,0,0,0,0,3,1,0,0,0,0,0,0
19676,3565,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19677,3780,4234,2321,0,0,0,0,0,0,5,1,0,0,0,0,0,0
19678,3497,3859,0,0,1529,3829,0,0,0,12,0,0,2,2,0,0,0
19679,3566,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19680,3567,17031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19681,3498,3575,3466,3486,3577,4234,0,0,0,14,2,2,4,2,0,0,0
19682,3500,3859,0,0,3864,3824,0,0,0,10,0,0,2,2,0,0,0
19683,3765,2319,5373,2321,4340,0,0,0,0,8,2,1,1,0,0,0,0
19684,3766,4246,4233,2321,4340,0,0,0,0,1,1,2,1,0,0,0,0
19685,3767,2319,3383,2321,0,0,0,0,0,8,1,2,0,0,0,0,0
19686,3768,4233,2319,2321,0,0,0,0,0,1,4,1,0,0,0,0,0
19687,3944,4375,4402,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19688,3945,2838,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19689,3946,4377,2592,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19690,3319,2840,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
19691,3320,2835,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19692,3759,4231,2318,2320,0,0,0,0,0,1,6,2,0,0,0,0,0
19693,3760,4234,2321,0,0,0,0,0,0,5,2,0,0,0,0,0,0
19694,3324,2840,2321,3470,0,0,0,0,0,8,2,3,0,0,0,0,0
19695,3939,4371,4359,4400,1206,0,0,0,0,2,2,1,3,0,0,0,0
19696,3940,2319,1210,0,0,0,0,0,0,4,2,0,0,0,0,0,0
19697,3761,4231,2318,2320,0,0,0,0,0,3,6,4,0,0,0,0,0
19698,3230,2452,765,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19699,3371,3173,3172,3174,0,0,0,0,0,1,1,1,0,0,0,0,0
19700,3372,1468,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19701,3373,3667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19702,3377,2251,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19703,3753,2318,2320,0,0,0,0,0,0,6,1,0,0,0,0,0,0
19704,3755,2996,2320,0,0,0,0,0,0,3,3,0,0,0,0,0,0
19705,3762,4243,4231,2320,0,0,0,0,0,1,2,2,0,0,0,0,0
19706,3763,2318,2320,0,0,0,0,0,0,6,2,0,0,0,0,0,0
19707,3115,2835,2589,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19708,3854,4305,4234,6260,2321,0,0,0,0,3,2,2,2,0,0,0,0
19709,3769,2319,3390,4340,2321,0,0,0,0,12,1,1,2,0,0,0,0
19710,3770,2319,4233,3389,3182,2321,0,0,0,4,2,2,2,2,0,0,0
19711,3771,4234,5637,2321,0,0,0,0,0,6,2,1,0,0,0,0,0
19712,3116,2836,2592,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19713,3117,2838,2592,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19714,2742,2841,2880,2319,0,0,0,0,0,5,4,2,0,0,0,0,0
19715,3941,4364,2841,4404,2592,0,0,0,0,4,2,1,1,0,0,0,0
19716,3942,2841,2592,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19717,3325,2840,818,774,0,0,0,0,0,8,1,1,0,0,0,0,0
19718,3326,2836,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19719,3328,2841,3478,0,0,0,0,0,0,5,1,0,0,0,0,0,0
19720,4096,4461,4234,2321,0,0,0,0,0,6,4,2,0,0,0,0,0
19721,4097,4461,4234,2321,0,0,0,0,0,4,4,2,0,0,0,0,0
19722,3851,2997,5500,2321,0,0,0,0,0,6,1,3,0,0,0,0,0
19723,3501,3575,2605,0,0,0,0,0,0,6,1,0,0,0,0,0,0
19724,3977,4361,774,4359,0,0,0,0,0,1,1,1,0,0,0,0,0
19725,3978,4371,1206,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19726,4508,3164,2447,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19727,3918,2835,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19728,3919,4357,2589,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19729,3920,4357,2840,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19730,3852,2997,2321,3383,0,0,0,0,0,4,3,1,0,0,0,0,0
19731,5244,5082,2318,2320,0,0,0,0,0,3,4,1,0,0,0,0,0
19732,5699,6265,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19733,5266,2592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19734,5267,2589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19735,5268,2592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19736,4094,3404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19737,5169,2589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19739,14293,4470,10938,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19740,4942,3858,3821,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19741,4960,878,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19742,6500,5504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19743,6501,5503,1179,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19744,7149,4234,2321,1206,0,0,0,0,0,10,2,1,0,0,0,0,0
19745,6499,5503,159,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19746,7255,2453,2452,3371,0,0,0,0,0,1,1,1,0,0,0,0,0
19747,7256,3369,3356,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19748,7257,4402,6371,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19749,7258,3819,3821,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19750,6310,12220,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
19751,6458,4371,4375,4363,1206,0,0,0,0,2,2,1,1,0,0,0,0
19752,6695,4305,2325,2321,0,0,0,0,0,5,1,4,0,0,0,0,0
19753,6685,5026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19754,6686,2996,2321,2604,0,0,0,0,0,4,1,1,0,0,0,0,0
19756,5264,2589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19757,5265,2589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19759,6201,6265,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19760,6688,2997,2604,2321,0,0,0,0,0,4,1,1,0,0,0,0,0
19761,6202,6265,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19762,6517,2841,3466,5498,3478,0,0,0,0,6,1,2,2,0,0,0,0
19764,7151,4234,4236,2321,0,0,0,0,0,8,1,2,0,0,0,0,0
19765,6518,2841,3466,5500,3478,2319,0,0,0,10,1,1,2,2,0,0,0
19766,7153,4234,4305,4291,0,0,0,0,0,14,2,2,0,0,0,0,0
19767,7818,2842,3470,0,0,0,0,0,0,1,2,0,0,0,0,0,0
19768,7179,3820,6370,3371,0,0,0,0,0,1,2,1,0,0,0,0,0
19771,7181,3357,3356,3372,0,0,0,0,0,1,1,1,0,0,0,0,0
19772,6661,4234,2321,7071,0,0,0,0,0,14,2,1,0,0,0,0,0
19773,6979,5026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19774,6980,5026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19775,6521,2997,2321,5498,0,0,0,0,0,3,2,1,0,0,0,0,0
