ID,TraitDefinitionID
6382,36554
6383,36553
6384,36552
6385,36551
6386,36550
6387,36549
6388,36548
6389,36614
6390,36613
6391,36612
6392,36611
6393,36610
6394,36609
6395,36608
6396,36607
6397,36606
6398,36605
6399,36604
6400,36603
6401,36671
6402,36670
6403,36669
6404,36668
6405,36667
6406,36666
6407,36665
6408,36664
6409,36663
6410,36662
6411,36661
6412,36660
6413,36659
6414,36658
6415,36657
6416,36656
6417,36655
6418,36654
6419,36653
6420,36652
6421,36651
6422,36650
6423,36649
6424,36648
6425,36647
6426,36646
6427,36645
6428,36644
6429,36643
6430,36642
6431,36641
6432,36640
6433,36639
6434,36638
6435,36637
6436,36636
6437,36635
6438,36634
6439,36633
6440,36632
6441,36631
6442,36630
6443,36629
6444,36628
6445,36627
6446,36626
6447,36625
6448,36624
6449,36623
6450,36622
6451,36621
6452,36620
6453,36619
6454,36618
6455,36617
6456,36616
6539,40955
6540,40954
6541,40953
6542,40952
6543,40951
6544,40950
6545,40949
6546,40948
6547,40947
6548,40946
6549,40945
6550,40944
6551,40943
6552,40942
6553,40941
6554,40940
6555,40939
6556,40938
6557,40937
6558,40936
6559,40935
6560,40934
6561,40933
6562,40932
6563,40931
6564,40930
6565,40929
6566,40928
6567,40927
6568,40926
6569,40997
6570,40996
6571,40995
6572,40994
6573,40993
6574,40992
6575,40991
6576,40990
6577,40989
6578,40988
6579,40987
6580,40986
6581,40985
6582,40984
6583,40983
6584,40982
6585,40981
6586,40980
6587,40979
6588,40978
6589,40977
6590,40976
6591,40975
6592,40974
6593,40973
6594,40972
6595,40971
6596,40970
6597,40969
6598,40968
6599,40967
6600,40966
6601,40965
6602,40964
6603,40963
6604,40962
6605,40961
6606,40960
7118,47336
7119,47335
7120,47334
7121,47333
7122,47332
7123,47331
7124,47330
7125,47329
7126,47328
7127,47327
7128,47326
7129,47325
7130,47324
7131,47323
7132,47322
7133,47321
7134,47320
7135,47319
7136,47318
7137,47317
7138,47316
7139,47315
7140,47314
7141,47313
7142,47312
7143,47311
7144,47310
7145,47309
7146,47308
7147,47307
7148,47379
7149,47378
7150,47377
7151,47376
7152,47375
7153,47374
7154,47373
7155,47372
7156,47371
7157,47370
7158,47369
7159,47368
7160,47367
7161,47366
7162,47365
7163,47364
7164,47363
7165,47362
7166,47361
7167,47360
7168,47359
7169,47358
7170,47357
7171,47356
7172,47355
7173,47354
7174,47353
7175,47352
7176,47351
7177,47350
7178,47349
7179,47348
7180,47347
7181,47346
7182,47345
7183,47344
7184,47343
7185,47342
7186,47341
7187,47340
7188,47413
7189,47412
7190,47411
7191,47410
7192,47409
7193,47408
7194,47407
7195,47406
7196,47405
7197,47404
7198,47403
7199,47402
7200,47401
7201,47400
7202,47399
7203,47398
7204,47397
7205,47396
7206,47395
7207,47394
7208,47393
7209,47392
7210,47391
7211,47390
7212,47389
7213,47388
7214,47387
7215,47386
7216,47385
7217,47384
7256,47497
7257,47496
7258,47495
7259,47494
7260,47493
7261,47492
7262,47491
7263,47490
7264,47489
7265,47488
7266,47487
7267,47486
7268,47485
7269,47484
7270,47483
7271,47482
7272,47481
7273,47480
7274,47479
7275,47478
7276,47477
7277,47476
7278,47475
7279,47474
7280,47473
7281,47472
7282,47471
7283,47470
7284,47469
7285,47468
7286,47467
7287,47466
7288,47465
7289,47464
7290,47463
7291,47462
7292,47461
7293,47460
7294,47560
7295,47559
7296,47558
7297,47557
7298,47556
7299,47555
7300,47554
7301,47553
7302,47552
7303,47551
7304,47550
7305,47549
7306,47548
7307,47547
7308,47546
7309,47545
7310,47544
7311,47543
7312,47542
7313,47541
7314,47540
7315,47539
7316,47538
7317,47537
7318,47536
7319,47535
7320,47534
7321,47533
7322,47532
7323,47531
7324,47530
7325,47529
7326,47528
7327,47527
7328,47526
7329,47525
7330,47524
7331,47523
7332,47522
7333,47521
7334,47520
7335,47519
7336,47518
7337,47517
7338,47516
7339,47515
7340,47514
7341,47513
7342,47512
7343,47511
7344,47510
7345,47509
7346,47508
7347,47507
7348,47506
7349,47505
7350,47504
7351,47503
7722,55480
7723,55479
7724,55478
7725,55477
7726,55476
7727,55475
7728,55474
7729,55473
7730,55472
7731,55471
7732,55470
7733,55469
7734,55468
7735,55467
7736,55466
7737,55465
7738,55464
7739,55463
7740,55462
7741,55461
7742,55460
7743,55459
7744,55458
7745,55457
7746,55456
7747,55455
7748,55454
7749,55453
7750,55452
7751,55451
7752,55450
7753,55449
7754,55448
7755,55447
7756,55446
7757,55514
7758,55513
7759,55512
7760,55511
7761,55510
7762,55509
7763,55508
7764,55507
7765,55506
7766,55505
7767,55504
7768,55503
7769,55502
7770,55501
7771,55500
7772,55499
7773,55498
7774,55497
7775,55496
7776,55495
7777,55494
7778,55493
7779,55492
7780,55491
7781,55490
7782,55489
7783,55488
7784,55487
7785,55486
7786,55485
7787,55554
7788,55553
7789,55552
7790,55551
7791,55550
7792,55549
7793,55548
7794,55547
7795,55546
7796,55545
7797,55544
7798,55543
7799,55542
7800,55541
7801,55540
7802,55539
7803,55538
7804,55537
7805,55536
7806,55535
7807,55534
7808,55533
7809,55532
7810,55531
7811,55530
7812,55529
7813,55528
7814,55527
7815,55526
7816,55525
7817,55524
7818,55523
7819,55522
7820,55521
7821,55520
7822,55519
7899,55724
7900,55723
7901,55722
7902,55721
7903,55720
7904,55719
7905,55718
7906,55717
7907,55716
7908,55715
7909,55714
7910,55713
7911,55712
7912,55711
7913,55710
7914,55709
7915,55708
7916,55707
7917,55706
7918,55705
7919,55704
7920,55703
7921,55702
7922,55701
7923,55700
7924,55699
7925,55698
7926,55697
7927,55696
7928,55695
7929,55694
7930,55693
7931,55692
7932,55691
7933,55690
7934,55689
7935,55688
7936,55687
7937,55686
7938,55685
7939,55684
7940,55683
7941,55682
7942,55681
7943,55680
7944,55679
7945,55678
7946,55677
7947,55676
7948,55675
7949,55674
7950,55673
7951,55672
7952,55671
7953,55670
7954,55669
7955,55668
7956,55667
7957,55666
7958,55665
7959,55664
7960,55663
7961,55662
7962,55661
7963,55660
7964,55659
7965,55658
7966,55657
7967,55656
7968,55655
7969,55654
7970,55653
7971,55652
7972,55651
7973,55650
7974,55649
8108,58626
8109,58625
8110,58624
8111,58623
8112,58622
8113,58621
8114,58620
8115,58619
8116,58618
8117,58617
8118,58616
8119,58615
8120,58614
8121,58613
8122,58612
8123,58611
8124,58610
8125,58609
8126,58608
8127,58607
8128,58606
8129,58605
8130,58604
8402,59419
8403,59418
8404,59417
8405,59416
8406,59415
8407,59414
8408,59413
8409,59412
8410,59411
8411,59410
8412,59409
8413,59408
8414,59407
8415,59406
8416,59405
8417,59404
8418,59403
8419,59402
8420,59401
8421,59400
8422,59399
8423,59398
8424,59397
8425,59396
8426,59395
8427,59394
8428,59393
8429,59392
8430,59391
8431,59390
8432,59389
8433,59388
8434,59387
8435,59386
8436,59385
8437,59384
8438,59383
8439,59382
8440,59381
8441,59380
8442,59379
8443,59378
8444,59377
8445,59376
8446,59375
8447,59374
8448,59373
8449,59372
8450,59371
8451,59370
8452,59369
8453,59368
8454,59367
8455,59366
8456,59365
8457,59364
8458,59363
8459,59362
8460,59361
8461,59360
8462,59359
8463,59358
8464,59357
8465,59356
8466,59355
8467,59354
8468,59353
8469,59352
8470,59351
8471,59350
8472,59349
8473,59348
8474,59347
8475,59346
8476,59345
8477,59344
8478,59343
8479,59342
8480,59341
8481,59340
8482,59339
8483,59338
8484,59337
8485,59336
8486,59335
8487,59334
8488,59333
8489,59332
8490,59331
8491,59330
8492,59329
8493,59328
8494,59327
8495,59326
8496,59325
8497,59324
10195,72255
10196,72254
10197,72253
10198,72252
10199,72251
10200,72250
10201,72249
10202,72248
10203,72247
10204,72246
10205,72245
10206,72244
10207,72243
10208,72242
10209,72241
10210,72240
10211,72239
10212,72238
10213,72237
10214,72236
10215,72235
10216,72234
10217,72233
10218,72232
10219,72231
10220,72230
10221,72229
10222,72228
10223,72227
10224,72226
10225,72225
10226,72224
10227,72223
10228,72222
10229,72294
10230,72293
10231,72292
10232,72291
10233,72290
10234,72289
10235,72288
10236,72287
10237,72286
10238,72285
10239,72284
10240,72283
10241,72282
10242,72281
10243,72280
10244,72279
10245,72278
10246,72277
10247,72276
10248,72275
10249,72274
10250,72273
10251,72272
10252,72271
10253,72270
10254,72269
10255,72268
10256,72267
10257,72266
10258,72265
10259,72264
10260,72263
10261,72262
10262,72261
10263,72260
10264,72325
10265,72324
10266,72323
10267,72322
10268,72321
10269,72320
10270,72319
10271,72318
10272,72317
10273,72316
10274,72315
10275,72314
10276,72313
10277,72312
10278,72311
10279,72310
10280,72309
10281,72308
10282,72307
10283,72306
10284,72305
10285,72304
10286,72303
10287,72302
10288,72301
10289,72300
10290,72299
10291,72365
10292,72364
10293,72363
10294,72362
10295,72361
10296,72360
10297,72359
10298,72358
10299,72357
10300,72356
10301,72355
10302,72354
10303,72353
10304,72352
10305,72351
10306,72350
10307,72349
10308,72348
10309,72347
10310,72346
10311,72345
10312,72344
10313,72343
10314,72342
10315,72341
10316,72340
10317,72339
10318,72338
10319,72337
10320,72336
10321,72335
10322,72334
10323,72333
10324,72332
10325,72331
10326,72330
10327,72329
10397,79596
10398,79595
10399,79594
10400,79593
10401,79592
10402,79591
10403,79590
10404,79589
10405,79588
10406,79587
10407,79586
10408,79585
10409,79584
10410,79583
10411,79582
10412,79581
10413,79580
10414,79579
10415,79578
10416,79577
10417,79576
10418,79575
10419,79574
10420,79573
10421,79572
10422,79571
10423,79570
10424,79569
10425,79568
10426,79567
10427,79566
10428,79565
10429,79564
10430,79630
10431,79629
10432,79628
10433,79627
10434,79626
10435,79625
10436,79624
10437,79623
10438,79622
10439,79621
10440,79620
10441,79619
10442,79618
10443,79617
10444,79616
10445,79615
10446,79614
10447,79613
10448,79612
10449,79611
10450,79610
10451,79609
10452,79608
10453,79607
10454,79606
10455,79605
10456,79604
10457,79603
10458,79602
10459,79601
10460,79685
10461,79684
10462,79683
10463,79682
10464,79681
10465,79680
10466,79679
10467,79678
10468,79677
10469,79676
10470,79675
10471,79674
10472,79673
10473,79672
10474,79671
10475,79670
10476,79669
10477,79668
10478,79667
10479,79666
10480,79665
10481,79664
10482,79663
10483,79662
10484,79661
10485,79660
10486,79659
10487,79658
10488,79657
10489,79656
10490,79655
10491,79654
10492,79653
10493,79652
10494,79651
10495,79650
10496,79649
10497,79648
10498,79647
10499,79646
10500,79645
10501,79644
10502,79643
10503,79642
10504,79641
10505,79640
10506,79639
10507,79638
10508,79637
10509,79636
10510,79635
10511,79634
10752,82302
10753,82301
10754,82300
10755,82299
10756,82298
10757,82297
10758,82296
10759,82295
10760,82294
10761,82293
10762,82292
10763,82291
10764,82290
10765,82289
10766,82288
10767,82287
10768,82286
10769,82285
10770,82284
10771,82283
10772,82282
10773,82281
10774,82280
10775,82279
10776,82278
10777,82277
10778,82276
10779,82275
10780,82274
10781,82273
10782,82272
10783,82271
10784,82270
10785,82269
10786,82268
10787,82267
10788,82266
10789,82265
10790,82264
10791,82263
10792,82262
10793,82261
10794,82260
10795,82259
10796,82258
10797,82257
10798,82256
10799,82255
10800,82254
10801,82253
10802,82337
10803,82336
10804,82335
10805,82334
10806,82333
10807,82332
10808,82331
10809,82330
10810,82329
10811,82328
10812,82327
10813,82326
10814,82325
10815,82324
10816,82323
10817,82322
10818,82321
10819,82320
10820,82319
10821,82318
10822,82317
10823,82316
10824,82315
10825,82314
10826,82313
10827,82312
10828,82311
10829,82310
10830,82309
10831,82308
10832,82390
10833,82389
10834,82388
10835,82387
10836,82386
10837,82385
10838,82384
10839,82383
10840,82382
10841,82381
10842,82380
10843,82379
10844,82378
10845,82377
10846,82376
10847,82375
10848,82374
10849,82373
10850,82372
10851,82371
10852,82370
10853,82369
10854,82368
10855,82367
10856,82366
10857,82365
10858,82364
10859,82363
10860,82362
10861,82361
10862,82360
10863,82359
10864,82358
10865,82357
10866,82356
10867,82355
10868,82354
10869,82353
10870,82352
10871,82351
10872,82350
10873,82349
10874,82348
10875,82347
10876,82346
10877,82345
10878,82344
10879,82343
10880,82342
10881,82341
11025,87467
11026,87466
11027,87465
11028,87464
11029,87463
11030,87462
11031,87461
11032,87460
11033,87459
11034,87458
11035,87457
11036,87456
11037,87455
11038,87454
11039,87453
11040,87452
11041,87451
11042,87450
11043,87449
11044,87448
11045,87447
11046,87446
11047,87445
11048,87444
11049,87443
11050,87442
11051,87441
11052,87440
11053,87439
11054,87438
11055,87437
11056,87436
11057,87435
11058,87434
11059,87433
11060,87432
11061,87431
11062,87430
11063,87429
11064,87428
11065,87427
11066,87426
11067,87425
11068,87424
11069,87423
11070,87422
11071,87421
11072,87420
11073,87419
11074,87418
11075,87417
11076,87416
11077,87415
11078,87414
11079,87413
11080,87412
11081,87411
11082,87410
11083,87409
11084,87408
11085,87407
11086,87406
11087,87405
11088,87404
11089,87403
11090,87402
11091,87401
11092,87400
11093,87399
11094,87398
11095,87397
11096,87396
11097,87395
11098,87394
11121,92399
11122,92398
11123,92397
11124,92396
11125,92395
11126,92394
11127,92393
11128,92392
11129,92391
11130,92390
11131,92389
11132,92388
11133,92387
11134,92386
11135,92385
11136,92384
11137,92383
11138,92382
11139,92381
11140,92380
11141,92379
11142,92378
11143,92377
11144,92376
11145,92375
11146,92374
11147,92373
11148,92372
11149,92371
11150,92370
11151,92369
11152,92368
11153,92445
11154,92444
11155,92443
11156,92442
11157,92441
11158,92440
11159,92439
11160,92438
11161,92437
11162,92436
11163,92435
11164,92434
11165,92433
11166,92432
11167,92431
11168,92430
11169,92429
11170,92428
11171,92427
11172,92426
11173,92425
11174,92424
11175,92423
11176,92422
11177,92421
11178,92420
11179,92419
11180,92418
11181,92417
11182,92416
11183,92415
11184,92414
11185,92413
11186,92412
11187,92411
11188,92410
11189,92409
11190,92408
11191,92407
11192,92406
11193,92405
11194,92404
11195,92403
11264,106593
11265,106594
11266,106595
11267,106596
11268,106597
11269,107010
11270,107011
11271,107012
11272,107013
11273,107014
11274,107015
11275,107016
11276,107017
11277,107018
11278,107019
11279,107020
11280,107021
11281,107022
11285,108549
11288,110263
11294,113223
11308,116888
