ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
Love is in the Air: Complete Bonbon Blitz,From 2/6 - 2/20 complete the quest Bonbon Blitz.,45,137621,150,0,0
Love is in the Air: Defeat Apothecary Hummel,From 2/6 - 2/20 defeat Apothecary Hummel in Shadowfang Keep.,46,137623,150,0,0
Love is in the Air: Present a Lovely Charm Bracelet,From 2/6 - 2/20 present a Lovely Charm Bracelet to one of your faction leaders.,47,137625,150,0,0
/hug A Dead Player,Emote /hug a dead player.,48,137634,50,0,0
Resurrect Players,,49,137636,50,0,0
Use Zanzil's Slow Poison,Use Zanzil's Slow Poison which can be obtained from Gerald Black in Stormwind or Alpheus Cain in Orgrimmar.,50,137645,50,0,0
Earn Gold From the Auction House,,52,137647,100,0,0
"Eat a Chocolate Cake Slice, Lovely Cake Slice, and Berry Pie Slice","Eat a Chocolate Cake Slice, Lovely Cake Slice, and Berry Pie Slice that can be obtained from Aimee in Old Dalaran.",53,137651,50,0,0
Hatching of the Hippogryphs: Frayfeather Hatchling Perch,On 2/23 incubate a Frayfeather Egg to get a hatchling to perch on your shoulder.,54,137655,150,0,0
Hatching of the Hippogryphs: Use a Spectral Feather,On 2/23 loot a Spectral Feather from Lorthalium and use it.,55,137657,150,0,0
Darkmoon Faire: Set Out a Big Berry Pie,From 2/5 - 2/11 set out a Big Berry Pie on Darkmoon Faire Island.,56,137659,50,0,0
Trial of Style: Earn 100 Trial of Style Tokens,From 8/01 to 8/07 earn Trial of Style Tokens by participating in the Trial of Style.,61,137688,100,266,0
Catch Fish on the Broken Isles,,63,137731,100,0,0
"Obtain a Toy That Gets You ""Lookin' Good""",,64,137776,50,0,0
Trial of Style: /cheer at Players,From 3/20 - 3/24 emote /cheer at players while participating in the Trial of Style.,65,137787,50,0,0
"Trial of Style: Use Trial of Style Spotlight, Dance Floor, and Flames","From 3/20 - 3/24 use Trial of Style Spotlight, Dance Floor, and Flames while participating in the Trial of Style.",66,137789,100,0,0
Trial of Style: Use Letter from an Admirer,From 3/20 - 3/24 use Letter from an Admirer while participating in the Trial of Style.,67,137793,50,0,0
Defeat Kael'thas Sunstrider at Magister's Terrace,,68,137795,150,0,0
Un'Goro Madness: Loot Dino Mojo,From 3/17 - 3/19 loot Dino Mojo in Un'Goro Crater.,69,137797,150,0,0
Un'Goro Madness: Gain the Awesome Adaptation,From 3/17 - 3/19 use Dino Mojo to increase Adaptation effects until you are awesome.,70,137799,150,0,0
Darkmoon Faire: Complete The Humanoid Cannonball,From 3/5 - 3/11 complete the quest The Humanoid Cannonball on Darkmoon Faire Island.,71,137801,50,0,0
Use the Overtuned Corgi Goggles Toy,,72,137803,50,0,0
Change Your Appearance,Visit a major city barber to change your appearance.,73,137805,20,0,0
Trial of Style: Collect the Trader's Bicorne Appearance,From 3/20 - 3/24 collect the Trader's Bicorne appearance by participating in the Trial of Style.,74,137807,20,0,0
"/flex at Another Player While ""Lookin' Good""","Emote /flex at a player while yoiu have the effect of a ""lookin good"" toy.",75,137809,50,0,0
/curtsey at an Opposite Faction Player,Emote /curtsey at an opposite faction player.,76,137811,20,0,0
"/awe at a Player Who is ""Lookin' Good""","Emote /awe at a player with the effect of a ""lookin' good"" toy.",77,137813,50,0,0
Earn Reputation Throughout the Dragon Isles,,79,137872,150,0,0
Complete 15 Mythic+ Dungeons,,81,140979,200,0,5
Complete Maruuk Centaur Grand Hunts,Complete Maruuk Centaur Grand Hunts on the Dragon Isles.,82,140981,150,0,0
Land a Lunker with a Friend,Use a harpoon to land a lunker with another player on the Dragon Isles.,83,140983,50,0,0
Complete Tasks During the Iskaara Tuskarr Community Feast,Complete tasks during the Community Feast in Iskaara on the Dragon Isles.,84,140985,50,0,0
Complete the Siege on Dragonbane Keep,Complete the Siege on Dragonbane Keep in the Waking Shores on the Dragon Isles.,85,140987,50,0,0
Use Buddy System While Climbing,Use Buddy System during climbing world quests on the Dragon Isles.,86,140989,50,0,0
Defeat Special Creatures During Primalist Storms,Special creatures will appear during Primalist Storm on the Dragon Isles.,87,140991,100,0,0
Complete 4 Dragonriding Rally Courses on the Dragon Isles,Speak to a Bronze Timekeeper at an active rally location on the Dragon Isles.,88,141010,250,265,0
Complete a PvP World Quest on the Dragon Isles,,89,141012,100,0,0
Defeat a Dragon Isles World Boss,,90,141021,100,0,0
Complete the Optional Waking Shores Storylines,,91,141032,200,0,0
Complete Weekly Gathering Quests,Speak to a profession trainer in the Artisan's Market in Valdrakken.,92,141044,100,0,0
Complete Weekly Crafting Quests,Speak to a profession training at the Artisan's Market in Valdrakken.,93,141057,100,0,0
Loot War Supply Chests on the Dragon Isles,,94,141095,100,0,0
Fish Up Items on the Dragon Isles,,95,141125,100,0,0
/love at the Dragon Aspects,Emote /love at the Dragon Aspects in Valdrakken.,96,141883,50,0,0
/love at Fallen Dragons,Emote /love at 2 fallen dragons inside of their raid.,97,141887,50,0,0
Obtain a Spring-Themed Toy,,98,141941,50,0,0
Noblegarden: Eat Noblegarden Chocolates in Iskaara,From 4/10 - 4/17 eat Noblegarden Chocolates in Iskaara on the Dragon Isles.,99,141949,100,0,0
Noblegarden: Use Spring Flowers in an Arena or Battleground,From 4/10 - 4/17 use Spring Flowers on an opposing player in an arena or battleground.,100,141951,50,0,0
Noblegarden: Collect Brightly Colored Eggs,From 4/10 - 4/17 collect Brightly Colored Eggs.,101,141953,100,0,0
Photograph Legendary Fishers,Photograph legendary fishers during cataloging world quests on the Dragon Isles.,102,141960,50,0,0
Complete Cataloging World Quests,Complete cataloging world quests on the Dragon Isles.,103,141971,50,0,0
Obtain Elemental Overflow,Obtain Elemental Overflow from creatures affected by Primalist Storms on the Dragon Isles.,104,141979,100,0,0
Complete Dragonriding Courses on the Dragon Isles,Speak to a Bronze Timekeeper on the Dragon Isles.,105,141981,100,0,0
Noblegarden: Place Eggs,From 4/10 - 4/17 place 12 Intricately-Painted Eggs or 1 Magnificently-Painted Egg.,106,141983,50,0,0
March of the Tadpoles: Complete A Gift From Your Tadpole,On 4/5 complete the quest A Gift From Your Tadpole.,107,141986,150,0,0
Complete the Optional Ohn'ahran Plains Storylines,,108,141988,150,0,0
Defeat Grand Hunt Bosses,Defeat Maruuk Centaur Grand Hunt bosses on the Dragon Isles.,109,141997,100,0,0
Land Lunkers with a Harpoon,Use a harpoon to land lunkers on the Dragon Isles.,110,142034,50,0,0
Turn in Obsidian Keys,Turn in Obsidian Keys to individuals around Obsidian Citadel on the Dragon Isles.,111,142036,100,0,0
Change the Appearance of Your Dragonriding Mount,Visit a Rostrum of Transformation on the Dragon Isles.,112,142038,20,0,0
Earn Honor at the Cobalt Assembly Training Grounds in the Azure Span,,113,142733,100,0,0
Volunteer Guard Day: Slay City Invaders,On 4/28 emote /salute at a Stormwind or Orgrimmar guard and slay City Invaders.,114,142040,200,0,0
Darkmoon Faire: Complete Dance Dance Darkmoon,From 4/2 - 4/8 complete the quest Dance Dance Darkmoon on Darkmoon Faire Island.,115,142044,50,0,0
Darkmoon Faire: /cheer While Riding the Carousel or a Sandbox Tiger,From 4/2 - 4/8 emote /cheer while riding the carousel or a Sandbox Tiger on Darkmoon Faire Island.,116,142048,50,0,0
Use the Dragon Isles Teleportation Network,Interact with an Ancient Waygate to use the teleportation network on the Dragon Isles.,117,142050,100,0,0
Kill Creatures in Dragonsprings Summit,Kill creatures that grant experience in Dragonsprings Summit in south east Ohn'ahran Plains.,118,142052,50,0,0
Complete the Trial of the Flood,Complete the Trial of the Flood in Ohn'iri Springs on the Dragon Isles.,119,142054,50,0,0
Complete the Serene Dream Spa Storyline,Complete the Serene Dream Spa storyline in Thaldraszuz on the Dragon Isles.,120,142056,50,0,0
Defeat Dragon Isles Elite Pets with Dragonkin Pets,Defeat 2 Dragon Isles elite pets with a lineup of at least 2 dragonkin pets.,121,142058,200,0,0
"Fish Up Items While ""Looking"" Good",Fish items up while wearing Onyx Glare-Reducers or a Craftman's Monocle.,122,142063,50,0,0
"Craft Items While ""Looking"" Good",Craft items while wearing Onyx Glare-Reducers or a Craftman's Monocle.,123,142065,50,0,0
Complete the Optional Azure Span Storylines,,124,142067,150,0,0
Earn Honor in Nokhudon Hold,Earn honor in Nokudon Hold on the Dragon Isles.,125,142046,100,0,0
Change the Appearance of your Grand Hunt Companion,Speak to Trainer Frodrum at a Grand Hunt location on the Dragon Isles.,126,142080,20,0,0
Discover Hidden Gem Clusters on the Dragon Isles,Use Gem Cluster Maps on the Dragon Isles.,127,142082,50,0,0
Defeat Dragon Isles Master Tamers with Mechanical pets,Defeat 2 Dragon Isles Master Tamers with a lineup of at least 2 mechanical pets.,128,142725,200,0,0
Loot a Bounty and a War Supply Chest in Ohn'ahran Plains,Loot a War Mode bounty from a slain player and open a War Supply Chest in Ohn'ahran Plains.,129,142087,150,0,0
Complete Weekly Crafting Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,130,0,100,0,0
Complete Weekly Gathering Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,131,0,100,0,0
Complete Solo Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a solo race.,132,0,100,0,0
Complete the Siege on Dragonbane Keep,Complete the Siege on Dragonbane Keep scenario in the Waking Shores.,133,0,50,0,0
Complete Climbing World Quests,Complete climbing world quests on the Dragon Isles.,135,142099,100,0,0
Get Hit by Primalist Storm Tornados,Get hit by a tornados during a Primalist thunderstorm.,136,142112,50,0,0
Complete Aylaag Caravan Quests,Complete Aylaag caravan quests in Ohn'ahran Plains on the Dragon Isles.,137,142114,100,0,0
Fly through Winds of the Isles while Dragonriding,Fly through Winds of the Isles while Dragonriding on the Dragon Isles.,138,142133,50,0,0
Fish Up Items at Iskarra Tuskarr Fishing Holes,,139,142135,50,0,0
Collect Bloody Tokens on the Dragon Isles,Complete PvP activities on the Dragon Isles.,140,142224,150,0,0
Noblegarden: Complete Daily Quests,From 4/10 - 4/17 complete Noblegarden daily quests.,141,142243,100,0,0
/bounce at Critters on the Dragon Isles,Emote /bounce at critters on the Dragon Isles.,142,142248,50,0,0
"Eat Soup While ""Lookin' Good""","Eat soup from the Communal Pot in Iskaara while you have the effect of a ""lookin' good"" toy.",143,142261,50,0,0
/love at the Trading Post,Emote /love at the Trading Post merchants and their wares.,144,142268,50,0,0
Defeat 25 Raid Bosses,,145,142290,250,0,10
Land a Lunker with Friends,Use a harpoon to land a lunker with at least 5 other players on the Dragon Isles.,146,142297,50,0,0
Fulfill Public Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,147,142299,100,0,0
Fulfill Personal Crafting Orders,Speak to a profession training at the Artisan's Market in Valdrakken.,148,142303,100,0,0
Noblegarden: Complete a Dragonflight Dungeon While Wearing a Spring Circlet,From 4/10 - 4/17 complete a Dragonflight dungeon while wearing a spring circlet.,149,142324,50,0,0
Defeat Storm's Fury Bosses,Defeat Storm's Fury bosses in Primalist Future on the Dragon Isles.,150,142527,100,0,0
Fulfill Public Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,152,142299,100,0,0
Open Zskera Vault Doors,Use Zskera Vault Keys to open doors in the Zskera Vaults.,154,143906,100,0,0
Complete Maruuk Centaur Grand Hunts,Complete Maruuk Centaur Grand Hunts on the Dragon Isles.,155,143919,150,0,0
"""Yes Chef!"" During a Community Feast","""Yes Chef!"" at a Community Feast in Iskaara on the Dragon Isles.",156,143922,50,0,0
Complete Dragonrider Racing World Quests,,157,144066,50,0,0
Complete Dragonscale Expedition World Quests,Complete Dragonscale Expedition world quests on the Dragon Isles.,158,143930,100,0,0
Defeat Forbidden Reach Primal Storm Bosses,Defeat Primal Storm bosses in the Forbidden Reach on the Dragon Isles.,159,143936,50,0,0
"Complete ""Sparks of Life"" Quests","Complete ""Sparks of Life"" quests on the Dragon Isles.",160,143949,100,0,0
Complete Zskera Vaults Weekly Quests,Complete Zskera Vaults weekly quests in the Forbidden Reach on the Dragon Isles.,161,143955,75,0,0
Defeat Dragon Isles Pet Tamers with Dragonkin Pets,Defeat Dragon Isles Pet Tamers with a lineup of at least 2 Dragonkin pets.,162,143959,200,0,0
Use Shuffling Sands Toy in a Warlords of Draenor Dungeon,,163,143966,50,0,0
Children's Week: Complete a Quest,From 5/1 - 5/8 complete a Children's Week quest.,164,143968,100,0,0
Children's Week: Complete Daily Quests Alongside an Orphan,From 5/1 - 5/8 complete daily quests while you have an orphan alongside you.,165,143977,100,0,0
Children's Week: Land Lunkers with a Harpoon Alongside an Orphan,From 5/1 - 5/8 use a harpoon to land lunkers while you have an orphan alongside you.,166,143998,50,0,0
Children's Week: Complete Quests,From 5/1 - 5/8 complete 4 Children's Week quests.,167,144000,150,0,0
Children's Week: /cheer at Paera Finebreeze Alongside an Orphan,From 5/1 - 5/8 emote /cheer at Paera Finebreeze in Iskaara while you have an orphan alongside you.,168,144011,50,0,0
Children's Week: Complete Mythic+ Dungeons Alongside an Orphan,From 5/1 - 5/8 complete Mythic+ dungeons while you have an orphan alongside you.,169,144013,100,0,0
Spring Balloon Festival: Complete a Hot Air Balloon Ride,From 5/10 - 5/12 hop into a hot air balloon and enjoy the whole ride.,170,144015,100,0,0
Glowcap Festival: Witness the Rise and Fall of Fshoo,On 5/27 help keep the great Fshoo alive as long as possible in Sporeggar in Zangarmarsh.,171,144017,150,0,0
Darkmoon Faire: Complete Tonk Commander,From 5/7 - 5/13 complete the quest Tonk Commander on Darkmoon Faire Island.,172,144021,50,0,0
Darkmoon Faire: Balloon + Pony = Fun,From 5/7 - 5/13 ride a Darkmoon Pony around Darkmoon Faire Island while holding a balloon.,173,144028,50,0,0
Squeaky Duck Fishing,Use the Crate of Bobbers: Squeaky Duck toy and then fish up items on the Dragon Isles.,174,144039,50,0,0
Slay Creatures While Representing the Burning Blade,Slay creatures that grant experience while under effects of the Banner of the Burning Blade toy on the Dragon Isles.,175,144041,50,0,0
Use the Murglasses Toy,"Use the Murglasses toy in Valdrakken, Iskarra, Maruukai, and Dragonscale Basecamp.",176,144043,100,0,0
/dance at Murglasses,Emote /dance at a player with the Murglasses effect from the Murglasses toy.,177,144048,50,0,0
Flip a Hearthstone Gameboard,Use the Hearthstone Board tow and interact with a Hearthstone Gameboard at the Missing Hinge Inn in Azure Span.,178,144050,50,0,0
Lug or Ride an Iskaara Tug Sled,Use the Iskaara Tug Sled toy to lug it around or ride another's.,179,144056,50,0,0
Defeat Draenor Pet Tamers,,180,144059,150,0,0
Complete Reverse Dragonriding Courses in Forbidden Reach,Speak to a Forbidden Reach Bronze Timekeeper on the Dragon Isles.,181,144100,100,0,0
Catch Lava Fish on the Dragon Isles,,182,144559,100,0,0
[DNT] Test: Noblegarden: Complete a Dragonflight Dungeon in a Spring Circlet,"[DNT]  Test: From 4/10 - 4/17, complete a Dragonflight dungeon wearing any Spring Circlet.",184,144640,150,0,0
Recover Dragonriding Vigor While Ground Skimming,,185,144628,100,0,0
Complete Dragonscale Expedition World Quests in Zaralek Cavern,Complete climbing and cataloging world quests in Zaralek Caverns.,186,144630,100,0,0
Catch Lava Lunkers with a Harpoon,Use an Iskaaran Harpoon to land lava lunkers near a Tuskarr 'lunker sighting' at fishing holes on the Dragon Isles.,187,144835,100,0,0
Slay Players in The Waking Shores,,188,144916,100,0,0
Defeat Forbidden Reach Storm Pet Bosses with Elemental Pets,Defeat Forbidden Reach storm pet bosses with a lineup of at least 2 elemental pets.,189,146075,200,0,0
Midsummer Fire Festival: Complete Daily Quests,From 6/21 - 6/30 complete Midsummer Fire Festival daily quests.,190,145066,200,0,0
Midsummer Fire Festival: Honor the Flames on Pandaria,From 6/21 - 6/30 honor the flames on Pandaria.,191,145072,200,0,0
Midsummer Fire Festival: Desecrate the Bonfire on Pandaria,From 6/21 - 6/30 desecrate the bonfire in Vale of Eternal Blossoms on Pandaria.,192,145087,100,0,0
Midsummer Fire Festival: Honor the Flames on the Dragon Isles,From 6/21 - 6/30 honor the flames on the Dragon Isles.,193,145090,200,0,0
Midsummer Fire Festival: Celebrate the Fire at the Obsidian Throne,Emote /dance with the Brazier of Dancing Flames toy at the Obsidian Throne in the Waking Shores.,194,145097,100,0,0
Midsummer Fire Festival: Defeat Ahune,From 6/21 - 6/30 defeat the Frost Lord Ahune.,195,145187,200,0,0
Complete Quests in Pandaria,Complete quests that grant experience.,196,145189,150,0,0
Timewalking: Complete 5 Mists of Pandaria Timewalking Dungeons,From 6/13 - 6/20 complete Mists of Pandaria Timewalking Dungeons.,197,145198,200,0,0
Catch Fish in Pandaria,,200,145221,100,0,0
Defeat Pandaria Master Tamers,Defeat 3 Pandaria Master Tamers.,201,145232,100,0,0
Thousand Boat Bash: Create a Small Boat,From 6/6 - 6/8 complete Thousand Boat Bash quests to acquire and combine parts into a Small Boat.,202,145239,100,0,0
Thousand Boat Bash: Sail Around the Dragon Isles,From 6/6 - 6/8 use a Small Boat to sail around the Dragon Isles.,203,145241,150,0,0
Darkmoon Faire: Complete Firebird's Challenge,From 6/4 - 6/10 complete the quest Firebird's Challenge at the Darkmoon Faire.,205,145281,50,0,0
Darkmoon Faire: Use the Flaming Hoop Toy on Darkmoon Faire Island and in Valdrakken,From 6/4 - 6/10 use the Flaming Hoop toy on Darkmoon Faire Island and in Valdrakken.,206,145285,50,0,0
Defeat Mythic Kokia Blazehoof After Heating Life Pools,Defeat Kokia Blazehoof after heating up 4 life pools with Molten Boulder in Ruby Life Pools on mythic difficulty.,207,145290,100,0,0
Complete Dragonriding Courses in Zaralek Cavern,Speak to a Zaralek Cavern Bronze Timekeeper on the Dragon Isles.,209,145403,100,0,0
Slay Players in Zaralek Cavern,,210,145405,100,0,0
Complete Pet Battle World Quests in Zaralek Cavern,Complete the pet battle world quests in Zaralek Cavern with a full team of level 25 pets.,211,145407,150,0,0
Complete Climbing World Quests in Zaralek Cavern,,212,145414,100,0,0
Timewalking: Complete 1 Warlords of Draenor Timewalking Dungeons,From 7/4 - 7/11 complete Warlords of Draenor Timewalking dungeons.,213,145430,20,0,-10
Timewalking: Complete 1 Legion Timewalking Dungeons,From 7/25 - 7/31 complete Legion Timewalking dungeons.,214,145441,20,0,-30
Timewalking: Complete 5 Legion Timewalking Dungeons,From 7/25 - 7/31 complete Legion Timewalking dungeons.,215,145457,100,0,-31
Complete a Pet Battle Challenge Quest,"Visit the Pet Shop in Dalaran, Tizzy Gearjolt in Boralus, or Radek Fuselock in Dazar'alor to begin a challenge.",216,145477,100,0,0
Fireworks Spectacular: /dance at Revelers,"On 7/4 emote /dance at a reveler in Stormwind, Orgrimmar, and Booty Bay.",217,145546,100,0,-4
Use the Burning Defender Medallion Toy and Kill Creatures,Kill creatures that grant experience while under the effects of the Burning Defender Medallion toy on the Dragon Isles.,218,145550,100,0,0
Kill Creatures in Scalecracker Keep or the Obsidian Citadel,Kill creatures in Scalecracker Kepp or the Obsidian Citadel in the Waking Shores,219,145554,100,0,0
Luminous Luminaries: Purchase Jelly Jam,On 7/13 purchase Jelly Jam from Max Megablast in Vashj'ir.,220,145559,120,0,-13
Luminous Luminaries: Purchase a Submersible Propulsion Device,On 7/13 purchase a Submersible Propulsion Device from Max Megablast in Vashj'ir.,221,145563,130,0,-13
Luminous Luminaries: Purchase a Damaged Diving Helmet,On 7/13 purchase a Damaged Diving Helmet from Max Megablast in Vashj'ir.,222,145565,150,0,-13
/cold at a Player on Fire from the Set of Matches Toys,Emote /cold at a player under the effects of the Set of Matches toy.,223,145567,50,0,0
Auction House Dance Party: /disagree at an Angry Trader,On 7/22 emote /disagree at an Angry Trader outside of a Stormwind or Orgrimmar Auction House.,224,145569,100,0,-22
Use the Set of Matches Toy,"Use the Set of Matches toy in Valdrakken, Iskaara, Dragonscale Basecamp, and Maruukai.",225,145571,100,0,0
Auction House Dance Party: Gain Happy Feet,On 7/22 gain Happy Feet by being summoned on stage at the Stormwind or Orgrimmar Auction House.,226,145586,100,0,-22
Midsummer Fire Festival: Steal a Flame,From 7/1 - 7/4 complete the Stealing Orgrimmar's Flame or Stealing Stormwind's Flame quest.,227,145588,150,0,-2
/cheer at the Trading Post,Emote /cheer at the Trading Post merchants and their wares.,228,145597,20,0,0
/cheer at the Super Shellkhan Gang,Use the Super Shellkhan Gang toy and emote /cheer at the Super Shellkhan Gang.,230,145600,20,0,0
/cheer at the Dragon Aspects,Emote /cheer at the Dragon Aspects in Valdrakken.,231,145602,20,0,0
Use Insulated Dancing Insoles Toy,Use the Insulated Dancing Insoles toy in Valdrakken and Loamm.,232,145606,50,0,-30
/huzzah at Insulated Dancing Insoles,Emote /huzzah at an opposite faction player with the Feet of Flame effect from the Insulated Dancing Insoles toy.,233,145613,100,0,-30
Complete Fyrakk Assault Daily Quests at Suffusion Camps,Complete Fyrakk Assault daily quests at Suffusion Camps on the Dragon Isles.,234,145702,100,0,0
/cheer for the Glimmerogg Racing Snails,Emote /cheer at racing snails in Glimmerogg.,235,145736,50,0,0
Use the Happy Tuskarr Palooza Toy,Use the Happy Tuskarr Palooza toy in Valdrakken and Loamm.,236,145723,50,0,0
Use the Shuffling Sands Toy,"Use the Shuffling Sands toy in Valdrakken, Morqut Village, and Loamm.",237,145741,50,0,-40
/dance at Shuffling Sands,Emote /dance at an opposite faction player with the Shuffling Sands effect from the Shuffling Sands toy.,238,145745,100,0,-40
Launch Fireflights in Capital Cities,Use engineering fireflight fireworks in Valdrakken and Stormwind or Orgimmar.,239,145765,50,0,-50
Loot Treasure Chests in Niffen Caves,Loot treasure chests while exploring caves alongside a niffen companion in Zaralek Cavern.,240,145770,200,0,0
Launch Fireflights in Dragonflight Dungeons,Use engineering fireflight fireworks in Dragonflight dungeons.,241,145788,50,0,-50
Launch Fireflights in Dragonflight Raids,Use engineering fireflight fireworks in Dragonflight raids.,242,145790,50,0,-50
Use the Dance Dance Darkmoon Toy,Use the Dance Dance Darkmoon toy in Loamm.,243,145792,50,0,0
Use the Dragon Tea Set Toy,"Use the Dragon Tea Set toy in Valdrakken, Iskaara, Morqut Village, and at the Obsidian Throne.",244,145794,50,0,0
Use the D.I.S.C.O. Toy,Listen to music by using the D.I.S.C.O. toy in Valdrakken and either Stormwind or Orgrimmar.,245,145801,50,0,0
Darkmoon Faire: /cheering at the Bands,From 7/1 -7/8 emote /cheer at the bands on Darkmoon Faire Island.,246,145810,50,0,0
Obtain Elemental Overflow,Obtain Elemental Overflow that can be looted from creatures affected by the Primalist Storms.,247,145813,100,0,0
Loot Fyrakk Assault Suffusion Crucibles at Suffusion Camps,Loot Fyrakk Assault Suffusion Crucibles at Suffusion Camps on the Dragon Isles.,248,145855,100,0,0
Discover the Ancient Stones in Zaralek Cavern,,249,145857,100,0,0
Gather Researchers Under Fire Titan Parts,Gather Researchers Under Fire titan parts during Lockdown Mess.,250,145862,100,0,0
/sniff at Myrrit,Emote /sniff at Myrrit while cave diving for treasure in Zaralek Cavern.,251,145976,50,0,0
Fight Off Excited Fans at the Snail Race,Fight off excited fans who interfere with a snail race in Glimmerogg.,252,145980,50,0,0
Kill Researchers Under Fire Creatures,Kill Researchers Under Fire creatures at the Ruins of Drekazera in Zaralek Cavern.,253,145988,150,0,0
A Greedy Emissary: Kill Treasure Goblins,"From 6/1 - 6/15 kill treasure goblins in Stormwind, Orgrimmar, or on the Dragon Isles.",254,146252,250,0,0
Earn Reputation with the Loamm Niffen,,255,146080,100,0,0
Midsummer Fire Festival: /bow at a Scorchling,From 6/21 - 6/30 emote /bow at a Summer Scorchling or a Festival Scorchling.,256,146088,50,0,0
Win 1 PvP Pet Battles,,258,146502,50,0,0
Win 5 PvP Pet Battles,,259,146504,100,258,0
Capture an Uncommon Rarity Battle Pet,Capture an uncommon rarity battle pet in Zaralek Cavern.,260,146506,100,0,0
Win Duels on the Dragon Isles,"Win a duel against another player in Valdrakken, Maruukai, and Loamm.",261,146508,100,0,0
Help Tricky Win the Snail Race,Horde members assist Tricky the snail in the Glimmerogg races in Zaralek Cavern.,262,146515,100,0,0
Help Bashful Win the Snail Race,Alliance members assist Bashful the snail in the Glimmerogg races in Zaralek Cavern.,263,146539,100,0,0
Help Brulee Win the Snail Race,Assist Brulee the snail in the Glimmerogg races in Zaralek Cavern.,264,146541,100,0,0
Complete 1 Dragonriding Rally Courses on the Dragon Isles,Speak to a Bronze Timekeeper at an active rally location on the Dragon Isles.,265,146543,100,0,0
