ID,BattlePetAbilityID,RequiredLevel,SlotEnum,BattlePetSpeciesID
1100,420,1,0,345
1113,420,1,0,557
1119,112,1,0,130
1130,499,1,0,188
1131,210,1,0,190
1134,210,1,0,264
1135,429,1,0,266
1137,210,1,0,348
1138,422,1,0,439
1139,499,1,0,453
1140,210,1,0,458
1141,356,1,0,463
1159,119,1,0,153
1173,110,1,0,250
1180,113,1,0,423
1213,111,1,0,183
1217,210,1,0,310
1218,111,1,0,333
1222,655,1,0,552
1224,113,1,0,162
1230,801,1,0,265
1231,113,1,0,270
1234,812,1,0,297
1237,420,1,0,445
1239,119,1,0,460
1241,406,1,0,509
1242,113,1,0,519
1246,484,1,0,559
1253,110,1,0,158
1254,349,1,0,159
1279,113,1,0,428
1285,110,1,0,465
1294,119,1,0,494
1300,349,1,0,518
1316,803,1,0,174
1317,118,1,0,328
1318,110,1,0,335
1319,118,1,0,340
1331,116,1,0,85
1334,777,1,0,168
1335,777,1,0,191
1343,384,1,0,277
1345,655,1,0,321
1346,777,1,0,338
1347,777,1,0,339
1401,116,1,0,2
1402,504,2,1,2
1446,110,1,0,741
1491,383,10,0,626
1492,521,15,1,626
1493,517,20,2,626
1494,455,10,0,471
1495,533,15,1,471
1496,459,20,2,471
1633,315,2,1,741
1634,283,4,2,741
1635,152,10,0,741
1636,158,15,1,741
1637,566,20,2,741
1638,569,10,0,528
1639,568,15,1,528
1640,357,20,2,528
1641,420,10,0,646
1642,162,15,1,646
1643,581,20,2,646
1646,493,1,0,126
1647,165,2,1,126
1648,252,4,2,126
1838,278,2,1,277
1839,710,4,2,277
1840,712,10,0,277
1841,713,15,1,277
1842,293,20,2,277
1846,640,2,1,191
1948,162,10,0,386
1949,165,15,1,386
1950,253,20,2,386
2131,118,1,0,824
2132,429,1,0,825
2133,626,1,0,826
2134,115,1,0,827
2135,113,1,0,828
2136,112,1,0,829
2137,111,1,0,830
2138,114,1,0,831
2139,116,1,0,832
2140,117,1,0,833
2141,1518,1,0,800
2174,310,2,1,335
2175,376,4,2,335
2176,249,10,0,335
2177,123,15,1,335
2178,566,20,2,335
2213,524,2,1,245
2214,581,4,2,245
2215,420,10,0,245
2216,162,15,1,245
2217,170,20,2,245
2218,632,2,1,146
2219,706,4,2,146
2220,420,10,0,146
2221,506,15,1,146
2222,270,20,2,146
2236,310,2,1,423
2237,179,4,2,423
2238,283,10,0,423
2239,173,15,1,423
2240,319,20,2,423
2246,631,2,1,225
2247,429,1,0,474
2248,492,2,1,474
2249,538,4,2,474
2250,535,10,0,474
2251,357,15,1,474
2252,536,20,2,474
2253,499,1,0,627
2254,666,2,1,627
2255,160,4,2,627
2256,163,10,0,627
2257,743,15,1,627
2258,663,20,2,627
2259,360,10,0,628
2260,665,15,1,628
2261,214,20,2,628
2280,119,1,0,378
2281,162,2,1,378
2282,159,4,2,378
2283,360,10,0,378
2284,312,15,1,378
2285,163,20,2,378
2370,367,1,0,639
2371,165,2,1,639
2372,364,4,2,639
2373,253,10,0,639
2374,162,15,1,639
2375,159,20,2,639
2376,367,1,0,449
2377,165,2,1,449
2378,364,4,2,449
2379,253,10,0,449
2380,162,15,1,449
2381,159,20,2,449
2382,367,1,0,549
2383,364,2,1,549
2384,159,4,2,549
2385,162,10,0,549
2386,165,15,1,549
2387,253,20,2,549
2388,118,1,0,569
2389,123,2,1,569
2390,233,4,2,569
2391,228,10,0,569
2392,230,15,1,569
2393,232,20,2,569
2394,118,1,0,64
2395,123,2,1,64
2396,233,4,2,64
2397,228,10,0,64
2398,230,15,1,64
2399,232,20,2,64
2400,118,1,0,165
2401,123,2,1,165
2402,233,4,2,165
2403,228,10,0,165
2404,230,15,1,165
2405,232,20,2,165
2406,118,1,0,65
2407,123,2,1,65
2408,233,4,2,65
2409,228,10,0,65
2410,230,15,1,65
2411,232,20,2,65
2412,118,1,0,495
2413,123,2,1,495
2414,233,4,2,495
2415,228,10,0,495
2416,230,15,1,495
2417,232,20,2,495
2418,118,1,0,502
2419,123,2,1,502
2420,233,4,2,502
2421,228,10,0,502
2422,230,15,1,502
2423,232,20,2,502
2424,118,1,0,649
2425,123,2,1,649
2426,233,4,2,649
2427,228,10,0,649
2428,230,15,1,649
2429,232,20,2,649
2430,118,1,0,702
2431,123,2,1,702
2432,233,4,2,702
2433,228,10,0,702
2434,230,15,1,702
2435,232,20,2,702
2436,118,1,0,420
2437,123,2,1,420
2438,233,4,2,420
2439,228,10,0,420
2440,230,15,1,420
2441,232,20,2,420
2442,118,1,0,542
2443,123,2,1,542
2444,233,4,2,542
2445,228,10,0,542
2446,230,15,1,542
2447,232,20,2,542
2448,118,1,0,752
2449,123,2,1,752
2450,233,4,2,752
2451,228,10,0,752
2452,230,15,1,752
2453,232,20,2,752
2454,118,1,0,419
2455,123,2,1,419
2456,233,4,2,419
2457,228,10,0,419
2458,230,15,1,419
2459,232,20,2,419
2460,118,1,0,648
2461,123,2,1,648
2462,233,4,2,648
2463,228,10,0,648
2464,230,15,1,648
2465,232,20,2,648
2466,118,1,0,565
2467,123,2,1,565
2468,233,4,2,565
2469,228,10,0,565
2470,230,15,1,565
2471,232,20,2,565
2472,118,1,0,483
2473,123,2,1,483
2474,233,4,2,483
2475,228,10,0,483
2476,230,15,1,483
2477,232,20,2,483
2490,378,1,0,412
2491,339,2,1,412
2492,383,4,2,412
2493,380,10,0,412
2494,382,15,1,412
2495,250,20,2,412
2496,378,1,0,634
2497,339,2,1,634
2498,383,4,2,634
2499,569,10,0,634
2500,382,15,1,634
2501,250,20,2,634
2502,378,1,0,637
2503,339,2,1,637
2504,383,4,2,637
2505,380,10,0,637
2506,382,15,1,637
2507,250,20,2,637
2508,378,1,0,396
2509,339,2,1,396
2510,383,4,2,396
2511,380,10,0,396
2512,382,15,1,396
2513,250,20,2,396
2514,378,1,0,714
2515,339,2,1,714
2516,383,4,2,714
2517,380,10,0,714
2518,382,15,1,714
2519,250,20,2,714
2520,378,1,0,407
2521,339,2,1,407
2522,383,4,2,407
2523,380,10,0,407
2524,382,15,1,407
2525,250,20,2,407
2526,378,1,0,470
2527,339,2,1,470
2528,383,4,2,470
2529,380,10,0,470
2530,382,15,1,470
2531,250,20,2,470
2532,378,1,0,484
2533,339,2,1,484
2534,383,4,2,484
2535,380,10,0,484
2536,382,15,1,484
2537,250,20,2,484
2538,378,1,0,716
2539,339,2,1,716
2540,383,4,2,716
2541,380,10,0,716
2542,382,15,1,716
2543,250,20,2,716
2544,378,1,0,699
2545,339,2,1,699
2546,383,4,2,699
2547,380,10,0,699
2548,382,15,1,699
2549,250,20,2,699
2550,429,1,0,491
2551,492,2,1,491
2552,538,4,2,491
2553,535,10,0,491
2554,357,15,1,491
2555,536,20,2,491
2556,429,1,0,45
2557,492,2,1,45
2558,538,4,2,45
2559,535,10,0,45
2560,357,15,1,45
2561,536,20,2,45
2562,429,1,0,43
2563,492,2,1,43
2564,538,4,2,43
2565,535,10,0,43
2566,357,15,1,43
2567,536,20,2,43
2568,429,1,0,44
2569,492,2,1,44
2570,538,4,2,44
2571,535,10,0,44
2572,357,15,1,44
2573,536,20,2,44
2574,429,1,0,40
2575,492,2,1,40
2576,538,4,2,40
2577,535,10,0,40
2578,357,15,1,40
2579,536,20,2,40
2580,429,1,0,343
2581,492,2,1,343
2582,538,4,2,343
2583,535,10,0,343
2584,357,15,1,343
2585,536,20,2,343
2586,429,1,0,459
2587,492,2,1,459
2588,538,4,2,459
2589,535,10,0,459
2590,357,15,1,459
2591,536,20,2,459
2592,429,1,0,224
2593,492,2,1,224
2594,538,4,2,224
2595,535,10,0,224
2596,357,15,1,224
2597,536,20,2,224
2598,429,1,0,42
2599,492,2,1,42
2600,538,4,2,42
2601,535,10,0,42
2602,357,15,1,42
2603,536,20,2,42
2604,429,1,0,41
2605,492,2,1,41
2606,538,4,2,41
2607,535,10,0,41
2608,357,15,1,41
2609,536,20,2,41
2610,432,1,0,231
2611,492,2,1,231
2612,538,4,2,231
2613,535,10,0,231
2614,431,15,1,231
2615,536,20,2,231
2694,119,1,0,385
2695,360,2,1,385
2696,163,4,2,385
2697,253,10,0,385
2698,152,15,1,385
2699,283,20,2,385
2712,429,1,0,46
2713,492,2,1,46
2714,538,4,2,46
2715,535,10,0,46
2716,357,15,1,46
2717,536,20,2,46
2718,356,1,0,746
2719,511,2,1,746
2720,310,4,2,746
2721,509,10,0,746
2722,123,15,1,746
2723,513,20,2,746
2724,356,1,0,388
2725,511,2,1,388
2726,310,4,2,388
2727,509,10,0,388
2728,123,15,1,388
2729,513,20,2,388
2730,356,1,0,401
2731,511,2,1,401
2732,310,4,2,401
2733,509,10,0,401
2734,123,15,1,401
2735,513,20,2,401
2736,356,1,0,211
2737,511,2,1,211
2738,310,4,2,211
2739,509,10,0,211
2740,123,15,1,211
2741,513,20,2,211
2742,356,1,0,572
2743,511,2,1,572
2744,310,4,2,572
2745,509,10,0,572
2746,123,15,1,572
2747,513,20,2,572
2754,509,2,1,463
2755,310,4,2,463
2756,488,10,0,463
2757,513,15,1,463
2758,476,20,2,463
2771,119,1,0,424
2772,155,2,1,424
2773,706,4,2,424
2774,193,10,0,424
2775,283,15,1,424
2776,519,20,2,424
2861,119,1,0,406
2862,155,2,1,406
2863,706,4,2,406
2864,193,10,0,406
2865,283,15,1,406
2866,519,20,2,406
2896,493,1,0,209
2897,253,2,1,209
2898,539,4,2,209
2899,541,10,0,209
2900,497,15,1,209
2901,163,20,2,209
2902,493,1,0,394
2903,253,2,1,394
2904,539,4,2,394
2905,541,10,0,394
2906,497,15,1,394
2907,163,20,2,394
2908,493,1,0,437
2909,253,2,1,437
2910,376,4,2,437
2911,541,10,0,437
2912,497,15,1,437
2913,163,20,2,437
2914,493,1,0,434
2915,253,2,1,434
2916,539,4,2,434
2917,541,10,0,434
2918,497,15,1,434
2919,163,20,2,434
2920,493,1,0,679
2921,253,2,1,679
2922,376,4,2,679
2923,541,10,0,679
2924,497,15,1,679
2925,163,20,2,679
3010,112,1,0,630
3011,792,2,1,630
3012,517,4,2,630
3013,504,10,0,630
3014,256,15,1,630
3015,522,20,2,630
3016,420,1,0,50
3017,521,2,1,50
3018,170,4,2,50
3019,202,10,0,50
3020,162,15,1,50
3021,190,20,2,50
3058,420,1,0,195
3059,190,2,1,195
3060,521,4,2,195
3061,202,10,0,195
3062,162,15,1,195
3063,170,20,2,195
3064,420,1,0,792
3065,521,2,1,792
3066,190,4,2,792
3067,202,10,0,792
3068,431,15,1,792
3069,581,20,2,792
3070,420,1,0,573
3071,190,2,1,573
3072,521,4,2,573
3073,202,10,0,573
3074,162,15,1,573
3075,170,20,2,573
3100,420,1,0,194
3101,190,2,1,194
3102,521,4,2,194
3103,202,10,0,194
3104,162,15,1,194
3105,170,20,2,194
3118,420,1,0,560
3119,190,2,1,560
3120,521,4,2,560
3121,202,10,0,560
3122,162,15,1,560
3123,170,20,2,560
3124,420,1,0,271
3125,190,2,1,271
3126,521,4,2,271
3127,202,10,0,271
3128,162,15,1,271
3129,170,20,2,271
3136,420,1,0,141
3137,506,2,1,141
3138,507,4,2,141
3139,504,10,0,141
3140,162,15,1,141
3141,508,20,2,141
3142,420,1,0,464
3143,506,2,1,464
3144,507,4,2,464
3145,504,10,0,464
3146,162,15,1,464
3147,508,20,2,464
3148,420,1,0,140
3149,506,2,1,140
3150,507,4,2,140
3151,504,10,0,140
3152,162,15,1,140
3153,508,20,2,140
3154,420,1,0,139
3155,506,2,1,139
3156,507,4,2,139
3157,504,10,0,139
3158,162,15,1,139
3159,508,20,2,139
3160,420,1,0,503
3161,506,2,1,503
3162,507,4,2,503
3163,504,10,0,503
3164,162,15,1,503
3165,508,20,2,503
3166,420,1,0,748
3167,506,2,1,748
3168,507,4,2,748
3169,504,10,0,748
3170,162,15,1,748
3171,508,20,2,748
3172,420,1,0,402
3173,506,2,1,402
3174,507,4,2,402
3175,504,10,0,402
3176,162,15,1,402
3177,508,20,2,402
3178,420,1,0,544
3179,506,2,1,544
3180,507,4,2,544
3181,504,10,0,544
3182,162,15,1,544
3183,508,20,2,544
3184,420,1,0,753
3185,506,2,1,753
3186,507,4,2,753
3187,504,10,0,753
3188,162,15,1,753
3189,508,20,2,753
3190,420,1,0,478
3191,506,2,1,478
3192,507,4,2,478
3193,504,10,0,478
3194,162,15,1,478
3195,508,20,2,478
3196,420,1,0,498
3197,506,2,1,498
3198,507,4,2,498
3199,504,10,0,498
3200,162,15,1,498
3201,508,20,2,498
3202,420,1,0,421
3203,506,2,1,421
3204,507,4,2,421
3205,504,10,0,421
3206,162,15,1,421
3207,508,20,2,421
3208,420,1,0,756
3209,506,2,1,756
3210,507,4,2,756
3211,504,10,0,756
3212,162,15,1,756
3213,508,20,2,756
3214,420,1,0,718
3215,506,2,1,718
3216,507,4,2,718
3217,504,10,0,718
3218,162,15,1,718
3219,508,20,2,718
3220,420,1,0,732
3221,506,2,1,732
3222,507,4,2,732
3223,504,10,0,732
3224,162,15,1,732
3225,508,20,2,732
3356,110,1,0,187
3357,383,2,1,187
3358,186,4,2,187
3359,357,10,0,187
3360,521,15,1,187
3361,517,20,2,187
3374,112,1,0,83
3375,389,2,1,83
3376,208,4,2,83
3377,455,10,0,83
3378,533,15,1,83
3379,459,20,2,83
3392,112,1,0,215
3393,455,2,1,215
3394,459,4,2,215
3395,533,10,0,215
3396,389,15,1,215
3397,278,20,2,215
3398,384,1,0,262
3399,389,2,1,262
3400,390,4,2,262
3401,202,10,0,262
3402,392,15,1,262
3403,278,20,2,262
3404,384,1,0,39
3405,389,2,1,39
3406,459,4,2,39
3407,202,10,0,39
3408,392,15,1,39
3409,278,20,2,39
3410,384,1,0,472
3411,389,2,1,472
3412,666,4,2,472
3413,202,10,0,472
3414,392,15,1,472
3415,278,20,2,472
3416,384,1,0,510
3417,389,2,1,510
3418,390,4,2,510
3419,202,10,0,510
3420,392,15,1,510
3421,278,20,2,510
3446,367,1,0,523
3447,369,2,1,523
3448,364,4,2,523
3449,160,10,0,523
3450,371,15,1,523
3451,159,20,2,523
3452,367,1,0,450
3453,369,2,1,450
3454,364,4,2,450
3455,160,10,0,450
3456,371,15,1,450
3457,159,20,2,450
3458,367,1,0,461
3459,369,2,1,461
3460,364,4,2,461
3461,160,10,0,461
3462,371,15,1,461
3463,159,20,2,461
3464,367,1,0,457
3465,369,2,1,457
3466,364,4,2,457
3467,160,10,0,457
3468,371,15,1,457
3469,159,20,2,457
3470,367,1,0,715
3471,369,2,1,715
3472,364,4,2,715
3473,160,10,0,715
3474,371,15,1,715
3475,159,20,2,715
3482,356,1,0,414
3483,165,2,1,414
3484,359,4,2,414
3485,355,10,0,414
3486,357,15,1,414
3487,124,20,2,414
3488,356,1,0,432
3489,165,2,1,432
3490,359,4,2,432
3491,355,10,0,432
3492,357,15,1,432
3493,124,20,2,432
3494,356,1,0,745
3495,165,2,1,745
3496,359,4,2,745
3497,355,10,0,745
3498,357,15,1,745
3499,124,20,2,745
3500,356,1,0,545
3501,165,2,1,545
3502,359,4,2,545
3503,355,10,0,545
3504,357,15,1,545
3505,124,20,2,545
3518,113,1,0,837
3519,339,2,1,837
3520,621,4,2,837
3521,383,10,0,837
3522,380,15,1,837
3523,436,20,2,837
3530,112,1,0,52
3531,524,2,1,52
3532,642,4,2,52
3533,420,10,0,52
3534,162,15,1,52
3535,581,20,2,52
3536,112,1,0,84
3537,524,2,1,84
3538,642,4,2,84
3539,420,10,0,84
3540,162,15,1,84
3541,581,20,2,84
3542,112,1,0,728
3543,524,2,1,728
3544,642,4,2,728
3545,420,10,0,728
3546,162,15,1,728
3547,581,20,2,728
3566,112,1,0,192
3567,528,2,1,192
3568,413,4,2,192
3569,509,10,0,192
3570,575,15,1,192
3578,112,1,0,548
3579,420,2,1,548
3580,581,4,2,548
3581,524,10,0,548
3582,162,15,1,548
3583,170,20,2,548
3584,110,1,0,246
3585,420,2,1,246
3586,581,4,2,246
3587,524,10,0,246
3588,162,15,1,246
3589,170,20,2,246
3608,118,1,0,836
3609,123,2,1,836
3610,497,4,2,836
3611,380,10,0,836
3612,230,15,1,836
3613,297,20,2,836
3662,110,1,0,742
3663,283,2,1,742
3664,158,4,2,742
3665,152,10,0,742
3666,315,15,1,742
3667,566,20,2,742
3680,113,1,0,287
3681,178,2,1,287
3682,706,4,2,287
3683,504,10,0,287
3684,155,15,1,287
3685,162,20,2,287
3704,110,1,0,724
3705,165,2,1,724
3706,364,4,2,724
3707,360,10,0,724
3708,362,15,1,724
3709,366,20,2,724
3710,110,1,0,558
3711,165,2,1,558
3712,364,4,2,558
3713,360,10,0,558
3714,362,15,1,558
3715,366,20,2,558
3728,348,2,1,453
3729,345,4,2,453
3730,347,10,0,453
3731,247,15,1,453
3732,663,20,2,453
3733,429,1,0,440
3734,492,2,1,440
3735,538,4,2,440
3736,535,10,0,440
3737,357,15,1,440
3738,536,20,2,440
3739,349,1,0,330
3740,347,2,1,330
3741,352,4,2,330
3742,492,10,0,330
3743,350,15,1,330
3744,354,20,2,330
3745,349,1,0,156
3746,347,2,1,156
3747,352,4,2,156
3748,492,10,0,156
3749,350,15,1,156
3750,354,20,2,156
3763,378,1,0,506
3764,339,2,1,506
3765,383,4,2,506
3766,380,10,0,506
3767,382,15,1,506
3768,250,20,2,506
3769,378,1,0,90
3770,339,2,1,90
3771,383,4,2,90
3772,380,10,0,90
3773,382,15,1,90
3774,250,20,2,90
3775,110,1,0,529
3776,165,2,1,529
3777,364,4,2,529
3778,360,10,0,529
3779,362,15,1,529
3780,366,20,2,529
3781,110,1,0,89
3782,165,2,1,89
3783,364,4,2,89
3784,360,10,0,89
3785,362,15,1,89
3786,366,20,2,89
3799,212,2,1,458
3800,650,4,2,458
3801,449,10,0,458
3802,299,15,1,458
3803,218,20,2,458
3804,657,2,1,439
3805,121,4,2,439
3806,421,10,0,439
3807,214,15,1,439
3808,764,20,2,439
3809,394,2,1,509
3810,398,4,2,509
3811,350,10,0,509
3812,364,15,1,509
3813,124,20,2,509
3814,515,2,1,445
3815,190,4,2,445
3816,514,10,0,445
3817,348,15,1,445
3818,204,20,2,445
3824,339,2,1,428
3825,319,4,2,428
3826,383,10,0,428
3827,173,15,1,428
3828,382,20,2,428
3838,743,2,1,515
3839,746,4,2,515
3840,778,10,0,515
3841,745,15,1,515
3842,165,20,2,515
3843,426,2,1,514
3844,307,4,2,514
3845,355,10,0,514
3846,490,15,1,514
3847,124,20,2,514
3848,283,2,1,518
3849,571,4,2,518
3850,377,10,0,518
3851,375,15,1,518
3852,163,20,2,518
3853,349,1,0,532
3854,377,2,1,532
3855,375,4,2,532
3856,283,10,0,532
3857,571,15,1,532
3858,163,20,2,532
3859,178,2,1,519
3860,179,4,2,519
3861,501,10,0,519
3862,172,15,1,519
3863,409,20,2,519
3864,357,2,1,465
3865,538,4,2,465
3866,441,10,0,465
3867,359,15,1,465
3868,124,20,2,465
3875,440,2,1,557
3876,595,4,2,557
3877,421,10,0,557
3878,277,15,1,557
3879,190,20,2,557
3880,420,1,0,87
3881,440,2,1,87
3882,595,4,2,87
3883,421,10,0,87
3884,277,15,1,87
3885,190,20,2,87
3886,155,2,1,494
3887,706,4,2,494
3888,538,10,0,494
3889,283,15,1,494
3890,453,20,2,494
3891,521,2,1,513
3892,186,4,2,513
3893,741,10,0,513
3894,453,15,1,513
3895,227,20,2,513
3896,110,1,0,521
3897,122,2,1,521
3898,422,4,2,521
3899,421,10,0,521
3900,420,15,1,521
3901,394,20,2,521
3902,393,1,0,538
3903,256,2,1,538
3904,657,4,2,538
3905,122,10,0,538
3906,214,15,1,538
3907,668,20,2,538
3908,114,1,0,267
3909,460,2,1,267
3910,751,4,2,267
3911,113,10,0,267
3912,463,15,1,267
3913,461,20,2,267
3914,114,1,0,341
3915,460,2,1,341
3916,751,4,2,341
3917,113,10,0,341
3918,463,15,1,341
3919,461,20,2,341
3920,114,1,0,547
3921,463,2,1,547
3922,751,4,2,547
3923,461,10,0,547
3924,421,15,1,547
3925,299,20,2,547
3926,263,2,1,559
3927,621,4,2,559
3928,617,10,0,559
3929,488,15,1,559
3930,606,20,2,559
3937,364,2,1,552
3938,197,4,2,552
3939,492,10,0,552
3940,448,15,1,552
3941,212,20,2,552
3942,318,2,1,460
3943,268,4,2,460
3944,962,10,0,460
3945,630,15,1,460
3946,400,20,2,460
3947,119,1,0,220
3948,318,2,1,220
3949,268,4,2,220
3950,962,10,0,220
3951,630,15,1,220
3952,400,20,2,220
3953,751,2,1,183
3954,752,4,2,183
3955,114,10,0,183
3956,216,15,1,183
3957,277,20,2,183
3958,670,2,1,226
3959,741,4,2,226
3960,110,10,0,226
3961,740,15,1,226
3962,345,20,2,226
3963,400,2,1,296
3964,190,4,2,296
3965,753,10,0,296
3966,350,15,1,296
3967,595,20,2,296
3968,111,1,0,298
3969,400,2,1,298
3970,190,4,2,298
3971,753,10,0,298
3972,350,15,1,298
3973,595,20,2,298
3974,634,2,1,85
3975,754,4,2,85
3976,455,10,0,85
3977,640,15,1,85
3978,282,20,2,85
3979,669,4,2,225
3980,118,10,0,225
3981,667,15,1,225
3982,668,20,2,225
3983,756,2,1,107
3984,350,4,2,107
3985,193,10,0,107
3986,757,15,1,107
3987,163,20,2,107
3988,760,2,1,217
3989,761,4,2,217
3990,360,10,0,217
3991,158,15,1,217
3992,762,20,2,217
3993,111,1,0,257
3994,760,2,1,257
3995,761,4,2,257
3996,360,10,0,257
3997,158,15,1,257
3998,762,20,2,257
3999,468,2,1,329
4000,472,4,2,329
4001,650,10,0,329
4002,486,15,1,329
