ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
57,<< QA TEST FAMILY >>,1,1,1.25,60,48,-1,36,134936,818,270
68,Hydra,0.5,0,0.63,50,195,1,55,463493,824,270
100,Fel Imp,0,0,0.6,1,0,-1,41,0,188,0
101,Voidlord,0,0,0.9,1,0,-1,41,0,204,0
102,Shivarra,0,0,0.65,1,0,-1,41,0,205,0
103,Observer,0,0,0.225,1,0,-1,41,0,189,0
104,Wrathguard,0,0,0.85,1,0,-1,41,0,761,0
108,Infernal,0,0,0.3,1,0,-1,41,0,206,0
116,Fire Elemental,1,1,1.01,60,0,-1,48,135790,962,0
117,Earth Elemental,1,1,1.01,60,0,-1,48,136024,963,0
125,Waterfowl,0.2,1,0.7,50,138,1,49,877479,984,270
126,Water Strider,0.3,1,0.5,50,48,2,50,643423,985,270
127,Rodent,0.6,1,1,50,16,2,51,644001,983,270
128,Stone Hound,0.7,1,1.1,50,195,1,5,625905,986,270
129,Gruffhorn,0.5,1,0.8,50,255,2,52,877477,987,270
130,Basilisk,0.4,1,0.6,50,3,2,53,877476,988,270
138,Direhorn,0.4,1,0.6,50,48,1,54,877480,1305,270
145,Storm Elemental,1,1,1.01,60,0,-1,48,236154,1748,0
147,Terrorguard,0.64,1,1,60,0,-1,41,0,1981,0
148,Abyssal,0,0,1,1,0,-1,41,0,1982,0
150,Riverbeast,0.6,1,0.8,50,56,1,33,1044490,1819,270
151,Stag,0.5,1,0.8,50,60,1,34,1044501,1993,270
154,Mechanical,0.7,1,1,60,256,2,37,132247,2189,270
155,Abomination,0.6,1,0.8,80,0,-1,35,136118,2216,0
156,Scalehide,0.5,1,0.8,50,60,0,38,646378,2280,270
157,Oxen,0.5,1,0.8,50,60,1,39,616693,2279,270
160,Feathermane,0.5,1,0.8,50,255,1,54,929300,2361,270
288,Lizard,0.5,1,1,50,243,1,0,2027936,2703,270
290,Pterrordax,0.2,1,0.3,50,227,2,0,1624590,2705,270
291,Hopper,0.3,1,0.6,50,243,1,0,804969,2706,270
292,Carapid,0.5,1,0.75,50,65,1,0,2011146,2707,270
296,Blood Beast,0.45,1,0.65,50,195,1,14,1687702,2719,270
298,Camel,0.5,1,0.8,50,56,2,52,454771,2807,270
299,Courser,0.5,1,0.8,50,48,0,38,2143073,2806,270
300,Mammoth,0.5,1,0.8,50,60,1,6,132254,2805,270
302,Incubus,0,0,1,1,0,-1,41,0,205,0
303,Lesser Dragonkin,0.5,1,0.8,50,195,0,6,797547,2850,270
