ID,ProfessionTraitID,ProfessionEffectID,Field_10_0_0_44649_003
4468,5241,6,0
4469,5242,38,0
4470,5242,39,1
4471,5243,6,0
5119,6095,1,0
5120,6096,41,0
5121,6097,7,0
5122,6099,11,0
5123,6101,7,0
5124,6102,33,0
5125,6102,9,1
5126,6102,13,2
5127,6103,1,0
5128,6105,8,0
5129,6107,12,0
5130,6109,8,0
5131,6110,74,0
5132,6111,1,0
5134,6113,6,0
5135,6115,71,0
5136,6116,38,0
5137,6117,1,0
5139,6119,6,0
5140,6121,71,0
5141,6122,38,0
5142,6123,1,0
5144,6125,6,0
5145,6127,71,0
5146,6128,38,0
5147,6129,1,0
5149,6131,6,0
5150,6133,71,0
5151,6134,38,0
5152,6135,1,0
5153,6137,8,0
5154,6139,12,0
5155,6141,8,0
5156,6142,74,0
5157,6143,1,0
5159,6145,6,0
5160,6147,71,0
5161,6148,38,0
5162,6149,1,0
5164,6151,6,0
5165,6153,71,0
5166,6154,38,0
5167,6155,1,0
5169,6157,6,0
5170,6159,71,0
5171,6160,38,0
5172,6161,1,0
5174,6163,6,0
5175,6165,71,0
5176,6166,38,0
5212,6203,1,0
5213,6204,41,0
5214,6205,7,0
5215,6207,11,0
5216,6209,7,0
5217,6210,33,0
5218,6210,9,1
5219,6210,13,2
5220,6211,1,0
5221,6213,8,0
5222,6215,12,0
5223,6217,8,0
5224,6218,73,0
5225,6219,1,0
5227,6221,6,0
5228,6223,71,0
5229,6224,38,0
5230,6225,1,0
5232,6227,6,0
5233,6229,71,0
5234,6230,38,0
5235,6231,1,0
5237,6233,6,0
5238,6235,71,0
5239,6236,38,0
5240,6237,1,0
5242,6239,6,0
5243,6241,71,0
5244,6242,38,0
5245,6243,1,0
5246,6245,8,0
5247,6247,12,0
5248,6249,8,0
5249,6250,73,0
5250,6251,1,0
5252,6253,6,0
5253,6255,71,0
5254,6256,38,0
5255,6257,1,0
5257,6259,6,0
5258,6261,71,0
5259,6262,38,0
5260,6263,1,0
5262,6265,6,0
5263,6267,71,0
5264,6268,38,0
5265,6269,1,0
5267,6271,6,0
5268,6273,71,0
5269,6274,38,0
5294,6305,1,0
5296,6307,7,0
5300,6313,1,0
5303,6320,1,0
5306,6323,11,0
5307,6325,11,0
5312,6328,1,0
5316,6335,11,0
5317,6339,1,0
5318,6340,115,0
5319,6341,7,0
5320,6343,11,0
5321,6345,29,0
5323,6347,6,0
5324,6348,33,0
5325,6349,1,0
5327,6351,6,0
5328,6353,6,0
5329,6355,6,0
5330,6356,39,0
5331,6357,6,0
5332,6359,1,0
5334,6361,6,0
5335,6363,6,0
5336,6365,6,0
5337,6366,39,0
5338,6367,6,0
5339,6369,1,0
5341,6371,6,0
5342,6373,6,0
5343,6375,6,0
5344,6376,39,0
5345,6377,6,0
5346,6379,1,0
5348,6381,6,0
5349,6383,6,0
5350,6385,6,0
5351,6386,39,0
5352,6387,6,0
5353,6389,1,0
5354,6390,7,0
5361,6397,6,0
5365,6401,1,0
5367,6403,7,0
5368,6405,11,0
5369,6407,7,0
5371,6409,1,0
5372,6410,11,0
5374,6413,117,0
5375,6415,41,0
5376,6416,115,0
5377,6417,1,0
5378,6418,7,0
5379,6419,6,0
5380,6420,6,0
5383,6424,38,0
5384,6425,1,0
5385,6426,7,0
5386,6427,6,0
5388,6430,6,0
5390,6432,38,0
5391,6433,1,0
5392,6434,11,0
5394,6437,6,0
5395,6439,11,0
5396,6440,115,0
5397,6441,1,0
5399,6443,6,0
5401,6445,11,0
5403,6447,6,0
5404,6448,38,0
5405,6449,1,0
5406,6450,29,0
5407,6451,6,0
5409,6454,6,0
5410,6455,11,0
5411,6456,39,0
5480,6539,1,0
5481,6540,7,0
5482,6541,11,0
5483,6543,7,0
5484,6545,11,0
5485,6547,73,0
5486,6547,74,1
5487,6547,32,2
5488,6548,1,0
5490,6550,8,0
5491,6551,71,0
5492,6552,12,0
5493,6554,38,0
5494,6554,39,1
5495,6555,1,0
5496,6556,6,0
5497,6557,8,0
5498,6558,71,0
5499,6559,12,0
5500,6561,38,0
5501,6561,39,1
5502,6562,1,0
5503,6563,6,0
5504,6564,8,0
5505,6565,71,0
5506,6566,12,0
5507,6568,38,0
5508,6568,39,1
5509,6569,1,0
5510,6570,6,0
5512,6574,71,0
5513,6576,31,0
5514,6576,9,1
5515,6576,13,2
5516,6577,101,0
5517,6578,89,0
5518,6579,12,0
5519,6580,90,0
5520,6581,12,0
5521,6582,90,0
5522,6583,12,0
5523,6584,91,0
5524,6585,2,0
5525,6586,92,0
5526,6587,8,0
5527,6588,93,0
5528,6589,8,0
5529,6590,93,0
5530,6591,8,0
5531,6592,94,0
5532,6593,1,0
5533,6594,29,0
5534,6595,8,0
5535,6596,28,0
5536,6597,8,0
5537,6598,96,0
5538,6599,38,0
5539,6600,1,0
5540,6601,29,0
5541,6602,8,0
5542,6603,28,0
5543,6604,8,0
5544,6605,96,0
5545,6606,39,0
5586,6244,117,0
5590,6212,117,0
5593,6136,117,0
5596,6104,117,0
6002,7118,1,0
6003,7120,46,0
6004,7122,19,0
6005,7125,23,0
6006,7126,46,0
6007,7128,1,0
6009,7131,6,0
6012,7135,6,0
6014,7137,71,0
6015,7138,1,0
6017,7141,6,0
6020,7145,6,0
6022,7147,71,0
6023,7148,109,0
6024,7150,46,0
6025,7152,19,0
6026,7155,23,0
6027,7160,46,0
6028,7162,19,0
6029,7164,23,0
6030,7166,15,0
6031,7170,19,0
6032,7172,46,0
6033,7174,19,0
6034,7176,15,0
6035,7178,108,0
6036,7180,46,0
6037,7181,19,0
6038,7182,46,0
6039,7183,24,0
6040,7184,46,0
6041,7185,19,0
6042,7186,15,0
6043,7187,26,0
6044,7188,107,0
6045,7190,46,0
6046,7192,19,0
6047,7195,15,0
6048,7196,19,0
6049,7201,23,0
6050,7205,19,0
6051,7208,108,0
6052,7210,19,0
6053,7213,20,0
6054,7215,23,0
6095,7256,1,0
6096,7257,6,0
6097,7258,6,0
6098,7260,6,0
6099,7262,6,0
6100,7264,33,0
6101,7264,12,1
6102,7264,8,2
6103,7265,33,0
6104,7265,12,1
6105,7265,8,2
6106,7266,101,0
6107,7267,89,0
6108,7268,12,0
6109,7269,90,0
6110,7270,12,0
6111,7271,90,0
6112,7272,12,0
6113,7273,91,0
6114,7274,2,0
6115,7275,92,0
6116,7276,8,0
6117,7277,93,0
6118,7278,8,0
6119,7279,93,0
6120,7280,8,0
6121,7281,94,0
6123,7283,11,0
6124,7284,12,0
6125,7285,12,0
6126,7286,12,0
6127,7287,33,0
6128,7287,12,1
6129,7288,1,0
6130,7289,7,0
6131,7290,30,0
6132,7291,8,0
6133,7292,30,0
6134,7293,39,0
6135,7293,96,1
6136,7294,1,0
6137,7295,41,0
6138,7296,11,0
6139,7298,11,0
6140,7300,7,0
6141,7301,33,0
6143,7301,133,2
6144,7302,1,0
6145,7303,117,0
6146,7304,7,0
6147,7306,7,0
6148,7308,33,0
6149,7308,8,1
6151,7309,71,0
6153,7310,1,0
6154,7311,6,0
6155,7312,6,0
6156,7314,8,0
6157,7315,38,0
6158,7316,1,0
6161,7319,8,0
6162,7320,8,0
6163,7320,12,1
6164,7322,38,0
6165,7323,9,0
6166,7324,1,0
6167,7325,117,0
6168,7326,7,0
6169,7328,8,0
6170,7330,33,0
6171,7330,8,1
6173,7332,1,0
6175,7334,6,0
6176,7335,8,0
6177,7336,9,0
6178,7336,13,1
6179,7337,6,0
6180,7338,38,0
6181,7339,9,0
6182,7340,101,0
6183,7341,11,0
6184,7342,11,0
6185,7342,7,1
6186,7343,12,0
6187,7343,8,1
6188,7344,33,0
6189,7344,30,1
6191,7345,31,0
6192,7345,39,1
6193,7346,101,0
6194,7347,11,0
6195,7348,11,0
6196,7348,7,1
6197,7349,12,0
6198,7349,8,1
6199,7350,33,0
6200,7350,30,1
6202,7351,31,0
6203,7351,38,2
6205,7331,71,0
6413,7722,1,0
6414,7723,178,0
6415,7725,87,0
6416,7727,178,0
6417,7728,32,0
6418,7728,9,1
6419,7728,13,2
6420,7741,101,0
6421,7742,89,0
6422,7743,12,0
6423,7744,90,0
6424,7745,12,0
6425,7746,90,0
6426,7747,12,0
6427,7748,91,0
6428,7749,2,0
6429,7750,92,0
6430,7751,8,0
6431,7752,93,0
6432,7753,8,0
6433,7754,93,0
6434,7755,8,0
6435,7756,94,0
6436,7757,1,0
6437,7758,7,0
6438,7760,31,0
6439,7762,11,0
6440,7764,39,0
6441,7765,1,0
6442,7767,12,0
6443,7768,6,0
6444,7769,32,0
6445,7770,6,0
6446,7771,12,0
6447,7773,1,0
6448,7774,29,0
6449,7775,8,0
6450,7776,29,0
6451,7777,8,0
6452,7778,28,0
6453,7779,1,0
6454,7780,13,0
6455,7781,8,0
6456,7782,6,0
6457,7783,8,0
6458,7784,6,0
6459,7785,12,0
6460,7786,116,0
6461,7787,1,0
6462,7789,7,0
6463,7790,11,0
6464,7791,38,0
6465,7792,11,0
6466,7793,7,0
6467,7795,1,0
6468,7797,8,0
6469,7800,12,0
6470,7801,8,0
6471,7803,1,0
6472,7805,30,0
6473,7806,6,0
6474,7807,30,0
6475,7809,1,0
6476,7811,8,0
6477,7814,12,0
6478,7815,8,0
6479,7817,1,0
6480,7819,30,0
6481,7820,6,0
6482,7821,30,0
6537,7899,1,0
6538,7900,71,0
6539,7902,7,0
6540,7904,11,0
6541,7906,32,0
6542,7906,8,1
6543,7906,12,2
6544,7907,1,0
6545,7908,117,0
6546,7909,6,0
6547,7911,8,0
6548,7913,6,0
6549,7915,12,0
6550,7916,116,0
6551,7917,1,0
6552,7919,71,0
6553,7920,38,0
6554,7921,1,0
6555,7924,38,0
6556,7925,1,0
6557,7926,117,0
6558,7927,8,0
6559,7929,12,0
6560,7933,12,0
6561,7935,8,0
6562,7936,116,0
6563,7937,1,0
6564,7939,71,0
6565,7940,38,0
6566,7941,1,0
6567,7943,71,0
6568,7944,38,0
6569,7945,1,0
6570,7947,71,0
6571,7948,38,0
6572,7949,1,0
6573,7951,71,0
6574,7952,38,0
6575,7953,1,0
6576,7954,117,0
6577,7955,6,0
6578,7957,8,0
6579,7959,12,0
6580,7961,6,0
6581,7962,116,0
6582,7963,1,0
6583,7965,71,0
6584,7966,38,0
6585,7967,1,0
6586,7969,71,0
6587,7970,38,0
6588,7971,1,0
6589,7973,71,0
6590,7974,38,0
6664,8108,1,0
6665,8109,87,0
6666,8111,88,0
6667,8113,87,0
6668,8114,33,0
6669,8114,8,1
6670,8114,12,2
6671,8115,101,0
6672,8116,89,0
6673,8117,12,0
6674,8118,90,0
6675,8119,12,0
6676,8120,90,0
6677,8121,12,0
6678,8122,91,0
6679,8123,2,0
6680,8124,92,0
6681,8125,8,0
6682,8126,93,0
6683,8127,8,0
6684,8128,93,0
6685,8129,8,0
6686,8130,94,0
6869,8402,1,0
6870,8403,41,0
6871,8404,7,0
6872,8406,11,0
6873,8408,7,0
6874,8408,33,1
6875,8409,8,0
6876,8409,133,1
6877,8410,1,0
6878,8412,6,0
6879,8414,6,0
6880,8415,30,0
6881,8416,33,0
6882,8416,8,1
6883,8417,29,0
6884,8418,133,0
6885,8419,28,0
6886,8420,1,0
6887,8422,7,0
6888,8423,134,0
6889,8424,6,0
6890,8426,71,0
6891,8427,38,0
6892,8428,1,0
6893,8430,7,0
6894,8431,134,0
6895,8432,6,0
6896,8434,71,0
6897,8435,38,0
6898,8436,1,0
6899,8438,7,0
6900,8439,134,0
6901,8440,6,0
6902,8442,71,0
6903,8443,38,0
6904,8444,1,0
6905,8446,7,0
6906,8447,134,0
6907,8448,6,0
6908,8450,71,0
6909,8451,38,0
6910,8452,101,0
6911,8453,11,0
6912,8454,11,0
6913,8456,11,0
6914,8456,30,1
6915,8458,34,0
6916,8458,11,1
6918,8459,33,0
6919,8459,12,1
6920,8460,1,0
6921,8461,7,0
6922,8462,33,0
6923,8462,7,1
6924,8463,7,0
6925,8464,33,0
6926,8464,7,1
6927,8465,29,0
6928,8465,8,1
6929,8466,101,0
6930,8468,33,0
6931,8468,11,1
6932,8469,30,0
6933,8470,33,0
6934,8470,11,1
6935,8471,34,0
6936,8471,12,1
6937,8472,1,0
6938,8477,39,0
6939,8478,1,0
6940,8480,11,0
6941,8481,7,0
6942,8482,1,0
6943,8484,11,0
6944,8485,7,0
6945,8486,1,0
6946,8488,11,0
6947,8489,7,0
6948,8490,1,0
6949,8492,11,0
6950,8493,7,0
6951,8494,1,0
6952,8496,11,0
6953,8497,7,0
8358,10195,1,0
8359,10196,32,0
8360,10201,12,0
8361,10205,101,0
8362,10206,12,0
8363,10207,6,0
8364,10208,29,0
8365,10209,30,0
8366,10210,6,0
8368,10212,136,0
8369,10213,1,0
8370,10216,12,0
8371,10217,39,0
8372,10218,29,0
8373,10219,10,0
8374,10221,1,0
8375,10224,12,0
8376,10226,29,0
8377,10229,1,0
8378,10230,32,0
8379,10232,136,0
8380,10234,12,0
8381,10235,6,0
8382,10237,10,0
8383,10239,2,0
8385,10241,6,0
8386,10242,41,0
8387,10243,38,0
8388,10244,117,0
8389,10245,12,0
8390,10246,7,0
8391,10247,138,0
8392,10248,2,0
8393,10250,12,0
8394,10252,38,0
8395,10253,142,0
8396,10254,30,0
8397,10255,139,0
8398,10256,105,0
8399,10258,12,0
8400,10260,6,0
8401,10262,29,0
8402,10264,1,0
8403,10268,136,0
8404,10271,39,0
8405,10274,1,0
8406,10277,6,0
8407,10278,10,0
8408,10280,12,0
8410,10283,68,0
8411,10291,1,0
8412,10293,7,0
8413,10295,30,0
8414,10296,10,0
8415,10298,7,0
8416,10299,64,0
8417,10300,101,0
8418,10301,136,0
8419,10302,6,0
8420,10303,7,0
8421,10304,39,0
8422,10305,6,0
8423,10306,30,0
8428,10316,12,0
8429,10318,1,0
8430,10319,33,0
8431,10320,30,0
8432,10321,30,0
8433,10322,13,0
8434,10323,13,0
8435,10324,33,0
8436,10325,30,0
8437,10327,13,0
8507,10397,1,0
8508,10398,71,0
8509,10399,15,0
8510,10401,19,0
8511,10403,24,0
8512,10405,18,0
8513,10407,24,0
8514,10408,6,0
8515,10409,24,0
8516,10410,24,0
8517,10411,6,0
8518,10412,24,0
8519,10415,17,0
8520,10416,6,0
8521,10417,16,0
8522,10418,16,0
8523,10419,6,0
8524,10420,16,0
8525,10423,21,0
8526,10424,6,0
8527,10425,20,0
8528,10426,20,0
8529,10427,6,0
8530,10428,20,0
8531,10430,1,0
8532,10432,19,0
8533,10434,6,0
8534,10436,6,0
8535,10438,24,0
8536,10440,1,0
8537,10441,71,0
8538,10442,16,0
8539,10443,71,0
8540,10445,71,0
8541,10446,24,0
8542,10448,19,0
8543,10450,1,0
8544,10451,71,0
8545,10452,16,0
8546,10453,71,0
8547,10454,21,0
8548,10456,24,0
8549,10457,71,0
8550,10458,19,0
8551,10460,1,0
8552,10462,23,0
8553,10466,23,0
8554,10468,23,0
8555,10470,71,0
8556,10472,1,0
8557,10474,19,0
8558,10475,24,0
8559,10476,19,0
8560,10478,24,0
8561,10479,19,0
8562,10480,24,0
8563,10482,1,0
8564,10483,17,0
8565,10484,19,0
8566,10485,24,0
8567,10486,19,0
8568,10488,24,0
8569,10489,19,0
8570,10490,24,0
8571,10492,1,0
8572,10494,19,0
8573,10495,24,0
8574,10496,19,0
8575,10498,24,0
8576,10499,19,0
8577,10500,24,0
8578,10502,1,0
8579,10504,19,0
8580,10505,23,0
8581,10506,19,0
8582,10508,23,0
8583,10509,19,0
8584,10510,23,0
8781,10752,1,0
8782,10755,15,0
8783,10757,6,0
8784,10759,15,0
8785,10764,20,0
8786,10765,6,0
8787,10766,24,0
8788,10768,20,0
8789,10769,6,0
8790,10770,24,0
8791,10774,20,0
8792,10775,6,0
8793,10776,24,0
8794,10778,20,0
8795,10779,6,0
8796,10780,24,0
8797,10784,20,0
8798,10785,6,0
8799,10786,24,0
8800,10788,20,0
8801,10789,6,0
8802,10790,24,0
8803,10794,20,0
8804,10795,6,0
8805,10796,24,0
8806,10798,20,0
8807,10799,6,0
8808,10800,24,0
8809,10802,107,0
8810,10803,16,0
8811,10804,15,0
8812,10806,23,0
8813,10807,20,0
8814,10808,19,0
8815,10810,16,0
8816,10811,24,0
8817,10812,109,0
8818,10814,19,0
8819,10815,71,0
8820,10816,16,0
8821,10818,23,0
8822,10819,71,0
8823,10820,20,0
8824,10822,108,0
8825,10824,23,0
8826,10826,19,0
8827,10828,15,0
8828,10830,24,0
8829,10832,1,0
8830,10833,6,0
8831,10835,19,0
8832,10839,23,0
8833,10842,1,0
8834,10844,15,0
8835,10845,6,0
8836,10846,23,0
8837,10848,19,0
8838,10849,6,0
8839,10850,16,0
8840,10851,71,0
8841,10852,1,0
8842,10854,23,0
8843,10855,6,0
8844,10856,19,0
8845,10858,15,0
8846,10859,6,0
8847,10860,24,0
8848,10861,71,0
8849,10862,1,0
8850,10864,19,0
8851,10865,6,0
8852,10866,15,0
8853,10868,23,0
8854,10869,6,0
8855,10870,20,0
8856,10871,71,0
8857,10872,1,0
8858,10874,15,0
8859,10875,6,0
8860,10876,23,0
8861,10878,19,0
8862,10879,6,0
8863,10880,16,0
8864,10881,71,0
8976,11025,1,0
8977,11026,6,0
8978,11027,7,0
8979,11029,11,0
8980,11031,7,0
8981,11031,33,1
8982,11032,11,0
8983,11032,71,1
8984,11033,1,0
8985,11035,7,0
8986,11037,11,0
8987,11039,6,0
8988,11040,8,0
8989,11042,71,0
8990,11043,12,0
8991,11044,33,0
8992,11045,1,0
8993,11047,6,0
8994,11048,39,1
8995,11049,1,0
8996,11051,6,0
8997,11052,39,1
8998,11053,1,0
8999,11055,6,0
9000,11056,39,1
9001,11057,1,0
9002,11059,6,0
9003,11060,39,1
9004,11061,1,0
9005,11063,6,0
9006,11064,39,1
9007,11065,1,0
9008,11066,11,0
9009,11067,6,0
9010,11069,7,0
9011,11070,6,0
9012,11072,12,0
9013,11073,71,0
9014,11074,8,0
9015,11075,1,0
9016,11077,7,0
9017,11079,6,0
9018,11081,71,0
9019,11082,33,0
9020,11082,39,1
9021,11083,1,0
9022,11085,8,0
9023,11086,6,0
9024,11088,12,0
9025,11089,71,0
9026,11090,33,0
9027,11090,39,2
9028,11091,1,0
9029,11093,11,0
9030,11094,7,0
9031,11095,6,0
9032,11097,71,0
9033,11098,33,0
9034,11098,39,1
9057,11121,146,0
9058,11123,11,0
9059,11125,7,0
9060,11126,6,0
9061,11127,147,0
9062,11128,11,0
9063,11130,7,0
9064,11131,71,0
9065,11132,148,0
9066,11133,146,0
9067,11137,6,0
9068,11143,146,0
9069,11145,7,0
9070,11147,6,0
9071,11149,7,0
9074,7282,1,0
9075,11153,1,0
9076,11154,6,0
9077,11156,6,0
9078,11158,33,0
9079,11160,6,0
9080,11161,71,0
9081,11162,1,0
9082,11163,117,0
9083,11164,6,0
9084,11166,11,0
9085,11169,7,0
9086,11170,100,0
9087,11171,33,0
9088,11171,38,1
9089,11172,1,0
9090,11173,7,0
9091,11174,6,0
9094,11180,101,0
9095,11181,89,0
9096,11182,6,0
9097,11183,90,0
9098,11184,71,0
9099,11185,90,0
9100,11186,12,0
9101,11187,91,0
9102,11188,2,0
9103,11189,92,0
9104,11190,6,0
9105,11191,93,0
9106,11192,71,0
9107,11193,93,0
9108,11194,8,0
9109,11195,94,0
9153,11135,6,0
9154,11139,6,0
9155,11140,147,0
9156,11141,71,0
9157,11150,6,0
9158,11151,8,0
9159,5043,37,0
9160,10406,108,0
9161,10414,109,0
9162,10422,107,0
9163,10444,21,0
9164,7198,109,0
9165,11167,41,0
9190,11264,33,0
9191,11265,32,0
9192,11266,33,0
9193,11267,33,0
9194,11268,87,0
9195,10762,1,0
9196,10772,1,0
9197,10782,1,0
9198,10792,1,0
9199,2787,33,0
9200,11269,94,0
9201,11270,9,0
9202,11271,93,0
9203,11272,9,0
9204,11273,93,0
9205,11274,9,0
9206,11275,92,0
9207,11276,2,0
9208,11277,91,0
9209,11278,13,0
9210,11279,90,0
9211,11280,13,0
9212,11281,101,0
9213,6391,87,0
9214,6393,88,0
9215,6395,87,0
9216,6396,33,0
9217,6396,8,1
9218,6396,12,2
9219,6398,89,0
9220,6399,12,0
9221,6400,90,0
9222,10821,70,0
9227,10223,6,0
9228,10225,39,0
9229,10227,10,0
9230,7731,148,0
9231,7732,148,0
9232,7733,148,0
9233,7734,148,0
9234,7735,150,0
9235,7736,148,0
9236,7737,148,0
9237,7738,148,0
9238,7739,148,0
9239,7729,146,0
9240,10263,39,0
9241,7158,151,0
9242,7159,148,0
9243,7163,147,0
9244,7168,151,0
9245,7169,148,0
9246,7171,152,0
9247,7175,152,0
9248,10282,6,0
9249,10252,39,1
9254,11288,6,0
9255,6572,6,0
9256,10308,153,0
9257,10310,62,0
9258,10312,7,0
9259,10315,62,0
9260,5066,31,0
9274,11294,6,0
9291,10238,71,0
9292,7130,20,0
9293,7132,24,0
9294,7134,16,0
9295,7136,20,0
9296,7140,20,0
9297,7142,24,0
9298,7144,16,0
9299,7146,20,0
9304,6421,154,0
9305,6429,154,0
9306,6411,6,0
9307,6422,6,0
9308,6423,8,0
9309,6428,6,0
9310,6431,8,0
9311,6435,6,0
9312,6442,41,0
9313,6444,7,0
9314,6446,7,0
9315,6452,29,0
9316,8458,39,2
9317,11308,71,0
9319,6319,32,0
9320,7321,71,0
9321,7923,71,0
9322,7791,39,1
9323,6222,6,0
9324,6228,6,0
9325,6234,6,0
9326,6240,6,0
9327,6254,6,0
9328,6260,6,0
9329,6266,6,0
9330,6272,6,0
9331,6114,6,0
9332,6120,6,0
9333,6126,6,0
9334,6132,6,0
9335,6146,6,0
9336,6152,6,0
9337,6158,6,0
9338,6164,6,0
9343,5023,6,0
9344,5025,6,0
9345,5031,6,0
9346,5033,6,0
9347,5049,6,0
9348,5057,6,0
9349,5160,6,0
9350,5168,6,0
9351,5176,6,0
9352,5192,6,0
9353,5200,6,0
9354,5208,6,0
9355,5224,6,0
9356,5232,6,0
9357,5240,6,0
9360,6553,6,0
9372,6308,115,0
9373,6311,11,0
9374,6315,32,0
9375,6317,7,0
9376,6322,8,0
9377,6324,29,0
9378,6326,8,0
9379,6330,30,0
9380,6331,39,0
9381,6332,11,0
9383,6327,6,0
9384,6310,38,0
9385,6310,39,1
9386,6337,30,0
9387,11176,11,0
9388,11178,71,0
9389,7265,39,3
9390,7289,133,1
9391,11090,38,1
9392,11064,38,0
9393,11060,38,0
9394,11056,38,0
9395,11052,38,0
9396,11048,38,0
9397,7764,38,1
9398,7940,39,1
9399,5026,39,1
9400,5034,39,1
9401,5050,39,1
9402,5058,39,1
9403,6116,39,1
9404,6122,39,1
9405,6128,39,1
9406,6134,39,1
9407,6148,39,1
9408,6154,39,1
9409,6160,39,1
9410,6166,39,1
9411,6224,39,1
9412,6230,39,1
9413,6236,39,1
9414,6242,39,1
