ID,TraitNodeID,RequiredPointsInThisNode,Flags
4186,23694,25,2
4187,23693,30,2
4188,23692,0,2
4189,23691,5,0
4190,23690,10,1
4191,23689,15,0
4192,23688,20,1
4193,23687,25,0
4194,23686,30,2
4195,23685,0,2
4196,23684,5,0
4197,23683,10,2
4198,23682,15,0
4199,23681,20,0
4200,23680,25,2
4201,23679,30,2
4202,23678,0,2
4203,23677,5,0
4204,23676,10,2
4205,23675,15,0
4206,23674,20,0
4207,23673,25,2
4208,23672,30,2
4209,23760,0,0
4210,23759,5,1
4211,23758,10,0
4212,23757,15,1
4213,23756,20,0
4214,23755,25,0
4215,23754,30,0
4216,23753,35,1
4217,23752,40,2
4218,23751,0,0
4219,23750,5,0
4220,23749,10,2
4221,23748,15,2
4222,23747,20,0
4223,23746,25,2
4224,23745,30,2
4225,23744,0,0
4226,23743,5,0
4227,23742,10,0
4228,23741,15,0
4229,23740,20,0
4230,23739,25,0
4231,23738,30,2
4232,23737,0,2
4233,23736,5,0
4234,23735,10,2
4235,23734,15,0
4236,23733,20,2
4237,23732,0,2
4238,23731,5,0
4239,23730,10,2
4240,23729,15,0
4241,23728,20,2
4279,23899,0,2
4280,23898,5,0
4281,23897,10,1
4282,23896,15,0
4283,23895,20,1
4284,23894,25,0
4285,23893,30,3
4286,23892,0,2
4287,23891,5,0
4288,23890,10,1
4289,23889,15,0
4290,23888,20,1
4291,23887,25,0
4292,23886,30,3
4293,23885,0,2
4294,23884,5,0
4295,23883,10,0
4296,23882,15,0
4297,23881,20,2
4298,23880,25,0
4299,23879,30,2
4300,23878,0,2
4301,23877,5,0
4302,23876,10,0
4303,23875,15,0
4304,23874,20,2
4305,23873,25,0
4306,23872,30,2
4307,23871,0,2
4308,23870,5,0
4309,23869,10,0
4310,23868,15,0
4311,23867,20,2
4312,23866,25,0
4313,23865,30,2
4314,23864,0,2
4315,23863,5,0
4316,23862,10,1
4317,23861,15,0
4318,23860,20,1
4319,23859,25,0
4320,23858,30,3
4321,23857,0,2
4322,23856,5,0
4323,23855,10,0
4324,23854,15,0
4325,23853,20,2
4326,23852,25,0
4327,23851,30,2
4328,23850,0,2
4329,23849,5,0
4330,23848,10,0
4331,23847,15,0
4332,23846,20,2
4333,23845,25,0
4334,23844,30,2
4335,23843,0,2
4336,23842,5,0
4337,23841,10,0
4338,23840,15,0
4339,23839,20,2
4340,23838,25,0
4341,23837,30,2
4342,23836,0,2
4343,23835,5,0
4344,23834,10,1
4345,23833,15,0
4346,23832,20,1
4347,23831,25,0
4348,23830,30,3
4349,23829,0,2
4350,23828,5,0
4351,23827,10,0
4352,23826,15,0
4353,23825,20,2
4354,23824,25,0
4355,23823,30,2
4356,23822,0,2
4357,23821,5,0
4358,23820,10,0
4359,23819,15,0
4360,23818,20,2
4361,23817,25,0
4362,23816,30,2
4363,23815,0,2
4364,23814,5,0
4365,23813,10,0
4366,23812,15,0
4367,23811,20,2
4368,23810,25,0
4369,23809,30,2
5109,28427,0,2
5110,28426,5,0
5111,28425,10,1
5112,28424,15,0
5113,28423,20,1
5114,28422,25,0
5115,28421,30,2
5116,28420,0,2
5117,28419,5,0
5118,28418,10,1
5119,28417,15,0
5120,28416,20,1
5121,28415,25,1
5122,28414,30,3
5123,28413,0,2
5124,28412,5,0
5125,28411,10,0
5126,28410,15,0
5127,28409,20,2
5128,28408,0,2
5129,28407,5,0
5130,28406,10,0
5131,28405,15,0
5132,28404,20,2
5133,28403,0,2
5134,28402,5,0
5135,28401,10,0
5136,28400,15,0
5137,28399,20,2
5138,28398,0,2
5139,28397,5,0
5140,28396,10,0
5141,28395,15,0
5142,28394,20,2
5143,28393,0,2
5144,28392,5,0
5145,28391,10,1
5146,28390,15,0
5147,28389,20,1
5148,28388,25,1
5149,28387,30,3
5150,28386,0,2
5151,28385,5,0
5152,28384,10,0
5153,28383,15,0
5154,28382,20,2
5155,28381,0,2
5156,28380,5,0
5157,28379,10,0
5158,28378,15,0
5159,28377,20,2
5160,28376,0,2
5161,28375,5,0
5162,28374,10,0
5163,28373,15,0
5164,28372,20,2
5165,28371,0,2
5166,28370,5,0
5167,28369,10,0
5168,28368,15,0
5169,28367,20,2
5201,28535,0,2
5202,28534,5,0
5203,28533,10,1
5204,28532,15,0
5205,28531,20,1
5206,28530,25,0
5207,28529,30,2
5208,28528,0,2
5209,28527,5,0
5210,28526,10,1
5211,28525,15,0
5212,28524,20,1
5213,28523,25,1
5214,28522,30,3
5215,28521,0,2
5216,28520,5,0
5217,28519,10,0
5218,28518,15,0
5219,28517,20,2
5220,28516,0,2
5221,28515,5,0
5222,28514,10,0
5223,28513,15,0
5224,28512,20,2
5225,28511,0,2
5226,28510,5,0
5227,28509,10,0
5228,28508,15,0
5229,28507,20,2
5230,28506,0,2
5231,28505,5,0
5232,28504,10,0
5233,28503,15,0
5234,28502,20,2
5235,28501,0,2
5236,28500,5,0
5237,28499,10,1
5238,28498,15,0
5239,28497,20,1
5240,28496,25,1
5241,28495,30,3
5242,28494,0,2
5243,28493,5,0
5244,28492,10,0
5245,28491,15,0
5246,28490,20,2
5247,28489,0,2
5248,28488,5,0
5249,28487,10,0
5250,28486,15,0
5251,28485,20,2
5252,28484,0,2
5253,28483,5,0
5254,28482,10,0
5255,28481,15,0
5256,28480,20,2
5257,28479,0,2
5258,28478,5,0
5259,28477,10,0
5260,28476,15,0
5261,28475,20,2
5288,28606,0,2
5289,28605,5,0
5290,28604,10,3
5291,28603,15,2
5292,28602,20,3
5293,28601,25,0
5294,28600,30,3
5295,28599,0,2
5296,28598,5,0
5297,28597,10,2
5298,28596,15,0
5299,28595,20,2
5300,28594,25,2
5301,28593,0,2
5302,28592,5,0
5303,28591,10,0
5304,28590,15,0
5305,28589,20,0
5306,28588,25,0
5307,28587,30,0
5308,28586,0,2
5309,28585,5,0
5310,28584,10,2
5311,28583,15,0
5312,28582,20,2
5313,28581,25,2
5314,28580,30,0
5315,28579,35,2
5316,28578,40,0
5317,28577,45,2
5318,28655,0,2
5319,28654,5,0
5320,28653,10,1
5321,28652,15,0
5322,28651,20,1
5323,28650,25,0
5324,28649,30,1
5325,28648,35,0
5326,28647,40,1
5327,28646,0,2
5328,28645,5,0
5329,28644,10,2
5330,28643,15,0
5331,28642,20,2
5332,28641,25,0
5333,28640,30,2
5334,28639,35,0
5335,28638,40,2
5336,28637,0,2
5337,28636,5,0
5338,28635,10,2
5339,28634,15,0
5340,28633,20,2
5341,28632,25,0
5342,28631,30,2
5343,28630,35,0
5344,28629,40,2
5345,28628,0,2
5346,28627,5,0
5347,28626,10,2
5348,28625,15,0
5349,28624,20,2
5350,28623,25,0
5351,28622,30,2
5352,28621,35,0
5353,28620,40,2
5354,28619,0,2
5355,28618,5,0
5356,28617,10,2
5357,28616,15,0
5358,28615,20,2
5359,28614,25,0
5360,28613,30,2
5361,28612,35,0
5362,28611,40,2
5364,28670,5,0
5365,28669,10,1
5366,28668,15,0
5367,28667,20,1
5368,28666,25,0
5369,28665,30,2
5371,28663,0,2
5372,28662,5,0
5373,28661,10,2
5374,28721,0,2
5375,28720,5,0
5376,28719,10,1
5377,28718,15,0
5378,28717,20,1
5379,28716,25,0
5380,28715,30,2
5381,28714,0,0
5382,28713,5,0
5383,28712,10,1
5384,28711,15,2
5385,28710,20,1
5386,28709,25,2
5387,28708,30,2
5388,28707,0,2
5389,28706,5,0
5390,28705,10,0
5391,28704,15,2
5392,28703,20,0
5393,28702,25,0
5394,28701,30,2
5395,28700,0,2
5396,28699,5,0
5397,28698,10,0
5398,28697,15,2
5399,28696,20,0
5400,28695,25,0
5401,28694,30,2
5402,28693,0,0
5403,28692,5,0
5404,28691,10,1
5405,28690,15,0
5406,28689,20,1
5407,28688,25,0
5408,28687,30,2
5409,28686,0,2
5410,28685,5,0
5411,28684,10,0
5412,28683,15,0
5413,28682,20,0
5414,28681,25,0
5415,28680,30,2
5416,28679,0,0
5417,28678,5,0
5418,28677,10,0
5419,28676,15,2
5420,28675,20,0
5421,28674,25,0
5422,28673,30,2
5495,31142,0,0
5496,31141,5,0
5497,31140,10,1
5498,31139,15,0
5499,31138,20,1
5500,31137,25,0
5501,31136,30,1
5502,31135,35,2
5503,31134,0,2
5504,31133,5,0
5505,31132,10,0
5506,31131,15,0
5507,31130,20,0
5508,31129,25,2
5509,31128,0,2
5510,31127,5,0
5511,31126,10,0
5512,31125,15,0
5513,31124,20,2
5514,31123,25,2
5515,31122,0,2
5516,31121,5,0
5517,31120,10,0
5518,31119,15,0
5519,31118,20,2
5520,31117,25,2
5522,31178,5,1
5523,31177,10,0
5524,31176,15,1
5525,31175,20,0
5526,31174,25,1
5527,31173,30,3
5528,31172,0,2
5529,31171,5,0
5530,31170,10,2
5531,31169,15,0
5532,31168,20,2
5533,31167,25,0
5534,31166,30,2
5535,31165,0,2
5536,31164,5,0
5537,31163,10,2
5538,31162,15,0
5539,31161,20,2
5540,31160,25,0
5541,31159,30,2
5542,31158,0,0
5543,31157,5,0
5544,31156,10,0
5545,31155,15,0
5546,31154,20,2
5547,31153,25,2
5548,31152,0,0
5549,31151,5,0
5550,31150,10,0
5551,31149,15,0
5552,31148,20,2
5553,31147,25,2
5988,34686,0,2
5989,34685,5,0
5990,34684,10,1
5991,34683,15,0
5992,34682,20,2
5993,34681,25,1
5994,34680,30,0
5995,34679,35,0
5996,34678,40,2
5997,34677,0,2
5998,34676,5,0
5999,34675,10,0
6000,34674,15,0
6001,34673,20,2
6002,34672,25,0
6003,34671,30,0
6004,34670,35,0
6005,34669,40,0
6006,34668,0,2
6007,34667,5,0
6008,34666,10,0
6009,34665,15,0
6010,34664,20,2
6011,34663,25,0
6012,34662,30,0
6013,34661,35,0
6014,34660,40,0
6015,34725,0,2
6016,34724,5,0
6017,34723,10,1
6018,34722,15,0
6019,34721,20,2
6020,34720,25,1
6021,34719,30,0
6022,34718,35,1
6023,34717,40,2
6024,34716,0,2
6025,34715,5,0
6026,34714,10,2
6027,34713,15,0
6028,34712,20,2
6029,34711,25,0
6030,34710,30,2
6031,34709,35,2
6032,34708,40,2
6033,34707,0,2
6034,34706,5,0
6035,34705,10,0
6036,34704,15,0
6037,34703,20,2
6038,34702,25,0
6039,34701,30,0
6040,34700,35,0
6041,34699,40,2
6042,34698,0,2
6043,34697,5,0
6044,34696,10,0
6045,34695,15,0
6046,34694,20,0
6047,34693,25,0
6048,34692,30,0
6049,34691,35,0
6050,34690,40,2
6051,34756,0,2
6052,34755,5,0
6053,34754,10,1
6054,34753,15,0
6055,34752,20,2
6056,34751,25,1
6057,34750,30,0
6058,34749,35,0
6059,34748,40,2
6060,34747,0,2
6061,34746,5,0
6062,34745,10,0
6063,34744,15,0
6064,34743,20,2
6065,34742,25,0
6066,34741,30,0
6067,34740,35,0
6068,34739,40,2
6069,34738,0,2
6070,34737,5,0
6071,34736,10,2
6072,34735,15,0
6073,34734,20,2
6074,34733,25,0
6075,34732,30,0
6076,34731,35,0
6077,34730,40,2
6111,34830,0,0
6112,34829,5,0
6113,34828,10,1
6114,34827,15,0
6115,34826,20,1
6116,34825,25,0
6117,34824,30,1
6118,34823,35,0
6119,34822,40,3
6120,34821,0,2
6121,34820,5,0
6122,34819,10,2
6123,34818,15,0
6124,34817,20,2
6125,34816,25,0
6126,34815,30,2
6127,34814,0,2
6128,34813,5,0
6129,34812,10,2
6130,34811,15,0
6131,34810,20,2
6132,34809,25,0
6133,34808,30,2
6134,34807,0,0
6135,34806,5,0
6136,34805,10,0
6137,34804,15,0
6138,34803,20,0
6139,34802,0,0
6140,34801,5,0
6141,34800,10,0
6142,34799,15,0
6143,34798,20,2
6144,34885,0,2
6145,34884,5,0
6146,34883,10,1
6147,34882,15,0
6148,34881,20,1
6149,34880,25,0
6150,34879,30,2
6151,34878,0,2
6152,34877,5,0
6153,34876,10,1
6154,34875,15,0
6155,34874,20,1
6156,34873,25,0
6157,34872,30,0
6158,34871,0,0
6159,34870,5,0
6160,34869,10,2
6161,34868,15,0
6162,34867,20,2
6163,34866,0,2
6164,34865,5,2
6165,34864,10,0
6166,34863,15,0
6167,34862,20,0
6168,34861,25,2
6169,34860,30,0
6170,34859,0,2
6171,34858,5,0
6172,34857,10,1
6173,34856,15,0
6174,34855,20,1
6175,34854,25,2
6176,34853,30,1
6177,34852,0,2
6178,34851,5,0
6179,34850,10,0
6180,34849,15,0
6181,34848,20,0
6182,34847,25,2
6183,34846,30,0
6184,34845,0,0
6185,34844,5,0
6186,34843,10,0
6187,34842,15,0
6188,34841,20,2
6189,34840,0,0
6190,34839,5,0
6191,34838,10,0
6192,34837,15,0
6193,34836,20,2
6522,40004,5,0
6523,40003,10,1
6524,40002,15,0
6525,40001,20,1
6526,40000,25,0
6527,39999,30,2
6528,39998,0,2
6529,39997,5,0
6530,39996,10,0
6531,39995,15,0
6532,39994,20,0
6533,39993,25,2
6534,39992,30,0
6535,39991,35,0
6536,39990,40,0
6537,39989,45,0
6538,39988,50,2
6539,39987,0,0
6540,39986,5,0
6541,39985,10,0
6542,39984,15,0
6543,39983,20,2
6544,39982,25,0
6545,39981,30,2
6546,39980,0,0
6547,39979,5,0
6548,39978,10,0
6549,39977,15,0
6550,39976,20,0
6551,39975,25,0
6552,39974,30,2
6553,40034,0,0
6554,40033,5,1
6555,40032,10,0
6556,40031,15,1
6557,40030,20,0
6558,40029,25,1
6559,40028,30,2
6560,40027,0,2
6561,40026,5,0
6562,40025,10,0
6563,40024,15,0
6564,40023,20,0
6565,40022,25,0
6566,40021,30,2
6567,40020,0,0
6568,40019,5,0
6569,40018,10,0
6570,40017,15,0
6571,40016,20,2
6572,40015,0,0
6573,40014,5,0
6574,40013,10,0
6575,40012,15,0
6576,40011,20,0
6577,40010,25,0
6578,40009,30,2
6579,40069,0,1
6580,40068,5,0
6581,40067,10,0
6582,40066,15,2
6583,40065,20,0
6584,40064,25,0
6585,40063,30,1
6586,40062,0,2
6587,40061,5,0
6588,40060,10,2
6589,40059,15,1
6590,40058,20,0
6591,40057,25,0
6592,40056,30,2
6593,40055,0,2
6594,40054,5,0
6595,40053,10,0
6596,40052,15,0
6597,40051,20,2
6598,40050,0,2
6599,40049,5,0
6600,40048,10,2
6601,40047,15,1
6602,40046,20,0
6603,40045,25,0
6604,40044,30,2
6605,40043,0,2
6606,40042,5,0
6607,40041,10,0
6608,40040,15,0
6609,40039,20,2
6673,40213,0,0
6674,40212,5,1
6675,40211,10,0
6676,40210,15,1
6677,40209,20,0
6678,40208,25,1
6679,40207,30,2
6680,40206,0,2
6681,40205,5,0
6682,40204,10,1
6683,40203,15,0
6684,40202,20,2
6685,40201,25,0
6686,40200,30,1
6687,40199,35,0
6688,40198,40,2
6689,40197,0,2
6690,40196,5,0
6691,40195,10,2
6692,40194,0,2
6693,40193,5,0
6694,40192,10,2
6695,40191,0,2
6696,40190,5,0
6697,40189,10,1
6698,40188,15,0
6699,40187,20,1
6700,40186,25,2
6701,40185,30,1
6702,40184,35,0
6703,40183,40,1
6704,40182,45,0
6705,40181,50,2
6706,40180,0,2
6707,40179,5,0
6708,40178,10,2
6709,40177,0,2
6710,40176,5,0
6711,40175,10,2
6712,40174,0,2
6713,40173,5,0
6714,40172,10,2
6715,40171,0,2
6716,40170,5,0
6717,40169,10,2
6718,40168,0,2
6719,40167,5,0
6720,40166,10,1
6721,40165,15,0
6722,40164,20,1
6723,40163,25,0
6724,40162,30,1
6725,40161,35,0
6726,40160,40,2
6727,40159,0,2
6728,40158,5,0
6729,40157,10,2
6730,40156,0,2
6731,40155,5,0
6732,40154,10,2
6733,40153,0,2
6734,40152,5,0
6735,40151,10,2
6854,42825,5,0
6855,42824,10,1
6856,42823,15,0
6857,42822,20,1
6858,42821,25,0
6859,42820,30,2
6860,42819,0,2
6861,42818,5,0
6862,42817,10,2
6863,42816,15,0
6864,42815,20,2
6865,42814,25,0
6866,42813,30,2
6867,42812,0,2
6868,42811,5,0
6869,42810,10,2
6870,42809,15,0
6871,42808,20,2
6872,42807,25,0
6873,42806,30,2
7112,43520,0,2
7113,43519,5,0
7114,43518,10,1
7115,43517,15,0
7116,43516,20,1
7117,43515,25,0
7118,43514,30,3
7119,43513,0,3
7120,43512,5,0
7121,43511,10,1
7122,43510,15,0
7123,43509,20,1
7124,43508,25,2
7125,43507,30,1
7126,43506,35,2
7127,43505,40,3
7128,43504,0,2
7129,43503,5,2
7130,43502,10,2
7131,43501,15,0
7132,43500,20,2
7133,43499,25,0
7134,43498,30,2
7135,43497,0,2
7136,43496,5,2
7137,43495,10,2
7138,43494,15,0
7139,43493,20,2
7140,43492,25,0
7141,43491,30,2
7142,43490,0,2
7143,43489,5,2
7144,43488,10,2
7145,43487,15,0
7146,43486,20,2
7147,43485,25,0
7148,43484,30,2
7149,43483,0,2
7150,43482,5,2
7151,43481,10,2
7152,43480,15,0
7153,43479,20,2
7154,43478,25,0
7155,43477,30,2
7156,43476,0,0
7157,43475,5,0
7158,43474,10,1
7159,43473,15,0
7160,43472,20,1
7161,43471,25,2
7162,43470,30,0
7163,43469,0,0
7164,43468,5,0
7165,43467,10,0
7166,43466,15,0
7167,43465,20,0
7168,43464,0,2
7169,43463,5,0
7170,43462,10,0
7171,43461,15,0
7172,43460,20,0
7173,43459,0,1
7174,43458,5,1
7175,43457,10,1
7176,43456,15,1
7177,43455,20,3
7178,43454,0,2
7179,43453,5,0
7180,43452,10,0
7181,43451,0,2
7182,43450,5,0
7183,43449,10,0
7184,43448,0,2
7185,43447,5,0
7186,43446,10,0
7187,43445,0,2
7188,43444,5,0
7189,43443,10,0
7190,43442,0,2
7191,43441,5,0
7192,43440,10,0
8147,50890,0,0
8148,50889,5,1
8149,50888,10,2
8150,50887,15,1
8151,50886,20,2
8152,50885,25,0
8153,50884,30,1
8154,50883,35,2
8155,50882,40,2
8156,50881,0,0
8157,50880,5,0
8158,50879,10,0
8159,50878,15,0
8160,50877,20,0
8161,50876,25,2
8162,50875,30,2
8163,50874,0,2
8164,50873,5,2
8165,50872,10,0
8166,50871,15,2
8167,50870,20,0
8168,50869,25,0
8169,50868,30,2
8170,50867,0,2
8171,50866,5,0
8172,50865,10,0
8173,50864,15,2
8174,50863,20,0
8175,50862,25,0
8176,50861,30,2
8177,50925,0,0
8178,50924,5,1
8179,50923,10,2
8180,50922,15,1
8181,50921,20,0
8182,50920,25,0
8183,50919,30,1
8184,50918,35,0
8185,50917,40,0
8186,50916,0,2
8187,50915,5,0
8188,50914,10,2
8189,50913,15,2
8190,50912,20,2
8191,50911,25,0
8192,50910,30,0
8193,50909,35,2
8194,50908,0,2
8195,50907,5,0
8196,50906,10,2
8197,50905,15,2
8198,50904,20,2
8199,50903,25,0
8200,50902,30,2
8201,50901,0,2
8202,50900,5,0
8203,50899,10,2
8204,50898,15,0
8205,50897,20,2
8206,50896,25,0
8207,50895,30,2
8208,50953,0,2
8209,50952,5,2
8210,50951,10,1
8211,50950,15,2
8212,50949,20,2
8213,50948,25,1
8214,50947,30,2
8215,50946,35,2
8216,50945,40,2
8217,50944,0,2
8218,50943,5,2
8219,50942,10,0
8220,50941,15,0
8221,50940,20,2
8222,50939,25,0
8223,50938,30,2
8224,50937,35,0
8225,50936,0,2
8226,50935,5,2
8227,50934,10,2
8228,50933,15,2
8229,50932,20,2
8230,50931,25,2
8231,50930,30,2
8232,50989,5,1
8233,50988,10,0
8234,50987,15,1
8235,50986,20,0
8236,50985,25,0
8237,50984,30,1
8238,50983,35,0
8239,50982,40,2
8240,50981,0,2
8241,50980,5,0
8242,50979,10,0
8243,50978,15,2
8244,50977,20,0
8245,50976,25,0
8246,50975,30,2
8247,50974,0,2
8248,50973,5,2
8249,50972,10,2
8250,50971,15,0
8251,50970,20,2
8252,50969,25,2
8253,50968,30,2
8254,50967,35,0
8255,50966,40,2
8256,50965,0,0
8257,50964,5,0
8258,50963,10,0
8259,50962,15,0
8260,50961,20,0
8261,50960,25,0
8262,50959,30,0
8263,50958,35,2
8264,50957,40,0
8325,57259,0,0
8326,57258,5,0
8327,57257,10,1
8328,57256,15,0
8329,57255,20,1
8330,57254,25,0
8331,57253,30,1
8332,57252,35,2
8333,57251,0,0
8334,57250,5,0
8335,57249,10,0
8336,57248,15,0
8337,57247,20,0
8338,57246,25,0
8339,57245,30,2
8340,57244,0,0
8341,57243,5,0
8342,57242,10,0
8343,57241,15,0
8344,57240,20,0
8345,57239,25,0
8346,57238,30,2
8347,57237,0,0
8348,57236,5,0
8349,57235,10,0
8350,57234,15,0
8351,57233,20,0
8352,57232,25,0
8353,57231,30,2
8354,57290,0,2
8355,57289,5,0
8356,57288,10,3
8357,57287,15,0
8358,57286,20,2
8359,57285,25,0
8360,57284,30,3
8361,57283,35,0
8362,57282,40,2
8363,57281,0,0
8364,57280,5,0
8365,57279,10,0
8366,57278,15,0
8367,57277,30,0
8368,57276,25,0
8369,57275,20,2
8370,57274,35,0
8371,57273,40,2
8372,57272,0,0
8373,57271,5,0
8374,57270,10,0
8375,57269,15,0
8376,57268,20,2
8377,57267,25,0
8378,57266,30,0
8379,57265,35,0
8380,57264,40,2
8381,57340,0,2
8382,57339,5,0
8383,57338,10,1
8384,57337,15,2
8385,57336,20,1
8386,57335,25,0
8387,57334,30,1
8388,57333,35,0
8389,57332,40,0
8390,57331,45,0
8391,57330,50,2
8392,57329,0,2
8393,57328,5,0
8394,57327,10,0
8395,57326,15,0
8396,57325,20,2
8397,57324,25,0
8398,57323,30,0
8399,57322,35,0
8400,57321,40,2
8401,57320,0,0
8402,57319,5,0
8403,57318,10,0
8404,57317,15,0
8405,57316,20,2
8406,57315,25,0
8407,57314,30,0
8408,57313,35,0
8409,57312,40,2
8410,57311,0,2
8411,57310,5,0
8412,57309,10,0
8413,57308,15,0
8414,57307,20,2
8415,57306,25,0
8416,57305,30,0
8417,57304,35,0
8418,57303,40,2
8419,57302,0,2
8420,57301,5,0
8421,57300,10,0
8422,57299,15,0
8423,57298,20,2
8424,57297,25,0
8425,57296,30,0
8426,57295,35,0
8427,57294,40,2
8632,59616,0,2
8633,59615,5,1
8634,59614,10,0
8635,59613,15,1
8636,59612,20,0
8637,59611,25,1
8638,59610,30,0
8639,59609,35,1
8640,59608,40,2
8641,59607,0,2
8642,59606,5,0
8643,59605,10,0
8644,59604,15,0
8645,59603,20,2
8646,59602,25,0
8647,59601,30,0
8648,59600,35,0
8649,59599,40,2
8650,59598,0,2
8651,59597,5,0
8652,59596,10,0
8653,59595,15,0
8654,59594,20,2
8655,59593,25,0
8656,59592,30,0
8657,59591,35,0
8658,59590,40,2
8659,59589,0,2
8660,59588,5,0
8661,59587,10,0
8662,59586,15,0
8663,59585,20,2
8664,59584,25,0
8665,59583,30,0
8666,59582,35,0
8667,59581,40,2
8668,59580,0,2
8669,59579,5,0
8670,59578,10,0
8671,59577,15,0
8672,59576,20,2
8673,59575,25,0
8674,59574,30,0
8675,59573,35,0
8676,59572,40,2
8677,59648,0,0
8678,59647,5,0
8679,59646,10,1
8680,59645,15,0
8681,59644,20,0
8682,59643,25,0
8683,59642,30,1
8684,59641,35,0
8685,59640,40,2
8686,59639,0,3
8687,59638,5,0
8688,59637,10,0
8689,59636,15,0
8690,59635,20,2
8691,59634,25,0
8692,59633,30,0
8693,59632,35,0
8694,59631,40,2
8695,59630,0,3
8696,59629,5,0
8697,59628,10,3
8698,59627,15,0
8699,59626,20,3
8700,59625,25,0
8701,59624,30,3
8702,59623,35,0
8703,59622,40,3
8704,59696,0,0
8705,59695,5,1
8706,59694,10,0
8707,59693,15,1
8708,59692,20,2
8709,59691,25,1
8710,59690,30,0
8711,59689,35,1
8712,59688,40,2
8713,59687,0,2
8714,59686,5,0
8715,59685,10,0
8716,59684,15,0
8717,59683,20,2
8718,59682,25,0
8719,59681,30,0
8720,59680,35,0
8721,59679,40,0
8722,59678,0,2
8723,59677,5,0
8724,59676,10,0
8725,59675,15,0
8726,59674,20,2
8727,59673,25,0
8728,59672,30,0
8729,59671,35,0
8730,59670,40,0
8731,59669,0,2
8732,59668,5,0
8733,59667,10,0
8734,59666,15,0
8735,59665,20,2
8736,59664,25,0
8737,59663,30,0
8738,59662,35,0
8739,59661,40,0
8740,59660,0,2
8741,59659,5,0
8742,59658,10,0
8743,59657,15,0
8744,59656,20,2
8745,59655,25,0
8746,59654,30,0
8747,59653,35,0
8748,59652,40,0
8868,64132,0,0
8869,64131,5,0
8870,64130,10,1
8871,64129,15,0
8872,64128,20,1
8873,64127,25,1
8874,64126,30,0
8875,64125,0,1
8876,64124,5,0
8877,64123,10,1
8878,64122,15,0
8879,64121,20,1
8880,64120,25,0
8881,64119,30,0
8882,64118,35,1
8883,64117,40,0
8884,64116,45,0
8885,64115,50,1
8886,64114,0,3
8887,64113,5,0
8888,64112,10,3
8889,64111,0,3
8890,64110,5,0
8891,64109,10,3
8892,64108,0,3
