ID,GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],FileDataID,ObjectEffectPackageID,OverrideLootEffectScale,OverrideNameScale,AlternateDisplayType,ClientCreatureDisplayInfoID,ClientItemID,Field_11_0_0_54210_008
26,-0.090289,-0.807625,3.463157,0.09029,0.864858,3.907382,198478,0,0,0,0,0,0,0
27,-0.16612,-0.84656,2.846081,0.166117,1.409833,3.906655,198476,0,0,0,0,0,0,0
28,-1.427991,-1.991418,-0.55691,1.43657,1.539283,2.262655,196975,0,0,0,0,0,0,0
30,-0.355893,-0.347724,-0.000389,0.355385,0.369838,1.09105,198280,0,0,0,0,0,0,0
31,-0.636226,-0.693032,0.002947,0.63068,0.659836,1.243901,198168,0,0,0,0,0,0,0
32,-0.430319,-0.467806,-0.001256,0.428833,0.524257,0.992064,199563,0,0,0,0,0,0,0
33,-0.308737,-0.360661,-0.001209,0.309601,0.353334,0.967672,197463,0,0,0,0,0,0,0
36,-1.278243,-1.143335,-0.02149,1.294208,1.11953,1.759557,198085,0,0,0,0,0,0,0
39,-0.998546,-0.553206,-0.006989,0.17893,0.553206,1.327819,198115,0,0,0,0,0,0,0
41,-0.394601,-0.590637,0.005024,0.3936,0.589135,0.623557,196982,0,0,0,0,0,0,0
42,-0.049065,-0.026798,-0.121093,0.047085,0.056471,-0.061791,199932,0,0,0,0,0,0,0
43,-0.534225,-0.23499,0,0.261265,0.616831,0.720778,198056,0,0,0,0,0,0,0
45,1,1,1,-1,-1,-1,199929,0,0,0,0,0,0,0
47,-1.292971,-1.178714,-0.60938,1.292971,1.807275,3.799574,190384,0,0,0,0,0,0,0
48,-2.012936,-2.029193,-2.339579,1.0193,2.058547,3.60971,197038,0,0,0,0,0,0,0
49,-2.172897,-2.187397,-0.55271,2.192411,2.177912,0.831943,204112,0,0,0,0,0,0,0
51,-1.704678,-2.409838,-0.158941,1.353499,2.428247,2.189532,199748,0,0,0,0,0,0,0
52,-1.209374,-1.236598,-0.088221,1.256398,1.229175,3.147975,199751,0,0,0,0,0,0,0
53,-0.68389,-0.696972,-0.060746,0.730914,0.717832,3.175451,199753,0,0,0,0,0,0,0
56,-0.146553,-0.192744,0.002717,0.150837,0.276062,0.632111,197552,0,0,0,0,0,0,0
58,-0.589119,-0.742139,-0.00518,1.07557,0.462492,0.099701,189676,0,0,0,0,0,0,0
60,-0.833388,-0.963887,-0.429949,0.859423,2.474886,1.529106,189409,0,0,0,0,0,0,0
63,-0.215349,-0.428978,-0.114426,0.236487,0.3891,0.336756,198203,0,0,0,0,0,0,0
70,-0.3698,-0.1702,-0.103035,0.989139,0.163201,0.185699,198651,0,0,0,0,0,0,0
90,-1.587188,-2.419453,0,0.268263,2.416873,8.734192,190361,0,0,0,0,0,0,0
91,-0.928641,-0.584937,-0.110371,0.151192,0.584937,1.652847,198116,0,0,0,0,0,0,0
92,-0.763096,-0.801293,-0.002386,0.152754,0.800121,2.080039,198114,0,0,0,0,0,0,0
95,-1.329676,-1.143207,-0.060634,1.068442,1.150644,9.051079,199954,0,0,0,0,0,0,0
100,-0.107543,-0.127098,0.001862,0.110598,0.124789,0.589236,199806,0,0,0,0,0,0,0
105,-0.113822,-0.222141,0.000167,0.098408,0.225543,0.604028,198022,0,0,0,0,0,0,0
107,-0.534225,-0.23499,0,0.261265,0.337227,0.350082,198055,0,0,0,0,0,0,0
112,-0.308737,-0.360661,-0.001209,0.309601,0.353334,0.967672,197464,0,0,0,0,0,0,0
113,-0.43571,-0.763771,0.003151,0.428923,0.764007,0.503345,199634,0,0,0,0,0,0,0
114,-0.420042,-0.193695,-0.006253,0.433622,0.175587,0.347467,198236,0,0,0,0,0,0,0
119,-3.207876,-3.246394,-0.330685,3.093184,2.679648,2.701597,203967,0,0,0,0,0,0,0
124,-6.75666,-1.306907,-0.197767,1.583432,2.983114,1.45772,190104,0,0,0,0,0,0,0
130,-0.598371,-0.348473,-0.123033,0.694301,0.708826,2.785502,198636,0,0,0,0,0,0,0
131,-3.937863,-4.903471,0.012082,5.206622,4.936444,3.439322,189709,0,0,0,0,0,0,0
133,-0.11268,-0.120727,-0.025467,0.099025,0.108448,-0.00046,199973,0,0,0,0,0,0,0
134,-0.877033,-0.788389,0.011984,0.393397,0.580761,0.818833,189478,0,0,0,0,0,0,0
137,-0.31686,-1.410794,-0.010439,0.566149,1.395629,3.227385,198054,0,0,0,0,0,0,0
138,-0.454154,-0.340754,-0.015295,0.21039,0.290682,0.531843,190658,0,0,0,0,0,0,0
139,-7.514433,-6.347858,-0.045016,8.462882,7.2718,28.572968,198561,0,0,0,0,0,0,0
148,-0.891997,-1.024053,-0.875777,2.417259,1.908318,4.625498,190383,0,0,0,0,0,0,0
150,-0.090289,0.083382,3.463157,0.09029,1.755865,3.907382,198471,0,0,0,0,0,0,0
151,-1.432252,-1.9918711,-0.00062179565,1.4322512,1.9918714,2.1595201,198598,0,0,0,0,0,0,0
153,-1.24867,-1.24735,-1.24131,1.23395,1.23527,1.24131,198095,0,0,0,0,0,0,0
154,-1.43263,-1.030817,-0.110371,1.494097,1.048948,1.934498,198177,0,0,0,0,0,0,0
155,-0.625409,-0.546413,-0.014038,0.553417,0.423248,0.392411,189761,0,0,0,0,0,0,0
156,-0.214216,-0.506724,-1.652187,0.116202,0.52248,2.497427,198409,0,0,0,0,0,0,0
159,-1.475753,-1.363018,3.5E-05,1.610912,1.417482,0.002308,198435,0,0,0,0,0,0,0
163,-0.530714,-0.380363,0.004419,0.517913,0.420162,0.135923,198451,0,0,0,0,0,0,0
164,-0.459744,-0.158427,0.001441,0.444363,0.13901,0.139258,198453,0,0,0,0,0,0,0
166,-0.684273,-0.354709,3E-06,0.774386,0.358392,0.968424,189642,0,0,0,0,0,0,0
169,-6.038475,-0.662115,2.105483,2.871421,0.718584,8.584188,198502,0,0,0,0,0,0,0
181,-0.259523,-0.257961,-0.143469,0.490956,0.994253,0.472676,197946,0,0,0,0,0,0,0
183,-0.457307,-0.396275,-0.00705,0.455761,0.412793,0.147518,198455,0,0,0,0,0,0,0
184,-0.126387,-0.337697,0.002328,0.114266,0.350781,1.17456,198016,0,0,0,0,0,0,0
185,-0.126514,-0.385117,0.000167,0.114138,0.391069,1.04838,198017,0,0,0,0,0,0,0
187,-0.31686,-1.411375,-0.002979,0.566149,1.395032,1.781178,198053,0,0,0,0,0,0,0
188,-0.31686,-1.40666,-0.010439,0.566149,1.399762,4.078447,198052,0,0,0,0,0,0,0
189,-1.867228,-0.780974,0.012152,1.688835,0.765141,5.073092,198047,0,0,0,0,0,0,0
190,-0.457042,-0.375353,-0.00705,0.456019,0.433708,0.147518,198454,0,0,0,0,0,0,0
191,-0.134297,-0.123907,-0.00025,0.125215,0.128561,0.752581,197331,0,0,0,0,0,0,0
192,-0.864041,-1.006799,-0.099371,1.165047,1.128828,1.757961,189705,0,0,0,0,0,0,0
193,-0.576271,-1.179353,0,0.523145,1.187384,1.562804,190633,0,0,0,0,0,0,0
194,-1.158579,-1.115154,-0.043293,1.158579,1.109177,0.724082,198065,0,0,0,0,0,0,0
195,-0.090289,0.058737,3.463157,0.09029,1.73122,3.907382,198470,0,0,0,0,0,0,0
196,-0.136721,-0.828006,0.676894,0.156303,0.674828,2.18664,189881,0,0,0,0,0,0,0
197,-0.915952,-0.917454,-0.003374,0.919102,0.9176,1.442696,197293,1629,0,0,0,0,0,0
199,-0.57092804,-1.4468049,-0.93844044,1.0522184,1.3081033,1.7725664,198197,0,0,0,0,0,0,0
200,-2.130687,-5.084502,-3.062884,1.63016,4.636765,7.116166,189118,0,0,0,0,0,0,0
201,-0.992551,-1.199026,-0.149116,1.198019,1.282642,2.236956,199136,0,0,0,0,0,0,0
202,0,-0.368585,-0.045259,0.047724,0.389017,1.103681,199428,0,0,0,0,0,0,0
203,-0.090289,0.114996,3.463157,0.09029,1.787479,3.907382,198472,0,0,0,0,0,0,0
204,-0.743717,-1.32396,0.143212,0.713533,1.42613,0.458631,189232,0,0,0,0,0,0,0
205,-1.678951,-1.928581,-1.534075,1.624899,1.886376,7.69063,189158,0,0,0,0,0,0,0
206,-3.304311,-5.604744,-0.80141,4.071695,4.674767,2.222718,189141,0,0,0,0,0,0,0
207,-3.901836,-3.150939,-0.402222,3.311398,3.007473,8.977763,189170,0,0,0,0,0,0,0
208,-0.726445,-1.761961,-0.006852,1.276919,1.381397,1.069397,189186,0,0,0,0,0,0,0
209,-0.973749,-1.127462,0.000186,0.972883,1.120316,1.567849,189193,0,0,0,0,0,0,0
210,-0.530714,-0.380363,0.004419,0.517913,0.420162,0.135923,201113,0,0,0,0,0,0,0
211,-0.828779,-0.651999,-0.106108,0.80525,0.80772,0.450526,197330,0,0,0,0,0,0,0
212,-2.239728,-0.561092,-0.067195,1.519479,0.561092,4.792355,190304,0,0,0,0,0,0,0
213,-0.251965,-0.288505,5.8E-05,0.248858,0.284027,0.686839,189820,0,0,0,0,0,0,0
214,-0.000855,-0.355506,0.002926,0.067549,0.361033,0.425149,199983,0,0,0,0,0,0,0
215,-1.727763,-0.78811485,-0.008782599,1.1581998,0.79685444,1.230823,199886,0,0,0,0,0,0,0
216,-0.80746,-1.1218,-0.042288,0.972444,0.900827,1.526917,198100,0,0,0,0,0,0,0
217,-0.201085,-0.163374,-0.068108,0.155508,0.123893,0.222573,189896,0,0,0,0,0,0,0
218,-0.318212,-0.569794,0.003092,0.30401,0.568873,1.172024,204142,0,0,0,0,0,0,0
219,-0.92702,-1.465942,-0.086877,1.150817,1.352876,2.316283,190809,0,0,0,0,0,0,0
220,-0.530714,-0.391107,0.004419,0.517913,0.409417,0.135923,198452,0,0,0,0,0,0,0
221,-1.432252,-1.991871,-0.000622,1.432251,1.991871,1.031076,198603,0,0,0,0,0,0,0
222,-0.42444,-0.506212,0.008784,0.395671,0.504963,0.127252,198457,0,0,0,0,0,0,0
223,-6.70546,-1.771732,-1.962637,2.785072,2.238412,2.322204,190677,0,0,0,0,0,0,0
224,-0.600933,-0.339263,-0.047453,0.593367,0.253576,0.594943,198232,0,0,0,0,0,0,0
225,-0.158805,-0.156214,0.010794,0.152793,0.159946,0.723736,198057,0,0,0,0,0,0,0
226,-0.169425,-0.167378,-0.059423,0.311892,0.225956,0.348714,190440,0,0,0,0,0,0,0
227,-1.159475,-2.027086,-0.16426,0.996542,2.039311,1.167897,197832,0,0,0,0,0,0,0
228,-0.081213,-0.089066,-0.001314,0.070274,0.066371,0.533652,198061,0,0,0,0,0,0,0
229,-0.73564,-0.44304,-0.048885,0.668191,0.421397,0.520612,198212,0,0,0,0,0,0,0
230,-3.588525,-3.587857,-0.002708,3.676912,3.62137,11.632256,199969,0,0,0,0,0,0,0
231,-6.326479,-5.797475,-1.347714,4.559147,6.906529,5.558093,197635,0,0,0,0,0,0,0
232,-2.08384,-1.20424,-0.132554,0.857269,1.3081,4.58327,197849,0,0,0,0,0,0,0
233,-0.16244,-1.181084,0,2.171254,2.338611,4.772967,219412,0,0,0,0,0,0,0
234,-1.270426,-2.149595,-0.001088,1.299503,2.099358,1.338365,198602,0,0,0,0,0,0,0
235,-5.102673,-5.985953,-3.012691,5.060145,5.993897,13.010175,199976,0,0,0,0,0,0,0
236,-1.093391,-0.971087,-0.182438,0.717341,1.522562,2.421106,198951,0,0,0,0,0,0,0
237,-0.239626,-0.258135,-0.0005,0.212192,0.199202,0.862324,198058,0,0,0,0,0,0,0
238,-0.08065,-0.539194,-0.016173,0.070838,-0.044843,0.343334,198060,0,0,0,0,0,0,0
239,-0.481354,-0.539264,-0.067733,0.475833,0.533199,0.841806,198068,0,0,0,0,0,0,0
240,-0.21289,-0.336569,0.003702,0.205338,0.337778,1.390459,198076,0,0,0,0,0,0,0
241,-0.172105,-0.184475,0.000197,0.149406,0.153582,1.114047,198169,0,0,0,0,0,0,0
242,-0.137164,-0.342778,-0.014372,0.172963,0.33914,0.167927,189085,0,0,0,0,0,0,0
243,-2.471095,-2.283444,-0.103154,2.436113,1.905016,3.926776,200898,0,0,0,0,0,0,0
244,-0.287352,-0.581625,-0.232048,0.662834,0.530588,1.022438,190805,0,0,0,0,0,0,0
245,-4.724608,-2.236084,-0.00801,5.477932,2.233825,4.126441,200947,0,0,0,0,0,0,0
246,-0.059172,-0.168265,0.000167,0.058957,0.218579,1.64941,198018,0,0,0,0,0,0,0
247,-1.319021,-1.931418,-0.100238,0.836104,1.421832,4.455389,198950,0,0,0,0,0,0,0
248,-0.873899,-2.103373,-0.705576,1.087483,1.850204,6.399526,203668,0,0,0,0,0,0,0
249,-1.223193,-0.974113,0,0.971777,0.913022,1.903259,198836,0,0,0,0,0,0,0
250,-4.166667,-4.166667,-0.53294,4.166667,4.166667,21.585495,199938,0,0,0,0,0,0,0
251,-0.377489,-0.723556,0,0.361372,0.718575,0.701458,189810,0,0,0,0,0,0,0
252,-0.500943,-0.530987,-0.034535,1.042519,0.923063,1.056788,197608,0,0,0,0,0,0,0
253,-0.558435,-0.419731,-0.04909,0.32583,0.466778,0.856388,189752,0,0,0,0,0,0,0
254,-0.301395,-0.44659,0.00034,0.341079,0.455957,0.129497,198029,0,0,0,0,0,0,0
255,-0.302832,-0.224365,-0.000393,0.301016,0.22332,0.128939,200900,0,0,0,0,0,0,0
256,-0.454445,-0.651321,-0.055658,0.480427,0.685519,2.610672,198801,0,0,0,0,0,0,0
257,-0.316703,-0.406375,-0.052788,0.342685,0.448608,1.908707,198802,0,0,0,0,0,0,0
258,-0.249397,-0.293447,0,0.248555,0.281536,0.676136,199184,0,0,0,0,0,0,0
259,-0.7007035,-0.8862322,-0.006664332,0.7007037,0.8862324,1.3554217,219372,0,0,0,0,0,0,0
260,-9.019885,-11.080846,-3.304257,9.00026,8.973819,-1.714445,199964,0,0,0,0,0,0,0
261,-0.922854,-1.255583,-0.201875,1.198285,1.347704,1.302258,196998,0,0,0,0,0,0,0
263,-0.8350914,-0.88425195,-0.00070945674,0.85895985,0.893242,1.5708933,199907,0,0,0,0,0,0,0
264,-0.8351698,-0.8842146,-0.00090595405,0.8590367,0.89326274,3.0768857,199918,0,0,0,0,0,0,0
265,-0.8350904,-0.8912179,-0.0010550604,0.85895723,0.9002642,6.806395,199916,0,0,0,0,0,0,0
266,-0.86476004,-0.89523524,-0.0018562789,0.91313195,0.95182353,11.948966,199927,0,0,0,0,0,0,0
267,-1.429903,-1.110762,-0.051292,1.373897,1.283431,4.565385,189772,0,0,0,0,0,0,0
268,-2.640496,-2.300699,-0.969425,2.680074,2.607031,3.532694,219470,0,0,0,0,0,0,0
269,-0.95311,-0.954267,-0.666468,1.49157,1.374831,2.306164,219481,0,0,0,0,0,0,0
270,-2.137738,-2.174,-0.783039,2.287868,2.254932,3.574819,219487,0,0,0,0,0,0,0
271,-1.365065,-2.494244,-1.226202,2.851829,1.877983,3.271201,219502,0,0,0,0,0,0,0
272,-1.830097,-1.806576,-0.667262,1.830097,1.806576,2.167331,219497,0,0,0,0,0,0,0
273,-1.233692,-0.556316,-0.090814,0.652857,0.559759,1.354219,219402,0,0,0,0,0,0,0
274,0.301628,0.035143,-0.048487,0.719181,0.48025,0.669669,219403,0,0,0,0,0,0,0
275,-0.547081,-0.740781,0.001517,0.54995,0.740956,0.773372,199632,0,0,0,0,0,0,0
276,-0.713347,-2.00256,-0.032301,0.687422,0.865858,1.39127,203510,0,0,0,0,0,0,0
277,-0.934728,-0.988792,-0.043926,0.437192,0.448244,1.33268,203512,0,0,0,0,0,0,0
278,-0.572411,-0.431421,-0.015951,0.739593,0.410366,0.372075,189893,0,0,0,0,0,0,0
279,-0.430319,-0.467806,0,0.428833,0.524257,0.992064,190535,0,0,0,0,0,0,0
280,-2.12089,-7.14101,-0.563103,2.72297,5.15638,4.51731,189692,0,0,0,0,0,0,0
281,-2.21755,-5.00186,-0.376336,2.18931,5.59917,3.06494,189696,0,0,0,0,0,0,0
282,-2.866702,-2.829859,-0.434505,2.866702,2.829859,4.222479,189700,0,0,0,0,0,0,0
283,-0.887611,-1.34957,-0.160279,1.46,0.850719,2.20911,189699,0,0,0,0,0,0,0
284,-2.33297,-3.17686,-0.274081,2.43688,2.51133,3.55144,189698,0,0,0,0,0,0,0
285,-0.400577,-0.595919,0,0.399647,0.594496,0.634888,198165,0,0,0,0,0,0,0
286,-0.263685,-0.449461,0,0.258775,0.449964,0.687796,198166,0,0,0,0,0,0,0
287,-0.393532,-0.594851,0,0.393465,0.588951,0.621661,198167,0,0,0,0,0,0,0
288,-0.430319,-0.467806,-0.000109,0.428833,0.524257,0.992064,199737,0,0,0,0,0,0,0
289,-0.629019,-1.082211,-0.005112,0.98737,0.566974,0.883677,198198,0,0,0,0,0,0,0
290,-1.023755,-0.748014,-0.277331,1.026245,1.065536,2.173484,190252,0,0,0,0,0,0,0
291,-4.621312,-3.668358,-0.50108,3.0781,2.182072,2.822724,189827,0,0,0,0,0,0,0
292,-1.023755,-0.766923,-0.289007,1.026245,1.065536,2.173484,190256,0,0,0,0,0,0,0
293,-0.779186,-0.789745,-0.088216,0.728563,0.794074,1.031058,200638,0,0,0,0,0,0,0
294,-3.644165,-6.287548,-0.338058,4.052681,9.445357,6.537942,199756,0,0,0,0,0,0,0
295,-0.251312,-0.142459,-0.001187,0.584569,0.158496,1.171748,201061,0,0,0,0,0,0,0
296,-6.650767,-5.210239,-0.688911,5.20241,6.475721,17.281336,200557,0,0,0,0,0,0,0
297,-0.220198,-0.253933,0,0.219629,0.253935,0.708081,189815,0,0,0,0,0,0,0
298,-0.8350904,-0.8912179,-0.0010550604,0.85895723,0.9002642,6.806395,199908,0,0,0,0,0,0,0
299,-0.209728,-0.209026,0,0.211348,0.214239,0.147769,189768,0,0,0,0,0,0,0
300,-0.36529,-0.501956,-0.016207,0.614428,0.534309,1.491654,189426,0,0,0,0,0,0,0
301,-0.676458,-0.758658,-0.021736,0.759844,0.780231,0.952617,189437,0,0,0,0,0,0,0
302,-5.102673,-5.985953,-3.012691,5.060145,5.993897,13.010174,199975,0,0,0,0,0,0,0
303,-0.118663,1.001587,5.486001,0.13377,4.055556,6.525565,200454,0,0,0,0,0,0,0
304,-2.847233,-1.273354,-0.070898,1.757967,1.46058,5.222499,219382,0,0,0,0,0,0,0
305,-2.676028,-1.684117,0,2.162075,5.829827,6.007133,219414,0,0,0,0,0,0,0
307,-1.486677,-1.666601,-0.146807,1.493351,1.788826,2.494783,199155,0,0,0,0,0,0,0
308,-1.119437,-0.003763,-0.370077,1.054112,0.189793,0.400751,200453,0,0,0,0,0,0,0
309,-0.118933,-0.379584,-0.451705,1.806807,0.379584,0.451705,199262,0,0,0,0,0,0,0
310,-2.245681,-2.504081,-3.833308,1.292182,2.058547,2.726723,219514,0,0,0,0,0,0,0
311,-2.245681,-2.504081,-2.95032,1.292183,2.058547,3.60971,219524,0,0,0,0,0,0,0
312,-2.633224,-2.531554,-2.369443,1.652903,2.501107,3.169285,219532,0,0,0,0,0,0,0
313,-2.400965,-2.504081,-2.95032,1.421701,2.058547,3.701021,219541,0,0,0,0,0,0,0
314,-2.245681,-2.504081,-2.95032,1.336878,2.058547,3.60971,219569,0,0,0,0,0,0,0
315,-2.245681,-2.504081,-2.95032,1.292183,2.058547,3.60971,219568,0,0,0,0,0,0,0
316,1,1,1,-1,-1,-1,202952,0,0,0,0,0,0,0
317,-0.526222,-0.368403,-0.142295,0.511746,0.367433,0.600518,197621,0,0,0,0,0,0,0
318,-0.414254,-0.286782,-0.046046,0.432075,0.269635,0.771953,197617,0,0,0,0,0,0,0
319,-0.667048,-0.619626,0.010506,0.686857,0.647854,1.277985,198006,0,0,0,0,0,0,0
320,-1.949588,-2.371274,-0.686912,2.349546,2.5698,2.743718,219443,0,0,0,0,0,0,0
321,-0.617071,-0.66672,-0.038402,0.373842,0.455037,0.422349,199222,0,0,0,0,0,0,0
322,-2.050477,-2.630518,-0.159113,2.423602,3.003768,4.70607,200335,0,0,0,0,0,0,0
323,-0.438871,-0.405771,-0.019773,0.438871,0.603428,1.202903,200442,0,0,0,0,0,0,0
324,-2.130687,-2.142804,-0.298551,1.63016,1.834896,5.421711,189120,0,0,0,0,0,0,0
325,-0.08926,-0.086775,-0.046917,0.09838,0.091682,2.162575,201129,0,0,0,0,0,0,0
327,-0.265399,-0.968961,-0.406936,0.257064,0.967168,1.597746,201056,0,0,0,0,0,0,0
328,-1.647918,-1.435285,-0.03852,1.389136,1.610215,2.031554,189280,0,0,0,0,0,0,0
329,-1.127944,-1.916306,-0.115361,1.369209,1.66482,2.328092,201864,0,0,0,0,0,0,0
330,-2.716491,-2.947799,-0.098564,2.153722,3.028668,3.735702,201006,0,0,0,0,0,0,0
331,-1.489593,-1.489353,0.00186,1.490978,1.491219,1.2903,199355,0,0,0,0,0,0,0
332,-0.674432,-0.894271,-0.210769,1.455157,0.714185,1.159428,201142,0,0,0,0,0,0,0
333,-1.023755,-0.758072,-0.289007,1.026245,0.754108,1.288435,201072,0,0,0,0,0,0,0
334,-0.428987,-0.495326,0.000312,0.428957,0.495343,0.993231,200884,0,0,0,0,0,0,0
335,-0.625431,-0.661702,0.000941,0.61754,0.684345,1.042136,200960,0,2,0,0,0,0,0
336,-0.498044,-0.66015,0.001318,0.527809,0.668411,0.608249,200961,0,0,0,0,0,0,0
338,-0.301394,-0.176307,-0.001446,0.341079,0.195647,0.195695,200916,0,0,0,0,0,0,0
339,-0.002962,-0.339314,-0.336107,0.384882,0.338827,0.342035,200936,0,0,0,0,0,0,0
340,-0.710447,-0.710531,7.8E-05,0.709905,0.713759,0.228273,200971,0,0,0,0,0,0,0
341,-2.394854,0.791659,-0.17611,5.675132,7.432792,4.841739,201383,0,0,0,0,0,0,0
342,-0.0080280425,-0.8333333,-0.8333333,0.75903237,0.8333333,0.8333333,201101,0,0,0,0,0,0,0
343,-1.579634,-1.680615,-1.044701,1.775922,1.67494,0.012115,201103,0,0,0,0,0,0,0
344,-2.590837,-2.620666,0.009101,2.630765,2.600935,1.695304,201001,0,0,0,0,0,0,0
345,-0.410538,-0.666171,0,0.356229,0.680303,1.266231,200877,0,0,0,0,0,0,0
346,-2.055559,-3.132314,-2.838213,2.619847,2.433749,5.530291,201386,0,0,0,0,0,0,0
347,-0.625425,-0.66195,0.000936,0.617536,0.66195,0.793317,198158,0,0,0,0,0,0,0
348,-1.034311,-0.490614,-0.039312,0.402724,0.580231,3.737806,198595,0,0,0,0,0,0,0
352,-1.395748,-0.534113,0.624568,1.395833,0.554946,0.79446,189416,0,0,0,0,0,0,0
353,0.004318,-0.297558,-0.007239,0.493151,0.297558,0.508147,198618,0,0.75,0,0,0,0,0
354,0.004318,-0.297558,-0.007239,0.493151,0.297558,0.518021,198617,0,0,0,0,0,0,0
355,-7.460904,-6.594494,2.392556,1.615336,6.583564,3.903405,219378,0,0,0,0,0,0,0
356,-0.481371,-0.740447,-0.00184,0.79828,0.85538,2.165402,197760,0,0,0,0,0,0,0
357,-0.647133,-0.711013,-0.160272,1.02919,1.175513,0.639194,219463,0,0,0,0,0,0,0
358,-1.105972,-1.105972,-0.418288,1.105972,1.105972,3.082392,219440,0,0,0,0,0,0,0
359,-2.961396,-1.425478,-0.111161,0.072101,1.491575,2.242221,219476,0,1,0,0,0,0,0
360,-4.8537107,-5.078333,-2.7681973,4.779908,4.8323874,12.847677,202316,917,0,0,0,0,0,0
361,-1.130308,-8.427484,-0.040722,9.698305,1.071269,1.576707,189438,0,0,0,0,0,0,0
362,-0.727082,-0.949613,-0.144454,0.768914,1.080334,0.576507,198947,0,0,0,0,0,0,0
363,-0.8350914,-0.88425195,-0.00070945674,0.85895985,0.893242,1.5708933,199915,0,0,0,0,0,0,0
364,-0.988649,-0.613356,-0.110293,0.827556,0.625544,1.50877,198527,0,0,0,0,0,0,0
365,-1.2842,-1.239111,-0.126767,1.34683,1.271251,1.499964,201377,0,0,0,0,0,0,0
366,-1.469111,-1.469111,0,1.469111,1.469111,1.649617,199198,0,0,0,0,0,0,0
367,-0.139064,-0.445236,-0.009564,0.120226,0.428749,0.328439,199725,0,0,0,0,0,0,0
368,0,0,0,0,0,0,112877,0,0,0,0,0,0,0
369,-1.408116,-1.613608,-0.639739,1.601437,1.177366,2.189972,190381,0,0,0,0,0,0,0
370,-2.494804,-1.960299,-0.406463,2.144626,2.021533,3.733087,190380,0,0,0,0,0,0,0
371,-2.137738,-2.174,-1.230389,2.287868,2.254932,3.127468,219494,0,0,0,0,0,0,0
372,-0.010274,-0.354622,-0.057183,0.48776,0.108082,0.360032,199223,0,0,0,0,0,0,0
373,-1.073493,-1.190706,-0.102061,1.066727,1.169308,3.498212,199130,0,0,0,0,0,0,0
374,-1.445608,-1.460128,-0.27285,1.446097,1.43144,3.160733,199142,0,0,0,0,0,0,0
375,-0.992551,-1.199026,-0.149116,1.198019,1.328773,2.331964,199137,0,0,0,0,0,0,0
377,-0.062371,-2.811951,-0.784729,1.956648,2.811951,0.784729,198398,0,0,0,0,0,0,0
378,-0.988649,-0.613356,-0.110452,0.827556,0.625544,1.50877,200974,0,0,0,0,0,0,0
379,-1.696783,-1.340123,-0.945497,1.385049,1.344842,0.801548,197456,0,0,0,0,0,0,0
381,-0.759947,-0.799792,0,0.764964,0.803643,0.872943,199736,0,0,0,0,0,0,0
