ID,Field_5_5_4_67090_000,Field_5_5_4_67090_001,Field_5_5_4_67090_002,Field_5_5_4_67090_003,Field_5_5_4_67090_004,Field_5_5_4_67090_005,Field_5_5_4_67090_006,Field_5_5_4_67090_007,Field_5_5_4_67090_008[0],Field_5_5_4_67090_008[1]
53,ONESHOT_BATTLEROAR,55,1024,0,0,0,0,-1,-1,-1
54,ONESHOT_SPECIALATTACK1H,57,17408,0,0,0,0,-1,-1,-1
60,ONESHOT_KICK,95,17408,0,0,0,0,-1,-1,-1
61,ONESHOT_ATTACKTHROWN,107,17408,0,0,0,0,-1,-1,-1
64,STATE_STUN,14,17408,2,0,0,0,-1,-1,-1
65,STATE_DEAD,0,26112,1,7,0,0,-1,-1,-1
66,ONESHOT_SALUTE,113,0,0,0,0,0,-1,-1,-1
68,STATE_KNEEL(DOESNT_WORK),0,25088,1,8,0,0,-1,-1,-1
69,STATE_USESTANDING,63,24576,2,0,0,0,-1,-1,-1
70,ONESHOT_WAVE_NOSHEATHE,67,0,0,0,0,0,-1,-1,-1
71,ONESHOT_CHEER_NOSHEATHE,68,0,0,0,0,0,-1,-1,-1
92,ONESHOT_EAT_NOSHEATHE,199,0,0,0,0,0,-1,-1,-1
93,STATE_STUN_NOSHEATHE,137,16384,2,0,0,0,-1,-1,-1
94,ONESHOT_DANCE,69,16384,0,0,0,0,-1,-1,-1
113,ONESHOT_SALUTE_NOSHEATH,210,0,0,0,0,0,-1,-1,-1
133,STATE_USESTANDING_NOSHEATHE,138,8192,2,0,0,0,-1,-1,-1
153,ONESHOT_LAUGH_NOSHEATHE,70,0,0,0,0,0,-1,-1,-1
173,STATE_WORK,136,24576,2,0,0,0,-1,-1,-1
193,STATE_SPELLPRECAST,31,16384,2,0,0,0,-1,-1,-1
213,ONESHOT_READYRIFLE,48,131072,0,0,0,0,-1,-1,-1
214,STATE_READYRIFLE,48,139264,2,0,0,0,-1,-1,-1
233,STATE_WORK_MINING,136,8192,2,0,3782,0,-1,-1,-1
234,STATE_WORK_CHOPWOOD,136,8192,2,0,3202,0,-1,-1,-1
253,STATE_APPLAUD,80,24576,2,0,0,0,-1,-1,-1
254,ONESHOT_LIFTOFF,192,0,0,0,0,0,-1,-1,-1
273,ONESHOT_YES(DNR),185,0,0,0,0,0,-1,-1,-1
274,ONESHOT_NO(DNR),186,0,0,0,0,0,-1,-1,-1
275,ONESHOT_TRAIN(DNR),195,0,0,0,0,0,-1,-1,-1
293,ONESHOT_LAND,200,0,0,0,0,0,-1,-1,-1
313,STATE_AT_EASE,0,0,1,2,0,0,-1,-1,-1
333,STATE_READY1H,26,143360,2,0,0,0,-1,-1,-1
353,STATE_SPELLKNEELSTART,140,0,2,0,0,0,-1,-1,-1
373,STAND_STATE_SUBMERGED,202,0,1,0,0,0,-1,-1,-1
374,ONESHOT_SUBMERGE,201,0,0,0,0,0,-1,-1,-1
375,STATE_READY2H,27,155648,2,0,0,0,-1,-1,-1
376,STATE_READYBOW,29,139264,2,0,0,0,-1,-1,-1
377,ONESHOT_MOUNTSPECIAL,94,49155,0,0,0,0,-1,-1,-1
378,STATE_TALK,60,24576,2,0,0,0,-1,-1,-1
379,STATE_FISHING,134,24577,2,0,0,0,-1,-1,-1
380,ONESHOT_FISHING,133,20480,0,0,3354,0,-1,-1,-1
381,ONESHOT_LOOT,50,17408,0,0,0,0,-1,-1,-1
382,STATE_WHIRLWIND,126,0,2,0,0,0,-1,-1,-1
383,STATE_DROWNED,132,16384,2,0,0,0,-1,-1,-1
384,STATE_HOLD_BOW,109,0,2,0,0,0,-1,-1,-1
385,STATE_HOLD_RIFLE,110,16384,2,0,0,0,-1,-1,-1
386,STATE_HOLD_THROWN,111,16384,2,0,0,0,-1,-1,-1
387,ONESHOT_DROWN,131,0,0,0,0,0,-1,-1,-1
388,ONESHOT_STOMP,181,16384,0,0,0,0,-1,-1,-1
389,ONESHOT_ATTACKOFF,87,17408,0,0,0,0,-1,-1,-1
390,ONESHOT_ATTACKOFFPIERCE,88,17408,0,0,0,0,-1,-1,-1
391,STATE_ROAR,74,0,2,0,0,0,-1,-1,-1
392,STATE_LAUGH,70,0,2,0,0,0,-1,-1,-1
393,ONESHOT_CREATURE_SPECIAL,130,1024,0,0,0,0,-1,-1,-1
394,ONESHOT_JUMPLANDRUN,187,0,0,0,0,0,-1,-1,-1
395,ONESHOT_JUMPEND,39,0,0,0,0,0,-1,-1,-1
396,ONESHOT_TALK_NOSHEATHE,208,128,0,0,0,0,-1,-1,-1
397,ONESHOT_POINT_NOSHEATHE,209,0,0,0,0,0,-1,-1,-1
398,STATE_CANNIBALIZE,203,16384,2,0,0,0,-1,-1,-1
399,ONESHOT_JUMPSTART,37,1024,0,0,0,0,-1,-1,-1
400,STATE_DANCESPECIAL,211,0,2,0,0,0,-1,-1,-1
401,ONESHOT_DANCESPECIAL,211,0,0,0,0,0,-1,-1,-1
402,ONESHOT_CUSTOMSPELL01,213,0,0,0,0,0,-1,-1,-1
403,ONESHOT_CUSTOMSPELL02,214,0,0,0,0,0,-1,-1,-1
404,ONESHOT_CUSTOMSPELL03,215,0,0,0,0,0,-1,-1,-1
405,ONESHOT_CUSTOMSPELL04,216,0,0,0,0,0,-1,-1,-1
406,ONESHOT_CUSTOMSPELL05,217,0,0,0,0,0,-1,-1,-1
407,ONESHOT_CUSTOMSPELL06,218,0,0,0,0,0,-1,-1,-1
408,ONESHOT_CUSTOMSPELL07,219,0,0,0,0,0,-1,-1,-1
409,ONESHOT_CUSTOMSPELL08,220,0,0,0,0,0,-1,-1,-1
410,ONESHOT_CUSTOMSPELL09,221,0,0,0,0,0,-1,-1,-1
411,ONESHOT_CUSTOMSPELL10,222,0,0,0,0,0,-1,-1,-1
412,STATE_EXCLAIM,64,4096,2,0,0,0,-1,-1,-1
413,STATE_DANCE_CUSTOM,0,28801,2,0,0,0,-1,-1,-1
415,STATE_SIT_CHAIR_MED,103,0,2,0,0,0,-1,-1,-1
416,STATE_CUSTOM_SPELL_01,213,0,2,0,0,0,-1,-1,-1
417,STATE_CUSTOM_SPELL_02,214,0,2,0,0,0,-1,-1,-1
418,STATE_EAT,61,0,2,0,0,0,-1,-1,-1
419,STATE_CUSTOM_SPELL_04,216,0,2,0,0,0,-1,-1,-1
420,STATE_CUSTOM_SPELL_03,215,0,2,0,0,0,-1,-1,-1
421,STATE_CUSTOM_SPELL_05,217,0,2,0,0,0,-1,-1,-1
422,STATE_SPELLEFFECT_HOLD,158,0,2,0,0,0,-1,-1,-1
423,STATE_EAT_NO_SHEATHE,199,20992,2,0,0,0,-1,-1,-1
424,STATE_MOUNT,91,56,1,0,0,0,-1,-1,-1
425,STATE_READY2HL,28,131072,2,0,0,0,-1,-1,-1
426,STATE_SIT_CHAIR_HIGH,104,0,2,0,0,0,-1,-1,-1
427,STATE_FALL,40,0,2,0,0,0,-1,-1,-1
428,STATE_LOOT,188,4096,2,0,0,0,-1,-1,-1
429,STATE_SUBMERGED,202,16384,2,1,0,0,-1,-1,-1
430,ONESHOT_COWER(DNR),225,0,0,0,0,0,-1,-1,-1
431,STATE_COWER,225,0,2,0,0,0,-1,-1,-1
432,ONESHOT_USESTANDING,63,0,0,0,0,0,-1,-1,-1
433,STATE_STEALTH_STAND,120,16384,2,0,3325,0,-1,-1,-1
434,ONESHOT_OMNICAST_GHOUL (W/SOUND,54,0,0,0,410,0,-1,-1,-1
435,ONESHOT_ATTACKBOW,46,0,0,0,0,0,-1,-1,-1
436,ONESHOT_ATTACKRIFLE,49,0,0,0,0,0,-1,-1,-1
437,STATE_SWIM_IDLE,41,0,2,0,0,0,-1,-1,-1
438,STATE_ATTACK_UNARMED,16,0,2,0,3782,0,-1,-1,-1
439,ONESHOT_SPELLCAST (W/SOUND),32,8448,0,0,3202,0,-1,-1,-1
440,ONESHOT_DODGE,30,17408,0,0,0,0,-1,-1,-1
441,ONESHOT_PARRY1H,21,17408,0,0,0,0,-1,-1,-1
442,ONESHOT_PARRY2H,22,17408,0,0,0,0,-1,-1,-1
443,ONESHOT_PARRY2HL,28,148480,0,0,0,0,-1,-1,-1
444,STATE_FLYFALL,269,0,2,0,0,0,-1,-1,-1
445,ONESHOT_FLYDEATH,230,0,0,0,0,0,-1,-1,-1
446,STATE_FLY_FALL,269,512,2,0,0,0,-1,-1,-1
447,ONESHOT_FLY_SIT_GROUND_DOWN,325,0,0,0,0,0,-1,-1,-1
448,ONESHOT_FLY_SIT_GROUND_UP,327,0,0,0,0,0,-1,-1,-1
449,ONESHOT_EMERGE,224,0,0,0,0,0,-1,-1,-1
450,ONESHOT_DRAGONSPIT,182,0,0,0,0,0,-1,-1,-1
451,STATE_SPECIALUNARMED,118,0,2,0,0,0,-1,-1,-1
452,ONESHOT_FLYGRAB,455,0,0,0,0,0,-1,-1,-1
453,STATE_FLYGRABCLOSED,456,0,2,0,0,0,-1,-1,-1
454,ONESHOT_FLYGRABTHROWN,457,0,0,0,0,0,-1,-1,-1
455,STATE_FLY_SIT_GROUND,326,0,2,0,0,0,-1,-1,-1
456,STATE_WALKBACKWARDS,13,0,2,0,0,0,-1,-1,-1
457,ONESHOT_FLYTALK,289,8,0,0,0,0,-1,-1,-1
458,ONESHOT_FLYATTACK1H,246,0,0,0,0,0,-1,-1,-1
459,STATE_CUSTOMSPELL08,220,0,2,0,0,0,-1,-1,-1
460,ONESHOT_FLY_DRAGONSPIT,411,0,0,0,7274,0,-1,-1,-1
461,STATE_SIT_CHAIR_LOW,102,0,2,0,0,0,-1,-1,-1
462,ONE_SHOT_STUN,14,0,0,0,0,0,-1,-1,-1
463,ONESHOT_SPELLCAST_OMNI,54,0,0,0,0,0,-1,-1,-1
465,STATE_READYTHROWN,108,135168,2,0,0,0,-1,-1,-1
466,ONESHOT_WORK_CHOPWOOD,62,8192,0,0,3202,0,-1,-1,-1
467,ONESHOT_WORK_MINING,136,8192,0,0,3782,0,-1,-1,-1
468,STATE_SPELL_CHANNEL_OMNI,125,0,2,0,0,0,-1,-1,-1
469,STATE_SPELL_CHANNEL_DIRECTED,124,0,2,0,0,0,-1,-1,-1
470,STAND_STATE_NONE,0,512,1,0,0,0,-1,-1,-1
471,STATE_READYJOUST,476,0,1,0,0,0,-1,-1,-1
472,STATE_STRANGULATE,474,16384,2,0,0,0,-1,-1,-1
473,STATE_STRANGULATE,474,0,2,0,0,0,-1,-1,-1
474,STATE_READYSPELLOMNI,52,131072,2,0,0,0,-1,-1,-1
475,STATE_HOLD_JOUST,478,0,2,0,0,0,-1,-1,-1
476,ONESHOT_CRY (JAINA PROUDMOORE ONLY),77,0,0,0,16651,0,-1,-1,-1
477,ONESHOT_SPECIALUNARMED,118,17408,0,0,0,0,-1,-1,-1
478,STATE_DANCE_NOSHEATHE,69,28801,2,0,0,0,-1,-1,-1
479,ONESHOT_SNIFF,506,129,0,0,0,0,-1,-1,-1
480,ONESHOT_DRAGONSTOMP,181,0,0,0,0,0,-1,-1,-1
482,ONESHOT_KNOCKDOWN,121,0,0,0,0,0,-1,-1,-1
483,STATE_READ,520,16545796,2,0,0,29521,-1,-1,-1
485,ONESHOT_FLYEMOTETALK,289,0,0,0,0,0,-1,-1,-1
492,STATE_READ_ALLOWMOVEMENT,520,8138752,2,0,0,20084,-1,-1,-1
498,STATE_CUSTOM_SPELL_06,218,0,2,0,0,0,-1,-1,-1
499,STATE_CUSTOM_SPELL_07,219,0,2,0,0,0,-1,-1,-1
500,STATE_CUSTOM_SPELL_08,220,0,2,0,0,0,-1,-1,-1
501,STATE_CUSTOM_SPELL_09,221,0,2,0,0,0,-1,-1,-1
502,STATE_CUSTOM_SPELL_10,222,0,2,0,0,0,-1,-1,-1
505,STATE_READY1H_ALLOW_MOVEMENT,26,139264,2,0,0,0,-1,-1,-1
506,STATE_READY2H_ALLOW_MOVEMENT,27,139264,2,0,0,0,-1,-1,-1
507,ONESHOT_MONKOFFENSE_ATTACKUNARMED,672,0,0,0,0,0,-1,-1,-1
508,ONESHOT_MONKOFFENSE_SPECIALUNARMED,680,0,0,0,0,0,-1,-1,-1
509,ONESHOT_MONKOFFENSE_PARRYUNARMED,676,0,0,0,0,0,-1,-1,-1
510,STATE_MONKOFFENSE_READYUNARMED,678,155648,2,0,0,0,-1,-1,-1
511,ONESHOT_PALMSTRIKE,670,0,0,0,0,0,-1,-1,-1
512,STATE_CRANE,710,25088,2,0,0,0,-1,-1,-1
517,ONESHOT_OPEN,148,0,0,0,0,0,-1,-1,-1
518,STATE_READ_CHRISTMAS,520,16545796,2,0,0,22907,-1,-1,-1
526,ONESHOT_FLYATTACK2HL,248,0,0,0,0,0,-1,-1,-1
527,ONESHOT_FLYATTACKTHROWN,336,0,0,0,0,0,-1,-1,-1
528,STATE_FLYREADYSPELLDIRECTED,280,0,2,0,0,0,-1,-1,-1
531,STATE_FLY_READY_1H,255,0,2,0,0,0,-1,-1,-1
533,STATE_MEDITATE,732,0,2,0,0,0,-1,-1,-1
534,STATE_FLY_READY_2HL,257,0,2,0,0,0,-1,-1,-1
535,ONESHOT_TOGROUND,460,0,0,0,0,0,-1,-1,-1
536,ONESHOT_TOFLY,458,0,0,0,0,0,-1,-1,-1
537,STATE_ATTACKTHROWN,107,17408,2,0,0,0,-1,-1,-1
538,STATE_SPELL_CHANNEL_DIRECTED_NOSOUND,124,16777216,2,0,0,0,-1,-1,-1
539,ONESHOT_WORK,62,8192,0,0,0,0,-1,-1,-1
540,STATE_READYUNARMED_NOSOUND,25,16932864,2,0,0,0,-1,-1,-1
543,ONESHOT_MONKOFFENSE_ATTACKUNARMEDOFF,674,0,0,0,0,0,-1,-1,-1
546,RECLINED_MOUNT_PASSENGER,500,0,2,0,0,0,-1,-1,-1
547,ONESHOT_QUESTION,65,144,0,0,0,0,-1,-1,-1
549,ONESHOT_SPELL_CHANNEL_DIRECTED_NOSOUND,124,16777216,0,0,0,0,-1,-1,-1
550,STATE_KNEEL,75,25088,1,8,0,0,-1,-1,-1
551,ONESHOT_FLYATTACKUNARMED,245,0,0,0,0,0,-1,-1,-1
552,ONESHOT_FLYCOMBATWOUND,238,0,0,0,0,0,-1,-1,-1
553,ONESHOT_MOUNTSELFSPECIAL,636,49153,0,0,0,0,-1,-1,-1
554,ONESHOT_ATTACKUNARMED_NOSOUND,16,16794624,0,0,0,0,-1,-1,-1
555,STATE_WOUNDCRITICAL (DOESNT WORK),10,0,2,0,0,0,-1,-1,-1
556,ONESHOT_ATTACK1H (No Sound - Doesn't Work),17,16794624,0,0,0,0,-1,-1,-1
557,STATE_MOUNT_SELF_IDLE,618,25088,1,8,0,0,-1,-1,-1
558,ONESHOT_WALK,4,0,0,0,0,0,-1,-1,-1
559,STATE_OPENED,149,0,2,0,0,0,-1,-1,-1
560,"ONESHOT_YELL (do not use, use ONESHOT_SHOUT)",-1,16385,0,0,0,0,-1,-1,-1
565,ONESHOT_BREATHOFFIRE,734,1024,0,0,0,0,-1,-1,-1
567,STATE_ATTACK1H,17,17408,2,0,0,0,-1,-1,-1
572,STATE_USESTANDING,63,24576,2,0,0,0,-1,-1,-1
574,ONESHOT_LAUGH(No Sound),70,16777600,0,0,0,0,-1,-1,-1
673,ONESHOT_CUSTOM0,153,0,0,0,0,0,-1,-1,-1
913,CLASSIC_STATE_DANCE,69,16384,2,0,0,0,-1,-1,-1
995,STATE_READY2HL,28,155648,2,0,0,0,-1,-1,-1
996,ONESHOT_PARRY2HL,23,17412,0,0,0,0,-1,-1,-1
