ID,ChrCustomizationOptionID,ChrCustomizationChoiceID,CreatureDisplayInfoExtraID
604081,13,17208,179
604082,9,17160,182
604083,10,17179,182
604084,11,17185,182
604085,12,17198,182
604086,13,17214,182
604087,9,17162,184
604088,10,17172,184
604089,11,17184,184
604090,12,17197,184
604091,13,17208,184
604092,9,17161,185
604093,10,17174,185
604094,11,17191,185
604095,12,17196,185
604096,13,17207,185
604097,9,17163,186
604098,10,17180,186
604099,11,17185,186
604100,12,17198,186
604101,13,17210,186
604102,9,17161,188
604103,10,17176,188
604104,11,17185,188
604105,12,17201,188
604106,13,17213,188
604107,9,17163,191
604108,10,17172,191
604109,11,17189,191
604110,12,17196,191
604111,13,17207,191
604112,9,17160,192
604113,10,17175,192
604114,11,17194,192
604115,12,17196,192
604116,13,17207,192
604117,9,17161,195
604118,10,17181,195
604119,11,17192,195
604120,12,17203,195
604121,13,17210,195
604122,9,17167,196
604123,10,17175,196
604124,11,17187,196
604125,12,17204,196
604126,13,17211,196
604127,9,17163,197
604128,10,17177,197
604129,11,17190,197
604130,12,17197,197
604131,13,17211,197
604132,9,17161,200
604133,10,17178,200
604134,11,17187,200
604135,12,17204,200
604136,13,17207,200
604137,9,17163,201
604138,10,17172,201
604139,11,17185,201
604140,12,17200,201
604141,13,17212,201
604142,9,17160,202
604143,10,17182,202
604144,11,17185,202
604145,12,17196,202
604146,13,17210,202
604147,9,17169,203
604148,10,17172,203
604149,11,17188,203
604150,12,17196,203
604151,13,17208,203
604152,9,17162,205
604153,10,17172,205
604154,11,17185,205
604155,12,17199,205
604156,13,17206,205
604157,9,17163,206
604158,10,17175,206
604159,11,17190,206
604160,12,17204,206
604161,13,17211,206
604162,9,17164,208
604163,10,17180,208
604164,11,17184,208
604165,12,17196,208
604166,13,17208,208
604167,9,17160,209
604168,10,17179,209
604169,11,17185,209
604170,12,17200,209
604171,13,17213,209
604172,9,17162,219
604173,10,17174,219
604174,11,17186,219
604175,12,17196,219
604176,13,17208,219
604177,9,17161,220
604178,10,17179,220
604179,11,17185,220
604180,12,17197,220
604181,13,17211,220
604182,9,17161,221
604183,10,17182,221
604184,11,17192,221
604185,12,17205,221
604186,13,17210,221
604187,9,17161,222
604188,10,17183,222
604189,11,17194,222
604190,12,17197,222
604191,13,17212,222
604192,9,17162,223
604193,10,17176,223
604194,11,17185,223
604195,12,17200,223
604196,13,17213,223
604197,9,17161,224
604198,10,17180,224
604199,11,17185,224
604200,12,17203,224
604201,13,17212,224
604202,9,17161,225
604203,10,17173,225
604204,11,17186,225
604205,12,17197,225
604206,13,17214,225
604207,9,17163,226
604208,10,17182,226
604209,11,17190,226
604210,12,17198,226
604211,13,17206,226
604212,9,17161,227
604213,10,17174,227
604214,11,17193,227
604215,12,17196,227
604216,13,17207,227
604217,9,17162,228
604218,10,17182,228
604219,11,17194,228
604220,12,17204,228
604221,13,17210,228
604222,9,17162,230
604223,10,17181,230
604224,11,17185,230
604225,12,17199,230
604226,13,17211,230
604227,9,17161,231
604228,10,17175,231
604229,11,17188,231
604230,12,17200,231
604231,13,17212,231
604232,9,17161,232
604233,10,17176,232
604234,11,17187,232
604235,12,17202,232
604236,13,17213,232
604237,9,17160,233
604238,10,17183,233
604239,11,17188,233
604240,12,17201,233
604241,13,17209,233
604242,9,17163,234
604243,10,17174,234
604244,11,17195,234
604245,12,17196,234
604246,13,17206,234
604247,9,17163,235
604248,10,17179,235
604249,11,17184,235
604250,12,17199,235
604251,13,17209,235
604252,9,17161,236
604253,10,17174,236
604254,11,17186,236
604255,12,17199,236
604256,13,17212,236
604257,9,17164,237
604258,10,17179,237
604259,11,17189,237
604260,12,17204,237
604261,13,17211,237
604262,9,17162,238
604263,10,17179,238
604264,11,17185,238
604265,12,17197,238
604266,13,17213,238
604267,9,17161,239
604268,10,17182,239
604269,11,17187,239
604270,12,17205,239
604271,13,17211,239
604272,9,17161,244
604273,10,17172,244
604274,11,17185,244
604275,12,17200,244
604276,13,17213,244
604277,9,17163,245
604278,10,17182,245
604279,11,17195,245
604280,12,17202,245
604281,13,17210,245
604282,9,17162,250
604283,10,17180,250
604284,11,17185,250
604285,12,17200,250
604286,13,17210,250
604287,9,17161,258
604288,10,17182,258
604289,11,17187,258
604290,12,17196,258
604291,13,17213,258
604292,9,17164,292
604293,10,17177,292
604294,11,17187,292
604295,12,17200,292
604296,13,17206,292
604297,9,17160,312
604298,10,17172,312
604299,11,17184,312
604300,12,17196,312
604301,13,17206,312
604302,9,17160,314
604303,10,17172,314
604304,11,17184,314
604305,12,17196,314
604306,13,17206,314
604307,9,17160,316
604308,10,17172,316
604309,11,17184,316
604310,12,17196,316
604311,13,17206,316
604312,9,17162,318
604313,10,17176,318
604314,11,17187,318
604315,12,17196,318
604316,13,17213,318
604317,9,17162,323
604318,10,17172,323
604319,11,17190,323
604320,12,17205,323
604321,13,17213,323
604322,9,17160,328
604323,10,17174,328
604324,11,17194,328
604325,12,17196,328
604326,13,17212,328
604327,9,17163,334
604328,10,17173,334
604329,11,17188,334
604330,12,17198,334
604331,13,17214,334
604332,9,17160,346
604333,10,17172,346
604334,11,17184,346
604335,12,17196,346
604336,13,17206,346
604337,9,17161,347
604338,10,17177,347
604339,11,17188,347
604340,12,17198,347
604341,13,17208,347
604342,9,17162,358
604343,10,17174,358
604344,11,17186,358
604345,12,17196,358
604346,13,17208,358
604347,9,17164,371
604348,10,17181,371
604349,11,17189,371
604350,12,17198,371
604351,13,17207,371
604352,9,17161,376
604353,10,17173,376
604354,11,17194,376
604355,12,17205,376
604356,13,17211,376
604357,9,17166,378
604358,10,17175,378
604359,11,17187,378
604360,12,17196,378
604361,13,17213,378
604362,9,17160,420
604363,10,17175,420
604364,11,17186,420
604365,12,17199,420
604366,13,17206,420
604367,9,17163,421
604368,10,17182,421
604369,11,17187,421
604370,12,17205,421
604371,13,17207,421
604372,9,17163,422
604373,10,17181,422
604374,11,17191,422
604375,12,17204,422
604376,13,17210,422
604377,9,17161,433
604378,10,17173,433
604379,11,17188,433
604380,12,17199,433
604381,13,17214,433
604382,9,17162,434
604383,10,17174,434
604384,11,17189,434
604385,12,17198,434
604386,13,17207,434
604387,9,17161,435
604388,10,17179,435
604389,11,17189,435
604390,12,17200,435
604391,13,17208,435
604392,9,17164,436
604393,10,17183,436
604394,11,17192,436
604395,12,17204,436
604396,13,17213,436
604397,9,17163,437
604398,10,17172,437
604399,11,17187,437
604400,12,17197,437
604401,13,17211,437
604402,9,17161,439
604403,10,17183,439
604404,11,17189,439
604405,12,17202,439
604406,13,17207,439
604407,9,17163,440
604408,10,17182,440
604409,11,17184,440
604410,12,17203,440
604411,13,17209,440
604412,9,17165,442
604413,10,17173,442
604414,11,17192,442
604415,12,17204,442
604416,13,17211,442
604417,9,17160,443
604418,10,17172,443
604419,11,17193,443
604420,12,17205,443
604421,13,17210,443
604422,9,17165,445
604423,10,17175,445
604424,11,17185,445
604425,12,17198,445
604426,13,17208,445
604427,9,17160,446
604428,10,17182,446
604429,11,17189,446
604430,12,17199,446
604431,13,17208,446
604432,9,17162,447
604433,10,17181,447
604434,11,17193,447
604435,12,17201,447
604436,13,17212,447
604437,9,17169,448
604438,10,17175,448
604439,11,17184,448
604440,12,17196,448
604441,13,17213,448
604442,9,17162,449
604443,10,17176,449
604444,11,17193,449
604445,12,17204,449
604446,13,17208,449
604447,9,17162,450
604448,10,17180,450
604449,11,17186,450
604450,12,17196,450
604451,13,17214,450
604452,9,17163,453
604453,10,17176,453
604454,11,17187,453
604455,12,17197,453
604456,13,17206,453
604457,9,17160,456
604458,10,17180,456
604459,11,17187,456
604460,12,17205,456
604461,13,17210,456
604462,9,17161,457
604463,10,17172,457
604464,11,17187,457
604465,12,17199,457
604466,13,17211,457
604467,9,17162,459
604468,10,17180,459
604469,11,17187,459
604470,12,17197,459
604471,13,17208,459
604472,9,17160,462
604473,10,17182,462
604474,11,17194,462
604475,12,17196,462
604476,13,17212,462
604477,9,17164,464
604478,10,17180,464
604479,11,17194,464
604480,12,17196,464
604481,13,17211,464
604482,9,17164,466
604483,10,17176,466
604484,11,17195,466
604485,12,17201,466
604486,13,17213,466
604487,9,17161,535
604488,10,17174,535
604489,11,17194,535
604490,12,17203,535
604491,13,17212,535
604492,9,17160,536
604493,10,17179,536
604494,11,17192,536
604495,12,17198,536
604496,13,17212,536
604497,9,17169,537
604498,10,17175,537
604499,11,17195,537
604500,12,17196,537
604501,13,17212,537
604502,9,17162,539
604503,10,17175,539
604504,11,17194,539
604505,12,17198,539
604506,13,17214,539
604507,9,17160,540
604508,10,17179,540
604509,11,17188,540
604510,12,17205,540
604511,13,17211,540
604512,9,17161,547
604513,10,17174,547
604514,11,17184,547
604515,12,17197,547
604516,13,17214,547
604517,9,17163,548
604518,10,17178,548
604519,11,17184,548
604520,12,17203,548
604521,13,17207,548
604522,9,17164,549
604523,10,17179,549
604524,11,17184,549
604525,12,17198,549
604526,13,17210,549
604527,9,17160,550
604528,10,17175,550
604529,11,17185,550
604530,12,17205,550
604531,13,17214,550
604532,9,17169,552
604533,10,17183,552
604534,11,17184,552
604535,12,17197,552
604536,13,17214,552
604537,9,17162,553
604538,10,17180,553
604539,11,17187,553
604540,12,17199,553
604541,13,17212,553
604542,9,17163,554
604543,10,17173,554
604544,11,17195,554
604545,12,17198,554
604546,13,17211,554
604547,9,17161,584
604548,10,17175,584
604549,11,17190,584
604550,12,17197,584
604551,13,17210,584
604552,9,17163,596
604553,10,17181,596
604554,11,17191,596
604555,12,17196,596
604556,13,17208,596
604557,9,17167,604
604558,10,17181,604
604559,11,17194,604
604560,12,17196,604
604561,13,17209,604
604562,9,17162,605
604563,10,17172,605
604564,11,17193,605
604565,12,17200,605
604566,13,17214,605
604567,9,17164,607
604568,10,17181,607
604569,11,17191,607
604570,12,17200,607
604571,13,17210,607
604572,9,17162,608
604573,10,17174,608
604574,11,17184,608
604575,12,17196,608
604576,13,17207,608
604577,9,17163,616
604578,10,17181,616
604579,11,17184,616
604580,12,17198,616
604581,13,17206,616
604582,9,17161,617
604583,10,17183,617
604584,11,17188,617
604585,12,17200,617
604586,13,17209,617
604587,9,17161,633
604588,10,17178,633
604589,11,17184,633
604590,12,17199,633
604591,13,17206,633
604592,9,17160,634
604593,10,17179,634
604594,11,17186,634
604595,12,17202,634
604596,13,17207,634
604597,9,17163,635
604598,10,17179,635
604599,11,17194,635
604600,12,17205,635
604601,13,17206,635
604602,9,17160,640
604603,10,17174,640
604604,11,17185,640
604605,12,17196,640
604606,13,17211,640
604607,9,17163,641
604608,10,17175,641
604609,11,17190,641
604610,12,17196,641
604611,13,17214,641
604612,9,17160,643
604613,10,17178,643
604614,11,17187,643
604615,12,17204,643
604616,13,17210,643
604617,9,17161,649
604618,10,17175,649
604619,11,17191,649
604620,12,17205,649
604621,13,17212,649
604622,9,17164,651
604623,10,17174,651
604624,11,17187,651
604625,12,17197,651
604626,13,17213,651
604627,9,17164,652
604628,10,17183,652
604629,11,17184,652
604630,12,17196,652
604631,13,17214,652
604632,9,17162,654
604633,10,17174,654
604634,11,17190,654
604635,12,17200,654
604636,13,17208,654
604637,9,17169,656
604638,10,17180,656
604639,11,17184,656
604640,12,17196,656
604641,13,17214,656
604642,9,17164,657
604643,10,17174,657
604644,11,17193,657
604645,12,17196,657
604646,13,17210,657
604647,9,17162,663
604648,10,17181,663
604649,11,17192,663
604650,12,17198,663
604651,13,17209,663
604652,9,17166,669
604653,10,17180,669
604654,11,17187,669
604655,12,17205,669
604656,13,17212,669
604657,9,17169,672
604658,10,17173,672
604659,11,17187,672
604660,12,17205,672
604661,13,17211,672
604662,9,17162,673
604663,10,17175,673
604664,11,17185,673
604665,12,17199,673
604666,13,17214,673
604667,9,17164,675
604668,10,17178,675
604669,11,17184,675
604670,12,17204,675
604671,13,17212,675
604672,9,17165,676
604673,10,17174,676
604674,11,17195,676
604675,12,17202,676
604676,13,17209,676
604677,9,17164,679
604678,10,17179,679
604679,11,17190,679
604680,12,17198,679
604681,13,17211,679
604682,9,17162,682
604683,10,17182,682
604684,11,17190,682
604685,12,17204,682
604686,13,17207,682
604687,9,17160,715
604688,10,17172,715
604689,11,17184,715
604690,12,17196,715
604691,13,17206,715
604692,9,17162,741
604693,10,17177,741
604694,11,17186,741
604695,12,17196,741
604696,13,17214,741
604697,9,17160,742
604698,10,17173,742
604699,11,17193,742
604700,12,17200,742
604701,13,17213,742
604702,9,17160,743
604703,10,17173,743
604704,11,17191,743
604705,12,17201,743
604706,13,17214,743
604707,9,17161,744
604708,10,17181,744
604709,11,17185,744
604710,12,17198,744
604711,13,17214,744
604712,9,17160,745
604713,10,17175,745
604714,11,17189,745
604715,12,17196,745
604716,13,17211,745
604717,9,17162,746
604718,10,17175,746
604719,11,17194,746
604720,12,17200,746
604721,13,17209,746
604722,9,17160,747
604723,10,17182,747
604724,11,17194,747
604725,12,17196,747
604726,13,17214,747
604727,9,17161,748
604728,10,17183,748
604729,11,17184,748
604730,12,17197,748
604731,13,17208,748
604732,9,17160,749
604733,10,17177,749
604734,11,17184,749
604735,12,17205,749
604736,13,17213,749
604737,9,17164,752
604738,10,17172,752
604739,11,17190,752
604740,12,17197,752
604741,13,17214,752
604742,9,17162,836
604743,10,17175,836
604744,11,17189,836
604745,12,17198,836
604746,13,17211,836
604747,9,17160,837
604748,10,17179,837
604749,11,17185,837
604750,12,17201,837
604751,13,17214,837
604752,9,17164,842
604753,10,17182,842
604754,11,17192,842
604755,12,17199,842
604756,13,17214,842
604757,9,17162,843
604758,10,17176,843
604759,11,17190,843
604760,12,17197,843
604761,13,17208,843
604762,9,17160,845
604763,10,17172,845
604764,11,17185,845
604765,12,17196,845
604766,13,17214,845
604767,9,17162,847
604768,10,17179,847
604769,11,17186,847
604770,12,17196,847
604771,13,17214,847
604772,9,17164,849
604773,10,17177,849
604774,11,17193,849
604775,12,17197,849
604776,13,17214,849
604777,9,17169,852
604778,10,17172,852
604779,11,17187,852
604780,12,17205,852
604781,13,17214,852
604782,9,17160,853
604783,10,17176,853
604784,11,17187,853
604785,12,17196,853
604786,13,17214,853
604787,9,17163,855
604788,10,17172,855
604789,11,17190,855
604790,12,17202,855
604791,13,17214,855
604792,9,17169,856
604793,10,17177,856
604794,11,17184,856
604795,12,17196,856
604796,13,17214,856
604797,9,17163,858
604798,10,17174,858
604799,11,17186,858
604800,12,17199,858
604801,13,17214,858
604802,9,17165,859
604803,10,17174,859
604804,11,17189,859
604805,12,17200,859
604806,13,17210,859
604807,9,17163,861
604808,10,17183,861
604809,11,17188,861
604810,12,17198,861
604811,13,17213,861
604812,9,17160,863
604813,10,17179,863
604814,11,17185,863
604815,12,17201,863
604816,13,17207,863
604817,9,17160,865
604818,10,17172,865
604819,11,17185,865
604820,12,17196,865
604821,13,17206,865
604822,9,17162,867
604823,10,17180,867
604824,11,17187,867
604825,12,17197,867
604826,13,17209,867
604827,9,17169,869
604828,10,17183,869
604829,11,17184,869
604830,12,17196,869
604831,13,17212,869
604832,9,17163,870
604833,10,17183,870
604834,11,17186,870
604835,12,17205,870
604836,13,17211,870
604837,9,17162,871
604838,10,17183,871
604839,11,17195,871
604840,12,17196,871
604841,13,17210,871
604842,9,17162,874
604843,10,17174,874
604844,11,17194,874
604845,12,17196,874
604846,13,17206,874
604847,9,17167,875
604848,10,17183,875
604849,11,17193,875
604850,12,17196,875
604851,13,17206,875
604852,9,17160,879
604853,10,17176,879
604854,11,17184,879
604855,12,17196,879
604856,13,17208,879
604857,9,17160,880
604858,10,17179,880
604859,11,17193,880
604860,12,17205,880
604861,13,17214,880
604862,9,17161,883
604863,10,17176,883
604864,11,17185,883
604865,12,17200,883
604866,13,17208,883
604867,9,17163,884
604868,10,17179,884
604869,11,17194,884
604870,12,17205,884
604871,13,17212,884
604872,9,17164,886
604873,10,17175,886
604874,11,17189,886
604875,12,17196,886
604876,13,17214,886
604877,9,17160,889
604878,10,17172,889
604879,11,17185,889
604880,12,17198,889
604881,13,17206,889
604882,9,17166,893
604883,10,17172,893
604884,11,17187,893
604885,12,17205,893
604886,13,17211,893
604887,9,17162,894
604888,10,17179,894
604889,11,17193,894
604890,12,17201,894
604891,13,17208,894
604892,9,17163,895
604893,10,17177,895
604894,11,17188,895
604895,12,17196,895
604896,13,17208,895
604897,9,17160,896
604898,10,17175,896
604899,11,17190,896
604900,12,17204,896
604901,13,17214,896
604902,9,17162,897
604903,10,17172,897
604904,11,17186,897
604905,12,17203,897
604906,13,17212,897
604907,9,17161,898
604908,10,17176,898
604909,11,17185,898
604910,12,17197,898
604911,13,17213,898
604912,9,17162,902
604913,10,17179,902
604914,11,17185,902
604915,12,17198,902
604916,13,17214,902
604917,9,17160,904
604918,10,17172,904
604919,11,17184,904
604920,12,17196,904
604921,13,17206,904
604922,9,17160,906
604923,10,17172,906
604924,11,17186,906
604925,12,17197,906
604926,13,17212,906
604927,9,17160,907
604928,10,17174,907
604929,11,17191,907
604930,12,17197,907
604931,13,17207,907
604932,9,17163,908
604933,10,17173,908
604934,11,17187,908
604935,12,17204,908
604936,13,17207,908
604937,9,17169,909
604938,10,17172,909
604939,11,17192,909
604940,12,17205,909
604941,13,17206,909
604942,9,17162,910
604943,10,17176,910
604944,11,17193,910
604945,12,17200,910
604946,13,17208,910
604947,9,17160,911
604948,10,17180,911
604949,11,17195,911
604950,12,17200,911
604951,13,17206,911
604952,9,17160,913
604953,10,17183,913
604954,11,17186,913
604955,12,17197,913
604956,13,17214,913
604957,9,17162,914
604958,10,17182,914
604959,11,17188,914
604960,12,17196,914
604961,13,17210,914
604962,9,17162,915
604963,10,17179,915
604964,11,17185,915
604965,12,17196,915
604966,13,17207,915
604967,9,17162,916
604968,10,17174,916
604969,11,17188,916
604970,12,17203,916
604971,13,17210,916
604972,9,17162,918
604973,10,17181,918
604974,11,17190,918
604975,12,17197,918
604976,13,17210,918
604977,9,17168,919
604978,10,17178,919
604979,11,17184,919
604980,12,17196,919
604981,13,17214,919
604982,9,17161,921
604983,10,17181,921
604984,11,17185,921
604985,12,17202,921
604986,13,17214,921
604987,9,17162,923
604988,10,17173,923
604989,11,17186,923
604990,12,17196,923
604991,13,17212,923
604992,9,17162,928
604993,10,17176,928
604994,11,17185,928
604995,12,17200,928
604996,13,17214,928
604997,9,17163,938
604998,10,17175,938
604999,11,17184,938
605000,12,17201,938
605001,13,17211,938
605002,9,17162,940
605003,10,17172,940
605004,11,17187,940
605005,12,17201,940
605006,13,17214,940
605007,9,17162,942
605008,10,17182,942
605009,11,17190,942
605010,12,17205,942
605011,13,17214,942
605012,9,17160,945
605013,10,17183,945
605014,11,17195,945
605015,12,17201,945
605016,13,17214,945
605017,9,17166,947
605018,10,17179,947
605019,11,17189,947
605020,12,17204,947
605021,13,17214,947
605022,9,17167,949
605023,10,17181,949
605024,11,17190,949
605025,12,17203,949
605026,13,17212,949
605027,9,17169,951
605028,10,17180,951
605029,11,17185,951
605030,12,17204,951
605031,13,17211,951
605032,9,17163,953
605033,10,17179,953
605034,11,17192,953
605035,12,17205,953
605036,13,17212,953
605037,9,17160,955
605038,10,17178,955
605039,11,17188,955
605040,12,17200,955
605041,13,17209,955
605042,9,17164,958
605043,10,17177,958
605044,11,17195,958
605045,12,17199,958
605046,13,17208,958
605047,9,17163,962
605048,10,17182,962
605049,11,17193,962
605050,12,17205,962
605051,13,17210,962
605052,9,17160,964
605053,10,17183,964
605054,11,17187,964
605055,12,17204,964
605056,13,17208,964
605057,9,17166,965
605058,10,17180,965
605059,11,17194,965
605060,12,17205,965
605061,13,17207,965
605062,9,17163,966
605063,10,17182,966
605064,11,17191,966
605065,12,17197,966
605066,13,17211,966
605067,9,17161,967
605068,10,17176,967
605069,11,17184,967
605070,12,17196,967
605071,13,17207,967
605072,9,17166,975
605073,10,17180,975
605074,11,17190,975
605075,12,17202,975
605076,13,17207,975
605077,9,17163,977
605078,10,17178,977
605079,11,17187,977
605080,12,17205,977
605081,13,17211,977
605082,9,17165,979
605083,10,17182,979
605084,11,17186,979
605085,12,17200,979
605086,13,17214,979
605087,9,17160,980
605088,10,17179,980
605089,11,17184,980
605090,12,17199,980
605091,13,17212,980
605092,9,17166,982
605093,10,17182,982
605094,11,17195,982
605095,12,17205,982
605096,13,17209,982
605097,9,17162,984
605098,10,17174,984
605099,11,17193,984
605100,12,17201,984
605101,13,17214,984
605102,9,17169,986
605103,10,17177,986
605104,11,17187,986
605105,12,17196,986
605106,13,17214,986
605107,9,17164,988
605108,10,17174,988
605109,11,17185,988
605110,12,17198,988
605111,13,17211,988
605112,9,17169,989
605113,10,17176,989
605114,11,17184,989
605115,12,17204,989
605116,13,17206,989
605117,9,17165,991
605118,10,17179,991
605119,11,17191,991
605120,12,17204,991
605121,13,17210,991
605122,9,17166,992
605123,10,17183,992
605124,11,17193,992
605125,12,17204,992
605126,13,17213,992
605127,9,17161,993
605128,10,17178,993
605129,11,17190,993
605130,12,17201,993
605131,13,17213,993
605132,9,17165,996
605133,10,17181,996
605134,11,17185,996
605135,12,17201,996
605136,13,17213,996
605137,9,17165,997
605138,10,17181,997
605139,11,17185,997
605140,12,17201,997
605141,13,17213,997
605142,9,17163,998
605143,10,17183,998
605144,11,17186,998
605145,12,17204,998
605146,13,17211,998
605147,9,17169,999
605148,10,17183,999
605149,11,17189,999
605150,12,17200,999
605151,13,17206,999
605152,9,17168,1000
605153,10,17180,1000
605154,11,17191,1000
605155,12,17204,1000
605156,13,17213,1000
605157,9,17168,1001
605158,10,17180,1001
605159,11,17191,1001
605160,12,17204,1001
605161,13,17213,1001
605162,9,17160,1002
605163,10,17178,1002
605164,11,17194,1002
605165,12,17202,1002
605166,13,17212,1002
605167,9,17168,1015
605168,10,17179,1015
605169,11,17190,1015
605170,12,17200,1015
605171,13,17214,1015
605172,9,17161,1024
605173,10,17175,1024
605174,11,17187,1024
605175,12,17205,1024
605176,13,17206,1024
605177,9,17160,1035
605178,10,17175,1035
605179,11,17191,1035
605180,12,17205,1035
605181,13,17208,1035
605182,9,17160,1039
605183,10,17174,1039
605184,11,17185,1039
605185,12,17204,1039
605186,13,17211,1039
605187,9,17164,1045
605188,10,17174,1045
605189,11,17194,1045
605190,12,17201,1045
605191,13,17210,1045
605192,9,17160,1047
605193,10,17174,1047
605194,11,17189,1047
605195,12,17198,1047
605196,13,17214,1047
605197,9,17161,1074
605198,10,17178,1074
605199,11,17186,1074
605200,12,17204,1074
605201,13,17206,1074
605202,9,17163,1085
605203,10,17182,1085
605204,11,17186,1085
605205,12,17199,1085
605206,13,17206,1085
605207,9,17161,1099
605208,10,17177,1099
605209,11,17184,1099
605210,12,17199,1099
605211,13,17214,1099
605212,9,17166,1102
605213,10,17180,1102
605214,11,17184,1102
605215,12,17202,1102
605216,13,17209,1102
605217,9,17160,1105
605218,10,17173,1105
605219,11,17185,1105
605220,12,17196,1105
605221,13,17206,1105
605222,9,17165,1117
605223,10,17176,1117
605224,11,17190,1117
605225,12,17204,1117
605226,13,17211,1117
605227,9,17160,1123
605228,10,17172,1123
605229,11,17185,1123
605230,12,17196,1123
605231,13,17206,1123
605232,9,17163,1145
605233,10,17182,1145
605234,11,17190,1145
605235,12,17200,1145
605236,13,17210,1145
605237,9,17163,1192
605238,10,17175,1192
605239,11,17184,1192
605240,12,17198,1192
605241,13,17210,1192
605242,9,17161,1204
605243,10,17178,1204
605244,11,17189,1204
605245,12,17196,1204
605246,13,17212,1204
605247,9,17162,1224
605248,10,17175,1224
605249,11,17184,1224
605250,12,17204,1224
605251,13,17213,1224
605252,9,17167,1246
605253,10,17172,1246
605254,11,17194,1246
605255,12,17205,1246
605256,13,17213,1246
605257,9,17165,1247
605258,10,17183,1247
605259,11,17186,1247
605260,12,17196,1247
605261,13,17208,1247
605262,9,17164,1249
605263,10,17178,1249
605264,11,17189,1249
605265,12,17198,1249
605266,13,17207,1249
605267,9,17163,1250
605268,10,17179,1250
605269,11,17192,1250
605270,12,17196,1250
605271,13,17212,1250
605272,9,17168,1252
605273,10,17180,1252
605274,11,17193,1252
605275,12,17196,1252
605276,13,17209,1252
605277,9,17168,1253
605278,10,17183,1253
605279,11,17194,1253
605280,12,17203,1253
605281,13,17211,1253
605282,9,17165,1254
605283,10,17181,1254
605284,11,17188,1254
605285,12,17202,1254
605286,13,17211,1254
605287,9,17163,1256
605288,10,17180,1256
605289,11,17190,1256
605290,12,17198,1256
605291,13,17209,1256
605292,9,17162,1257
605293,10,17182,1257
605294,11,17187,1257
605295,12,17205,1257
605296,13,17210,1257
605297,9,17162,1258
605298,10,17179,1258
605299,11,17193,1258
605300,12,17196,1258
605301,13,17214,1258
605302,9,17160,1262
605303,10,17175,1262
605304,11,17192,1262
605305,12,17205,1262
605306,13,17206,1262
605307,9,17168,1264
605308,10,17174,1264
605309,11,17190,1264
605310,12,17203,1264
