OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,Learn a sub-specialization of your choice.,24872,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24873,0,0,0,0
,,Non-combat potions last longer.,24874,0,0,0,0
Potion Mastery,,"Improve at crafting potions and related alchemist stones, gaining +$ev1 $en1 per point in this specialization.",24875,0,4497592,0,0
Batch Production,,,24876,0,4624378,0,0
Potion Experimentation,,,24877,0,4624379,0,0
Potion Lore,,,24878,0,4624657,0,0
Air-Formulated Potions,,,24879,0,4497566,0,0
Frost-Formulated Potions,,,24880,0,4497591,0,0
Potion Mastery,,Specialize in creating potions efficiently and at high qualities.,24881,0,4497592,0,0
,,Inspiration grants $ev1% additional Skill when crafting Alchemy goods.,24882,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24883,0,0,0,0
,,Inspiration grants $ev1% additional Skill when crafting Alchemy goods.,24884,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24885,0,0,0,0
,,Inspiration grants $ev1% additional Skill when crafting Alchemy goods.,24886,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24887,0,0,0,0
,,Inspiration grants $ev1% additional Skill when crafting Alchemy goods.,24888,0,0,0,0
Inspiring Ambience,,"Become a more inspired Alchemist, gaining +$ev1 $en1 per point in this Specialization. ",24889,0,413583,0,0
,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.,24890,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24891,0,0,0,0
,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.,24892,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24893,0,0,0,0
,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.,24894,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24895,0,0,0,0
,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.,24896,0,0,0,0
Resourceful Routines,,"Use reagents more economically, gaining +$ev1 $en1 per point in this Specialization. ",24897,0,4497599,0,0
,,Damage taken from the side-effects of drinking Toxic potions and phials is reduced by an additional 25%.,24898,0,0,0,0
,,+$ev1 $en1 when crafting recipes with Decay.,24899,0,0,0,0
,,Learn how to transmute Awakened Decay into an assortment of Rousing elements.,24900,370714,0,0,0
,,+$ev1 $en1 when crafting recipes with Decay.,24901,0,0,0,0
,,Damage taken from the side-effects of drinking Toxic potions and phials is reduced by 25%.,24902,0,0,0,0
,,+$ev1 $en1 when crafting recipes with Decay.,24903,0,0,0,0
,,You can now discover recipes which use Decay as a reagent from Potion and Phial Experimentation.,24904,0,0,0,0
Decayology,,"Delve further into the mysteries of Rousing and Awakened Decay, gaining +$ev1 $en1 for crafts which use Decay per point in this specialization.",24905,0,4554327,0,0
,,Multicraft grants up to $ev1% extra reagents and incenses.,24906,0,0,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting alchemical reagents and incense.,24907,370735,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24908,0,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24909,0,0,0,0
,,"Learn how to craft Brood Salt, a Finishing Reagent that improves Inspiration.|n|n+$ev1% $en1 when making reagents and incenses.",24910,370730,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24911,0,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24912,0,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24913,0,0,0,0
,,+$ev1 $en1 when crafting reagents and incenses.,24914,0,0,0,0
Chemical Synthesis,,"Improve at specialty recipes such as those for alchemical reagents and incenses, gaining +$ev1 $en1 for these crafts per point in this specialization.",24915,0,3615504,0,0
,,"Improve your understanding of transmutation, allowing you to do so more frequently and with higher capacity.",24916,394207,0,0,0
,,+$ev1% $en1 when performing transmutations.,24917,0,0,0,0
,,Learn how to transmute Awakened Order into its entropic elements.,24918,370715,0,0,0
,,+$ev1% $en1 when performing transmutations.,24919,0,0,0,0
,,+$ev1% $en1 when performing transmutations.,24920,0,0,0,0
Transmutation,,"Master the process of transmutation, gaining +$ev1% $en1 for these crafts per point in this specialization.",24921,0,4554441,0,0
,,+$ev1 $en1 and +$ev2 $en2 when crafting Alchemy goods.|n|nAlchemical Crafting is $ev3% faster.,24922,0,0,0,0
,,Learn the final sub-specialization.,24923,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24924,0,0,0,0
,,Learn a sub-specialization of your choice.,24925,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24926,0,0,0,0
,,Learn a sub-specialization of your choice.,24927,0,0,0,0
,,+$ev1% $en1 when crafting Alchemy goods.,24928,0,0,0,0
,,Learn a sub-specialization of your choice.,24929,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24930,0,0,0,0
,,Learn a sub-specialization of your choice.,24931,0,0,0,0
,,+$ev1 $en1 when crafting Alchemy goods.,24932,0,0,0,0
Alchemical Theory,,"Improve at crafting alchemical products, gaining +$ev1 $en1 for all recipes per point in this specialization.",24933,0,4624375,0,0
Inspiring Ambience,,,24934,0,413583,0,0
Resourceful Routines,,,24935,0,4497599,0,0
Decayology,,,24936,0,4554327,0,0
Chemical Synthesis,,,24937,0,3615504,0,0
Transmutation,,,24938,0,4554441,0,0
Alchemical Theory,,Improve in the fundamentals of Alchemy to gain a variety of bonuses across your craft.,24939,0,4624375,0,0
,,Multicraft grants up to $ev1% extra phials.,28440,0,0,0,0
,,+$ev1% $en1 when making phials.,28441,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28442,0,0,0,0
,,+$ev1% $en1 when making phials.,28443,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28444,0,0,0,0
Batch Production,,"Master the art of producing phials more efficiently, gaining +$ev1 $en1 per point in this specialization.",28445,0,4624377,0,0
,,Learn $@spellname370747 which yields phials of a higher quality and increases your chance at discovering new recipes.,28446,370747,0,0,0
,,Gain 5% Breakthrough chance with Phial Experimentation.,28447,0,0,0,0
,,"Whenever you achieve a major breakthrough in Phial Experimentation, gain +20 Inspiration for 4 hours for all Alchemy crafts.",28448,0,0,0,0
,,Gain 5% Breakthrough chance with Phial Experimentation.,28449,0,0,0,0
,,Gain 10% Breakthrough chance with Phial Experimentation.,28450,0,0,0,0
Phial Experimentation,,"Gain a better understanding of your reagents to improve the likelihood of your experiments yielding satisfying results, gaining +1% increased chance at breakthroughs with Phial Experimentation per point in this specialization.",28451,0,4624380,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting  Sustaining Alchemist Stones.,28452,370735,0,0,0
,,Learn the final sub-specialization.,28453,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28454,0,0,0,0
,,Learn a sub-specialization of your choice.,28455,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28456,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28457,0,0,0,0
Phial Lore,,"Delve further into the mysteries of phials and related alchemist stones, gaining +$ev1 $en1 per point in this specialization.",28458,0,4624658,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Air-formulated phials.,28459,370735,0,0,0
,,+$ev1 $en1 when crafting Air-formulated phials.,28460,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated phials.,28461,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated phials.,28462,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated phials.,28463,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated phials.,28464,0,0,0,0
,,Air-formulated phials last 30 minutes longer.,28465,0,0,0,0
Air-Formulated Phials,,"Improve at crafting phials with Rousing or Awakened Air as a base reagent, gaining +$ev1 $en1 per point in this specialization.",28466,0,4497584,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Frost-formulated phials.,28467,370735,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated phials.,28468,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated phials.,28469,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated phials.,28470,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated phials.,28471,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated phials.,28472,0,0,0,0
,,Frost-formulated phials last 30 minutes longer.,28473,0,0,0,0
Frost-Formulated Phials,,"Improve at crafting phials with Rousing or Awakened Frost as a base reagent, gaining +$ev1 $en1 per point in this specialization.",28474,0,4497573,0,0
,,Learn the final sub-specialization.|n|nLearn to use Catalyst Finishing Reagents with recipes for phials and the Sustaining Alchemist Stone.,28475,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28476,0,0,0,0
,,Learn a sub-specialization of your choice.,28477,0,0,0,0
,,Reclaiming Phials grants additional Alchemical Solution.,28478,0,0,0,0
,,Learn a sub-specialization of your choice.,28479,0,0,0,0
,,+$ev1 $en1 when crafting phials.,28480,0,0,0,0
,,Dragon Isles phials last 30 minutes longer.,28481,0,0,0,0
Phial Mastery,,"Improve at crafting phials and related alchemist stones, gaining +$ev1 $en1 per point in this specialization.",28482,0,4497574,0,0
Batch Production,,,28483,0,4624377,0,0
Phial Experimentation,,,28484,0,4624380,0,0
Phial Lore,,,28485,0,4624658,0,0
Air-Formulated Phials,,,28486,0,4497584,0,0
Frost-Formulated Phials,,,28487,0,4497573,0,0
Phial Mastery,,Specialize in creating phials efficiently and at high qualities.,28488,0,4497574,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair axes and polearms.,29891,393853,0,0,0
,,"Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting axes, picks, and polearms.",29892,376700,0,0,0
,,"+$ev1 $en1 when crafting axes, picks, and polearms.",29893,0,0,0,0
,,"+$ev1 $en1 when crafting axes, picks, and polearms.",29894,0,0,0,0
,,Learn to craft $@spellname371366.,29895,371366,0,0,0
,,"+$ev1 $en1 when crafting axes, picks, and polearms.",29896,0,0,0,0
,,Learn to craft $@spellname365734.,29897,365734,0,0,0
"Axes, Picks & Polearms",,"Improve at making axe, picks, and polearms, gaining +1 Crafting Skill per point in this Specialization.",29898,0,4059376,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair maces and hammers.,29899,393853,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting maces and hammers.,29900,376700,0,0,0
,,+$ev1 $en1 when crafting maces and hammers.,29901,0,0,0,0
,,+$ev1 $en1 when crafting maces and hammers.,29902,0,0,0,0
,,Learn to craft $@spellname371412.,29903,371412,0,0,0
,,+$ev1 $en1 when crafting maces and hammers.,29904,0,0,0,0
,,Learn to craft $@spellname367586.,29905,367586,0,0,0
Maces & Hammers,,"Improve at making maces and hammers, gaining +1 Crafting Skill per point in this Specialization.",29906,0,4529128,0,0
,,Learn to use Quenching Fluid Finishing Reagents on various hafted weapon and tool plans.,29907,0,0,0,0
,,+$ev1 $en1 when crafting hafted weapons and tools.,29908,0,0,0,0
,,Learn the final sub-specialization.,29909,0,0,0,0
,,+$ev1 $en1 when crafting hafted weapons and tools.,29910,0,0,0,0
,,Learn a sub-specialization of your choice.,29911,0,0,0,0
,,+$ev1 $en1 when crafting hafted weapons and tools.,29912,0,0,0,0
,,Learn to use Optional Reagents to specify the secondary stats on many hafted weapon plans.,29913,0,0,0,0
Hafted,,"Improve at making hafted weapons and tools such as axes and hammers, gaining +$ev1 $en1 per point in this Specialization.",29914,0,4624387,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair long blades.,29915,393853,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting long blades.,29916,376700,0,0,0
,,+$ev1 $en1 when crafting long blades.,29917,0,0,0,0
,,+$ev1 $en1 when crafting long blades.,29918,0,0,0,0
,,+$ev1 $en1 when crafting long blades.,29919,0,0,0,0
,,Learn to craft a $@spellname365729.,29920,365729,0,0,0
,,Learn to craft a $@spellname367585.,29921,367585,0,0,0
Long Blades,,"Improve at making long bladed weapons and tools such as swords, glaives, and sickles, gaining +1 Crafting Skill per point in this Specialization.",29922,0,4044018,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair short blades.,29923,393853,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting short blades.,29924,376700,0,0,0
,,+$ev1 $en1 when crafting short blades.,29925,0,0,0,0
,,+$ev1 $en1 when crafting short blades.,29926,0,0,0,0
,,+$ev1 $en1 when crafting short blades.,29927,0,0,0,0
,,Learn to craft $@spellname365731.,29928,365731,0,0,0
,,Learn to craft $@spellname365730.,29929,365730,0,0,0
Short Blades,,"Improve at making short bladed weapons and tools including knives, daggers, and fist weapons, gaining +$ev1 $en1 per point in this Specialization.",29930,0,4189041,0,0
,,Learn to use Quenching Fluid Finishing Reagents on various blade plans.,29931,0,0,0,0
,,+$ev1 $en1 when crafting long and short blades.,29932,0,0,0,0
,,Learn the final sub-specialization.,29933,0,0,0,0
,,+$ev1 $en1 when crafting long or short blades.,29934,0,0,0,0
,,Learn a sub-specialization of your choice.,29935,0,0,0,0
,,+$ev1 $en1 when crafting long and short blades.,29936,0,0,0,0
,,Learn to use Optional Reagents to specify the secondary stats on many bladed weapon plans.,29937,0,0,0,0
Blades,,"Improve at making various bladed weapons and tools, gaining +$ev1 $en1 per point in this Specialization.",29938,0,4624383,0,0
,,Weapon Crafting is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making weapons and large tools.,29939,0,0,0,0
,,+$ev1 $en1 when crafting weapons and large tools.,29940,0,0,0,0
,,Learn the final sub-specialization.,29941,0,0,0,0
,,+$ev1 $en1 when crafting weapons and large tools.,29942,0,0,0,0
,,Learn a sub-specialization of your choice.,29943,0,0,0,0
,,+$ev1 $en1 when crafting weapons and large tools.,29944,0,0,0,0
,,Learn to use Optional Reagents to upgrade item level on most weapon plans.,29945,0,0,0,0
Weaponsmithing,,"Improve at making weapons and large tools, gaining +$ev1 $en1 per point in this Specialization.",29946,0,4624393,0,0
"Axes, Picks & Polearms",,,29947,0,4059376,0,0
Maces & Hammers,,,29948,0,4529128,0,0
Hafted,,,29949,0,4624387,0,0
Long Blades,,,29950,0,4044018,0,0
Short Blades,,,29951,0,4189041,0,0
Blades,,,29952,0,4624383,0,0
Weaponsmithing,,Specialize in crafting and customizing weapons and tools.,29953,0,4624393,0,0
,,Multicraft grants up to $ev1% extra alloys and other reagents.,29954,0,0,0,0
,,+$ev1 $en1 when smelting alloys and other reagents.,29955,0,0,0,0
,,+$ev1 $en1 when smelting alloys and other reagents.,29956,0,0,0,0
,,+$ev1 $en1 when smelting alloys and other reagents.,29957,0,0,0,0
,,+$ev1 $en1 when smelting alloys and other reagents.,29958,0,0,0,0
Smelting,,"Become an expert at smelting alloys and other special reagents, gaining +$ev1 $en1 per point in this Specialization.",29959,0,4622288,0,0
,,Multicraft grants up to $ev1% extra stone goods.,29960,0,0,0,0
,,+$ev1 $en1 when crafting stone goods.,29961,0,0,0,0
,,+$ev1 $en1 when crafting stone goods.,29962,0,0,0,0
,,+$ev1 $en1 when crafting stone goods.,29963,0,0,0,0
,,+$ev1 $en1 when crafting stone goods.,29964,0,0,0,0
Stonework,,"Become an expert at crafting enhancements made from stone for weapons and tools, gaining +$ev1 $en1 per point in this Specialization.",29965,0,4622275,0,0
,,Learn to use Quenching Fluid Finishing Reagents on various adventuring gear.,29966,0,0,0,0
,,+$ev1 $en1 when crafting adventuring gear.,29967,0,0,0,0
,,+$ev1 $en1 when crafting adventuring gear.,29968,0,0,0,0
,,[NYI]Learn to craft a $@spellname367605.,29969,0,0,0,0
,,+$ev1 $en1 when crafting adventuring gear.,29970,0,0,0,0
,,+$ev1 $en1 when making adventuring gear.,29971,0,0,0,0
,,+$ev1 $en1 when making adventuring gear.,29972,0,0,0,0
Adventuring Gear,,"Become an expert at crafting adventuring gear such as grappling hooks, gaining +$ev1 $en1 per point in this Specialization.",29973,0,4624386,0,0
,,Learn to use Quenching Fluid Finishing Reagents with plans for profession tools and accessories.,29974,0,0,0,0
,,+$ev1 $en1 when crafting profession tools and accessories.,29975,0,0,0,0
,,+$ev1 $en1 when crafting profession tools and accessories.,29976,0,0,0,0
,,+$ev1 $en1 when crafting profession tools and accessories.,29977,0,0,0,0
,,Learn to craft a $@spellname371374.,29978,371374,0,0,0
,,+$ev1 $en1 when crafting profession tools and accessories.,29979,0,0,0,0
,,+$ev1 $en1 when crafting profession tools and accessories.,29980,0,0,0,0
Toolsmithing,,"Become an expert at crafting metal tools and accessories for various professions, gaining +$ev1 $en1 per point in this Specialization.",29981,0,4374707,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting various non-martial goods.,29982,376700,0,0,0
,,Learn a sub-specialization of your choice.,29983,0,0,0,0
,,+$ev1 $en1 when crafting non-martial goods.,29984,0,0,0,0
,,Learn how to craft non-martial goods +$ev1% faster.,29985,0,0,0,0
,,+$ev1 $en1 when crafting non-martial goods.,29986,0,0,0,0
,,Learn a sub-specialization of your choice.,29987,0,0,0,0
,,+$ev1 $en1 when crafting non-martial goods.,29988,0,0,0,0
,,Learn a sub-specialization of your choice.,29989,0,0,0,0
,,+$ev1 $en1 when crafting non-martial goods.,29990,0,0,0,0
Specialty Smithing,,"Improve at making non-martial goods, gaining +$ev1 $en1 per point in this Specialization.",29991,0,4622273,0,0
Smelting,,,29992,0,4622288,0,0
Stonework,,,29993,0,4622275,0,0
Adventuring Gear,,,29994,0,4624386,0,0
Toolsmithing,,,29995,0,4374707,0,0
Specialty Smithing,,"Specialize in making stone enhancements, reagents, alloys, profession tools and accessories.",29996,0,4622273,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for hands.,30046,393853,0,0,0
,,+$ev1 $en1 when crafting armor for the hands.,30047,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the hands.,30048,376700,0,0,0
,,+$ev1 $en1 when crafting armor for the hands.,30049,0,0,0,0
,,+$ev1 $en1 when crafting armor for the hands.,30050,0,0,0,0
,,+$ev1 $en1 when crafting armor for the hands.,30051,0,0,0,0
,,Learn to craft a $@spellname367606.,30052,367606,0,0,0
Gauntlets,,"Become an expert at crafting plate armor for the hands, gaining +$ev1 $en1 per point in this Specialization.",30053,0,4615259,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate wrist armor.,30054,393853,0,0,0
,,+$ev1 $en1 when crafting armor for the wrists.,30055,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting wrist armor.,30056,376700,0,0,0
,,+$ev1 $en1 when crafting armor for the wrists.,30057,0,0,0,0
,,+$ev1 $en1 when crafting armor for the wrists.,30058,0,0,0,0
,,+$ev1 $en1 when crafting armor for the wrists.,30059,0,0,0,0
,,Learn to craft a $@spellname367601.,30060,367601,0,0,0
Vambraces,,"Become an expert at crafting plate wrist armor, gaining +$ev1 $en1 per point in this Specialization.",30061,0,4615256,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the waist.,30062,393853,0,0,0
,,+$ev1 $en1 when crafting armor for the waist.,30063,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting waist armor.,30064,376700,0,0,0
,,+$ev1 $en1 when crafting armor for the waist.,30065,0,0,0,0
,,+$ev1 $en1 when crafting armor for the waist.,30066,0,0,0,0
,,+$ev1 $en1 when crafting armor for the waist.,30067,0,0,0,0
,,Learn to craft a $@spellname367602.,30068,367602,0,0,0
Belts,,"Become an expert at crafting plate armor for the waist, gaining +$ev1 $en1 per point in this Specialization.",30069,0,4615254,0,0
,,"Learn the final sub-specialization.|n|nLearn to use Quenching Fluid Finishing Reagents on plans for armor for the waist, wrist, and hands.",30070,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists.",30071,0,0,0,0
,,Learn a sub-specialization of your choice.,30072,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists.",30073,0,0,0,0
,,Learn a sub-specialization of your choice.,30074,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists.",30075,0,0,0,0
,,"Learn to use Optional Reagents to specify the secondary stats on many plans for armor for the waist, wrists, and hands.",30076,0,0,0,0
Fine Armor,,"Improve at making the smallest plate armor pieces, including those for the waist, wrists and hands, gaining +$ev1 $en1 per point in this Specialization.",30077,0,4624385,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the feet.,30078,393853,0,0,0
,,+$ev1 $en1 when crafting armor for the feet.,30079,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the feet.,30080,376700,0,0,0
,,+$ev1 $en1 when crafting armor for the feet.,30081,0,0,0,0
,,+$ev1 $en1 when crafting armor for the feet.,30082,0,0,0,0
,,+$ev1 $en1 when crafting armor for the feet.,30083,0,0,0,0
,,Learn to craft a $@spellname367607.,30084,367607,0,0,0
Sabatons,,"Become an expert at crafting plate armor to protect the feet, gaining +$ev1 $en1 per point in this Specialization.",30085,0,4615255,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate shoulder armor.,30086,393853,0,0,0
,,+$ev1 $en1 when crafting shoulder armor.,30087,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting shoulder armor.,30088,376700,0,0,0
,,+$ev1 $en1 when crafting shoulder armor.,30089,0,0,0,0
,,+$ev1 $en1 when crafting shoulder armor.,30090,0,0,0,0
,,+$ev1 $en1 when crafting shoulder armor.,30091,0,0,0,0
,,Learn to craft a $@spellname367603.,30092,367603,0,0,0
Pauldrons,,"Become an expert at crafting plate armor for the shoulders, gaining +$ev1 $en1 per point in this Specialization.",30093,0,4615262,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the head.,30094,393853,0,0,0
,,+$ev1 $en1 when crafting armor for the head.,30095,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the head.,30096,376700,0,0,0
,,+$ev1 $en1 when crafting armor for the head.,30097,0,0,0,0
,,+$ev1 $en1 when crafting armor for the head.,30098,0,0,0,0
,,+$ev1 $en1 when crafting armor for the head.,30099,0,0,0,0
,,Learn to craft a $@spellname367605.,30100,367605,0,0,0
Helms,,"Become an expert at crafting plate armor to protect the head, gaining +$ev1 $en1 per point in this Specialization.",30101,0,4615260,0,0
,,Learn the final sub-specialization.|n|nLearn to use Quenching Fluid Finishing Reagents on sculpted plate armor plans.,30102,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet.",30103,0,0,0,0
,,Learn a sub-specialization of your choice.,30104,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet.",30105,0,0,0,0
,,Learn a sub-specialization of your choice.,30106,0,0,0,0
,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet.",30107,0,0,0,0
,,Learn to use Optional Reagents to specify the secondary stats on many sculpted plate armor plans.,30108,0,0,0,0
Sculpted Armor,,"Improve at making sculpted armor pieces, including those for the head, shoulders and feet, gaining +$ev1 $en1 per point in this Specialization.",30109,0,4624391,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair shields.,30110,393853,0,0,0
,,+$ev1 $en1 when crafting shields.,30111,0,0,0,0
,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting shields.,30112,376700,0,0,0
,,+$ev1 $en1 when making shields.,30113,0,0,0,0
,,+$ev1 $en1 when crafting shields.,30114,0,0,0,0
,,+$ev1 $en1 when crafting shields.,30115,0,0,0,0
,,Learn to craft a $@spellname367622.,30116,367622,0,0,0
Shields,,"Become an expert at crafting shields, gaining +$ev1 $en1 per point in this Specialization.",30117,0,4614006,0,0
,,Learn how to craft and use the Master's Hammer in order to freely repair plate greaves.,30118,393853,0,0,0
